
[00:00:00.000 --> 00:00:02.560]  第四項是我們第六項
[00:00:02.560 --> 00:00:06.360]  這是經衛尚主的講道系列
[00:00:06.360 --> 00:00:09.920]  這項系列是總統有實聲講的
[00:00:09.920 --> 00:00:12.960]  經過第七項
[00:00:12.960 --> 00:00:15.360]  書題是《諾遵聖道》
[00:00:15.360 --> 00:00:19.960]  主題是《諾遵地行道的自慰》
[00:00:19.960 --> 00:00:21.520]  書中的經文是
[00:00:21.520 --> 00:00:24.520]  《先天化職二篇》一字十字
[00:00:24.520 --> 00:00:28.840]  現在我們一提先可以重讀一段經文
[00:00:28.840 --> 00:00:31.560]  我們看到經文一起重讀
[00:00:31.560 --> 00:00:33.200]  《諾遵地行道》開始
[00:00:33.200 --> 00:00:35.480]  《諾遵地行道》
[00:00:35.480 --> 00:00:37.080]  《經軍諾遵》
[00:00:37.080 --> 00:00:39.520]  《收起外大名令》
[00:00:39.520 --> 00:00:41.760]  《者人必為有福》
[00:00:41.760 --> 00:00:45.040]  《他人考慮了生命行事》
[00:00:45.040 --> 00:00:48.480]  《令人的厚愛必要無福》
[00:00:48.480 --> 00:00:52.080]  《他家族的老婆娘有前生》
[00:00:52.080 --> 00:00:54.760]  《太公義全方榮譽》
[00:00:54.760 --> 00:00:59.400]  《知己能在效忠有枉恨他下義》
[00:00:59.400 --> 00:01:03.520]  《他也謀得我亦求憐憫求公義》
[00:01:03.520 --> 00:01:06.880]  《知人如仁者下人亦敵》
[00:01:06.880 --> 00:01:09.240]  《豈能事竟如順利》
[00:01:09.240 --> 00:01:14.080]  《他人受官之時予送明知己寧願》
[00:01:14.080 --> 00:01:19.160]  《下兵一動亦亦仍被敵而直當民怨》
[00:01:19.160 --> 00:01:22.040]  《他人及他恐惡的述說》
[00:01:22.040 --> 00:01:24.720]  《他心見利已靠近》
[00:01:24.720 --> 00:01:29.000]  《他心確定從來不怕》
[00:01:29.000 --> 00:01:32.080]  《他如那漢堅敵人衝破》
[00:01:32.080 --> 00:01:34.240]  《他死者前塞》
[00:01:34.240 --> 00:01:36.000]  《他世的貧富》
[00:01:36.000 --> 00:01:38.720]  《他的人義全都榮耀》
[00:01:38.720 --> 00:01:42.960]  《他一國必避光輝但不榮耀》
[00:01:42.960 --> 00:01:47.760]  《我能看見你腦癢必靠眼笑化》
[00:01:47.760 --> 00:01:51.440]  《我能血腥亂要歸原主》
[00:01:51.440 --> 00:01:59.520]  讓我們一起在這時一起同聲地祈禱
[00:01:59.520 --> 00:02:03.120]  會有因為延安公義的神
[00:02:03.120 --> 00:02:04.880]  願你藉著聖靈
[00:02:04.880 --> 00:02:07.840]  透過聖經在我們身上去說話
[00:02:07.840 --> 00:02:10.880]  律求主保護我所口說的事情
[00:02:10.880 --> 00:02:13.920]  為我成為神祕的話語
[00:02:13.920 --> 00:02:16.720]  律求主佔我們所有人的樂火
[00:02:16.720 --> 00:02:19.120]  天地平靜神話語的心
[00:02:19.120 --> 00:02:24.640]  來同心祈禱、奉派聖經、智慧祈禱
[00:02:24.640 --> 00:02:26.800]  第四個月
[00:02:26.800 --> 00:02:28.720]  不知道大家是否認識
[00:02:28.720 --> 00:02:30.800]  經埃神的教導
[00:02:30.800 --> 00:02:34.560]  是屬於舊聖經裡的《智慧文學》
[00:02:34.560 --> 00:02:37.040]  其中一個很重要的主題
[00:02:37.040 --> 00:02:41.120]  如果你說舊聖經的《智慧文學》
[00:02:41.120 --> 00:02:46.000]  包括《某金言》、《某句百祭》和《傳道書》
[00:02:46.000 --> 00:02:51.280]  官司以智慧文學問及的是智慧
[00:02:51.280 --> 00:02:55.360]  我想大家都很熟悉這個時代的根據
[00:02:55.360 --> 00:02:57.200]  《聖經》這麼說
[00:02:57.200 --> 00:03:00.640]  即使我們曾經受到驚威的搖滑
[00:03:00.640 --> 00:03:02.400]  是智慧的開端
[00:03:02.400 --> 00:03:05.600]  清晰、自信的一面是寵物
[00:03:05.600 --> 00:03:08.400]  《傳道書》也通常會這樣說
[00:03:08.400 --> 00:03:10.640]  因為智慧護給人
[00:03:10.640 --> 00:03:13.440]  無仗人前護給人之類
[00:03:13.440 --> 00:03:17.600]  為保智慧和保全智慧人的生命
[00:03:17.600 --> 00:03:20.800]  這就是知識的歷史
[00:03:20.800 --> 00:03:24.160]  除了《真言》和《傳道書》
[00:03:24.160 --> 00:03:26.400]  剛才提到《四個百祭》
[00:03:26.400 --> 00:03:31.600]  為何《百祭》不像《真言》和《傳道書》一樣
[00:03:31.600 --> 00:03:35.840]  好像已經有一些間諜或者謂語
[00:03:35.840 --> 00:03:37.760]  可能我們看錯了
[00:03:37.760 --> 00:03:44.800]  或許《百祭》有關與三個群體很多的說話
[00:03:44.800 --> 00:03:48.640]  《百祭》是以一個對話
[00:03:48.640 --> 00:03:52.480]  或是一個看錯或是一個智慧文學的作品
[00:03:52.480 --> 00:03:54.720]  不過我們很少會提及
[00:03:54.720 --> 00:03:59.760]  其實《詩篇》也有一種類似智慧文學的詩篇
[00:03:59.760 --> 00:04:02.400]  我們可以稱它為「智慧詩」
[00:04:02.400 --> 00:04:09.760]  而我們所說的「詩篇」和「十二篇」正正屬於「智慧詩」
[00:04:09.760 --> 00:04:12.160]  在我們觀塘人讀經的時候
[00:04:12.160 --> 00:04:13.760]  大家都會發現
[00:04:13.760 --> 00:04:18.720]  正如「詩篇」和「十二篇」的內容不像「詩篇」
[00:04:18.720 --> 00:04:22.880]  很多書家詩人那種內心的感受
[00:04:22.880 --> 00:04:29.280]  它的內容反而接近「十言」那種格言的題材
[00:04:29.280 --> 00:04:33.440]  「詩篇」裡面有幾篇是屬於「智慧詩」的
[00:04:33.440 --> 00:04:36.000]  除了有「十二篇」之外
[00:04:36.000 --> 00:04:41.520]  還有第一篇「三十七」、「四十九」、「七十三」、「九十一」和「一百二十八」
[00:04:41.520 --> 00:04:45.040]  大家有時間可以回去看看這些第一篇「詩篇」
[00:04:45.040 --> 00:04:47.040]  開頭來說
[00:04:47.040 --> 00:04:50.480]  其實戰兵裡面的智慧文學
[00:04:50.480 --> 00:04:53.760]  它很強調人要得到智慧
[00:04:53.760 --> 00:04:56.800]  才會有一個定位智慧心
[00:04:56.800 --> 00:05:00.000]  當人有敬愛感的時候
[00:05:00.000 --> 00:05:06.640]  他就會認清一個神同人同 重要的一個通用的秩序
[00:05:06.640 --> 00:05:09.200]  就是「神」是創造主
[00:05:09.200 --> 00:05:11.200]  「文」是創造物
[00:05:11.200 --> 00:05:14.080]  在「文」人是創造物的時候
[00:05:14.080 --> 00:05:19.600]  自然帶起應按著創造主的心意去生活
[00:05:19.600 --> 00:05:24.400]  所以「智慧」的意思就不是一種光復學識
[00:05:24.400 --> 00:05:27.760]  又或者不是智能的高低物體
[00:05:27.760 --> 00:05:31.200]  「智慧」是關乎敬畏神的人
[00:05:31.200 --> 00:05:34.400]  怎樣按著創造主的教導
[00:05:34.400 --> 00:05:36.880]  而去理解這個世界
[00:05:36.880 --> 00:05:40.800]  所以說「敬畏神」的人的敬畏
[00:05:40.800 --> 00:05:45.360]  理應就是跟這個世界所推草的敬畏
[00:05:45.360 --> 00:05:47.600]  應該是有差異的
