
[00:00:00.000 --> 00:00:04.000]  其實今天要跟大家講的這一篇道
[00:00:04.000 --> 00:00:06.440]  都挺應節的
[00:00:06.440 --> 00:00:08.960]  是要跟大家講一個國度
[00:00:08.960 --> 00:00:11.040]  這個國度不是美國
[00:00:11.040 --> 00:00:13.840]  這個國度是千年的國度
[00:00:13.840 --> 00:00:15.840]  是千禧年國
[00:00:15.840 --> 00:00:17.840]  上一次跟大家講了
[00:00:17.840 --> 00:00:19.840]  人死了之後
[00:00:19.840 --> 00:00:22.240]  全部的歷程會是怎樣
[00:00:22.240 --> 00:00:25.360]  我講到有個地方叫做陰間
[00:00:25.360 --> 00:00:28.480]  陰間就是地獄在人間
[00:00:28.480 --> 00:00:32.080]  今天是要跟大家講另外的一半
[00:00:32.080 --> 00:00:34.080]  就是千禧年國
[00:00:34.080 --> 00:00:37.440]  千禧年國是天堂在人間
[00:00:37.440 --> 00:00:38.560]  很有趣
[00:00:38.560 --> 00:00:41.760]  在毀滅舊天地之前
[00:00:41.760 --> 00:00:43.440]  去到新天新地
[00:00:43.440 --> 00:00:50.160]  神是給人有機會在人間經歷天堂和地獄
[00:00:50.160 --> 00:00:52.640]  陰間就是地獄在人間
[00:00:52.640 --> 00:00:56.000]  千禧年國就是天堂在人間
[00:00:56.000 --> 00:01:00.080]  所以今天要跟大家講的就是千禧年的國度
[00:01:00.080 --> 00:01:02.080]  究竟是怎樣
[00:01:02.080 --> 00:01:05.040]  一首很熟悉我們的詩歌
[00:01:05.040 --> 00:01:07.840]  在聖誕我們時時都會唱
[00:01:07.840 --> 00:01:09.840]  就是《普世歡騰》
[00:01:09.840 --> 00:01:14.480]  其實《普世歡騰》這首歌不是給聖誕節的
[00:01:14.480 --> 00:01:18.400]  《普世歡騰》這首歌是給千禧年國
[00:01:18.400 --> 00:01:21.600]  描述千禧年國裏面的情形
[00:01:21.600 --> 00:01:23.600]  你說爲什麼
[00:01:23.600 --> 00:01:26.160]  我們一起來看第一節的詩歌
[00:01:26.160 --> 00:01:31.600]  《普世歡騰,救主下降,大地接他君王》
[00:01:31.600 --> 00:01:32.880]  這一節的詩歌
[00:01:32.880 --> 00:01:38.240]  大家就說還不是講聖誕耶穌基督的降臨
[00:01:38.240 --> 00:01:43.280]  是,但也可以是講耶穌基督第二次的降臨
