
[00:00:00.000 --> 00:00:02.520]  你有沒有試過不見東西呢?
[00:00:02.520 --> 00:00:04.720]  不見一些很重要的東西
[00:00:04.720 --> 00:00:07.300]  或者可能是你的身份證
[00:00:07.300 --> 00:00:08.540]  你的錢包
[00:00:08.540 --> 00:00:10.100]  你的鎖匙
[00:00:10.100 --> 00:00:11.960]  你不見了東西的時候
[00:00:11.960 --> 00:00:13.240]  你又很緊張
[00:00:13.240 --> 00:00:14.900]  因為你覺得很重要
[00:00:14.900 --> 00:00:17.980]  這些東西沒有了是很麻煩的
[00:00:17.980 --> 00:00:19.480]  於是到處找
[00:00:19.480 --> 00:00:22.720]  找得很心急
[00:00:22.720 --> 00:00:23.880]  很混亂的
[00:00:23.880 --> 00:00:27.240]  但是找來找去都找不到
[00:00:27.240 --> 00:00:32.280]  那你慢慢就開始放棄了
[00:00:32.280 --> 00:00:34.520]  你開始想其他東西了
[00:00:34.520 --> 00:00:36.160]  你又開始想一下
[00:00:36.160 --> 00:00:39.320]  怎樣在不見了這些東西的時候
[00:00:39.320 --> 00:00:40.740]  可以繼續生活下去
[00:00:40.740 --> 00:00:42.220]  想一下不如報警吧
[00:00:42.220 --> 00:00:43.660]  拿一張身份證
[00:00:43.660 --> 00:00:46.820]  幸好錢包的錢又不是很多
[00:00:46.820 --> 00:00:49.000]  換個鎖匙吧
[00:00:49.000 --> 00:00:50.240]  鎖匙不見了
[00:00:50.240 --> 00:00:54.880]  於是我們就會適應了不見了的東西
[00:00:54.880 --> 00:00:58.620]  於是我們又很安樂的繼續生活下去
[00:00:58.620 --> 00:01:01.400]  我們的人生有時候都是這樣的
[00:01:01.400 --> 00:01:03.600]  我們都在找東西的
[00:01:03.600 --> 00:01:08.200]  我們覺得我們應該有一個好一點的生活的
[00:01:08.200 --> 00:01:10.700]  我們應該可以快樂一點的
[00:01:10.700 --> 00:01:14.340]  我們覺得我們的快樂是不見了的
[00:01:14.340 --> 00:01:16.880]  所以我們就很心急去找
[00:01:16.880 --> 00:01:19.780]  我們覺得有些東西可以幫我們
[00:01:19.780 --> 00:01:21.980]  建立一個快樂一點的生活的
[00:01:21.980 --> 00:01:23.580]  所以我們會去找錢
[00:01:23.580 --> 00:01:25.720]  我們以為錢賺多一點
[00:01:25.720 --> 00:01:27.260]  我們就會幸福一點
[00:01:27.260 --> 00:01:29.020]  或者我們去學多一點東西
[00:01:29.020 --> 00:01:30.760]  或者我們去找一些人
[00:01:30.760 --> 00:01:32.660]  我們覺得找到一個適合的人
[00:01:32.660 --> 00:01:34.600]  我們的生活就會變得幸福了
[00:01:34.600 --> 00:01:37.600]  但是有時候又找不到的
[00:01:37.600 --> 00:01:39.200]  找來找去都找不到
[00:01:39.200 --> 00:01:42.000]  例如錢都可以找不到的
[00:01:42.000 --> 00:01:44.080]  找來找去都找不到錢
[00:01:44.080 --> 00:01:44.600]  怎麼辦呢?
[00:01:44.600 --> 00:01:46.680]  於是我們就慢慢灰心
[00:01:46.680 --> 00:01:47.980]  慢慢失望
[00:01:47.980 --> 00:01:50.040]  慢慢我們就放棄了
[00:01:50.040 --> 00:01:51.280]  算了,找不到就算了
[00:01:51.280 --> 00:01:51.980]  不要了
[00:01:51.980 --> 00:01:53.280]  人生就是這樣了
[00:01:53.280 --> 00:01:56.580]  就是有很多不幸
[00:01:56.580 --> 00:01:58.320]  有很多無奈
[00:01:58.320 --> 00:02:00.720]  有很多事情都是不太行的
[00:02:00.720 --> 00:02:02.360]  我們都要接受的
[00:02:02.360 --> 00:02:03.820]  我們就接受吧
[00:02:03.820 --> 00:02:05.460]  我們就算了
[00:02:05.460 --> 00:02:07.220]  是不是這樣最好呢?
[00:02:07.220 --> 00:02:08.900]  耶穌講了一個故事
[00:02:08.900 --> 00:02:13.000]  在路加福音第十五章第十一到二十四節
[00:02:13.000 --> 00:02:19.000]  這個浪子的比喻
[00:02:19.000 --> 00:02:20.980]  五堂應該多一點人
