
[00:00:00.000 --> 00:00:04.000]  瑪利亞的訟詞第一句
[00:00:04.000 --> 00:00:07.000]  「我心尊主為大」
[00:00:07.000 --> 00:00:11.000]  是傳達了幾方面的訊息
[00:00:11.000 --> 00:00:14.000]  就是講到要發生的事情
[00:00:14.000 --> 00:00:18.000]  即是講到預言耶穌基督將要降生
[00:00:18.000 --> 00:00:22.000]  不單只是關乎瑪利亞自己的事
[00:00:22.000 --> 00:00:26.000]  更加是和阿伯拉罕的後裔
[00:00:26.000 --> 00:00:29.000]  神的子民相關
[00:00:29.000 --> 00:00:33.000]  瑪利亞有一個卑微的身份
[00:00:33.000 --> 00:00:37.000]  她說「萬代要稱我為有福」
[00:00:37.000 --> 00:00:42.000]  她體會到自己是一個貧窮的家庭出身
[00:00:42.000 --> 00:00:47.000]  但是因著她的孩子將會降生
[00:00:47.000 --> 00:00:49.000]  她是很有福
[00:00:49.000 --> 00:00:53.000]  亦代表一個更加廣大的逆轉
[00:00:53.000 --> 00:01:01.000]  就是說神有權柄是失位的
[00:01:01.000 --> 00:01:07.000]  叫一些有權柄的失去他的地位
[00:01:07.000 --> 00:01:11.000]  叫一些卑賤的升高
[00:01:11.000 --> 00:01:15.000]  叫飢餓的得飽美食
[00:01:15.000 --> 00:01:19.000]  在後面的55節有提到
[00:01:19.000 --> 00:01:23.000]  叫富足的空手回去
[00:01:23.000 --> 00:01:30.000]  逆轉是路加福音一個重要的主題
[00:01:30.000 --> 00:01:35.000]  而這個主題和上帝子民的身份很相關
[00:01:35.000 --> 00:01:40.000]  福音必定臨到被棄絕的一些外邦人裏邊
[00:01:40.000 --> 00:01:47.000]  但是審判也要臨到嫌棄福音的猶太人
[00:01:47.000 --> 00:01:54.000]  耶穌的降生和上帝的拯救工作都要在應驗
[00:01:54.000 --> 00:01:57.000]  在55節她說到
[00:01:57.000 --> 00:02:01.000]  「為要紀念阿伯拉罕和他的後裔
[00:02:01.000 --> 00:02:07.000]  正如從前對我們列祖所說的話」
[00:02:07.000 --> 00:02:13.000]  這一段經文是由一個孩童的誕生
[00:02:13.000 --> 00:02:15.000]  作為一個出發點
[00:02:15.000 --> 00:02:19.000]  去談論到神對以色列的拯救
[00:02:19.000 --> 00:02:24.000]  內容中心就是上帝的恩典
[00:02:24.000 --> 00:02:28.000]  和祂的能力的彰顯
[00:02:28.000 --> 00:02:30.000]  我們看看瑪利亞
[00:02:30.000 --> 00:02:33.000]  她怎樣去蒙恩
[00:02:33.000 --> 00:02:36.000]  在46節瑪利亞說
[00:02:36.000 --> 00:02:39.000]  「我心尊主為大」
[00:02:39.000 --> 00:02:43.000]  在這裏瑪利亞回應伊麗莎白的說話
[00:02:43.000 --> 00:02:46.000]  伊麗莎白在45節提到
[00:02:46.000 --> 00:02:52.000]  瑪利亞相信主對她的說話必然是應驗
[00:02:52.000 --> 00:02:57.000]  而這個尊主還討論到這些說話的內容
[00:02:57.000 --> 00:03:04.000]  在46至49節將這個重點放在瑪利亞身上
[00:03:04.000 --> 00:03:07.000]  她怎樣去蒙恩
[00:03:07.000 --> 00:03:10.000]  她的蒙恩就代表著以色列
[00:03:10.000 --> 00:03:13.000]  他們怎樣被拯救
[00:03:13.000 --> 00:03:16.000]  在54節她說
[00:03:16.000 --> 00:03:20.000]  她輔助了她的僕人以色列
[00:03:20.000 --> 00:03:24.000]  「為要紀念阿伯拉罕和他的後裔
[00:03:24.000 --> 00:03:27.000]  斯聯文直到永遠」
[00:03:27.000 --> 00:03:32.000]  在前文一章35至37節
[00:03:32.000 --> 00:03:35.000]  讓我們看多一點背景
[00:03:35.000 --> 00:03:38.000]  提到天使對瑪利亞說
[00:03:38.000 --> 00:03:41.000]  「聖靈要臨到你的身上
[00:03:41.000 --> 00:03:44.000]  至高者的能力要任避離
[00:03:44.000 --> 00:03:50.000]  因此所要生的聖者必稱為神的兒子
[00:03:50.000 --> 00:03:55.000]  況且你的親屬伊麗莎白
[00:03:55.000 --> 00:03:58.000]  在年老的時候也懷了男胎
[00:03:58.000 --> 00:04:02.000]  就是那素來稱為不生育的
[00:04:02.000 --> 00:04:04.000]  現在有人六個月了
[00:04:04.000 --> 00:04:09.000]  因為出於神的話沒有一句不大能力的」
[00:04:09.000 --> 00:04:11.000]  瑪利亞說
[00:04:11.000 --> 00:04:13.000]  「我是主的侍女
[00:04:13.000 --> 00:04:18.000]  情願照你的話成就在我身上」
[00:04:18.000 --> 00:04:22.000]  一個未出嫁的女子懷孕
[00:04:22.000 --> 00:04:25.000]  是要冒極大的危險
[00:04:25.000 --> 00:04:31.000]  除非孩子的父親願意來迎娶她
[00:04:31.000 --> 00:04:37.000]  否則可能她永遠都不需要出嫁
[00:04:37.000 --> 00:04:42.000]  又或者她的父親要趕她出家門
[00:04:42.000 --> 00:04:49.000]  她就會淪落為黑丐甚至做妓女
[00:04:49.000 --> 00:04:53.000]  瑪利亞由聖靈承孕的事
[00:04:53.000 --> 00:04:58.000]  更有可能被人說是傻的
[00:04:58.000 --> 00:05:01.000]  怎麼會發生這些事呢?
[00:05:01.000 --> 00:05:05.000]  可能你是編出來的故事
[00:05:05.000 --> 00:05:08.000]  縱然冒著這麼大的危險
[00:05:08.000 --> 00:05:10.000]  瑪利亞仍然說
[00:05:10.000 --> 00:05:14.000]  「情願照你的話成就在我身上」
[00:05:14.000 --> 00:05:17.000]  從人的角度來看
[00:05:17.000 --> 00:05:20.000]  這是一件不可能的事情
[00:05:20.000 --> 00:05:23.000]  但是瑪利亞仍然相信
[00:05:23.000 --> 00:05:27.000]  天使對她所說的話是會應驗
[00:05:27.000 --> 00:05:30.000]  如果這件事發生在你
[00:05:30.000 --> 00:05:34.000]  或者你的未婚妻身上
[00:05:34.000 --> 00:05:39.000]  你會有什麼反應呢?
[00:05:39.000 --> 00:05:42.000]  有一些突如其來的事情
[00:05:42.000 --> 00:05:45.000]  你沒有想過會發生
[00:05:45.000 --> 00:05:48.000]  但是就發生了
[00:05:48.000 --> 00:05:51.000]  你會怎麼去面對呢?
[00:05:51.000 --> 00:05:56.000]  可能突然被裁、失業
[00:05:56.000 --> 00:05:59.000]  剛才提到吉安的弟兄姊妹
[00:05:59.000 --> 00:06:03.000]  今年收成不是很好
[00:06:03.000 --> 00:06:05.000]  還預了11月
[00:06:05.000 --> 00:06:10.000]  差不多整個月都是下雨
[00:06:10.000 --> 00:06:15.000]  其實那些穀有一些都是發霉
[00:06:15.000 --> 00:06:18.000]  會減去他們的收入
[00:06:18.000 --> 00:06:22.000]  但是他們仍然說要感謝神
[00:06:22.000 --> 00:06:26.000]  因為他們仍然有他們的居所
[00:06:26.000 --> 00:06:29.000]  想起一些歐洲的難民
[00:06:29.000 --> 00:06:34.000]  相對他們仍然要感謝神
[00:06:34.000 --> 00:06:36.000]  我在八月尾知道
[00:06:36.000 --> 00:06:39.000]  妹夫確診肺癌第四期
[00:06:39.000 --> 00:06:41.000]  散到淋巴
[00:06:41.000 --> 00:06:46.000]  頭部、肝和右邊大腿都有一點
[00:06:46.000 --> 00:06:51.000]  對她來說真的是晴天霹靂
[00:06:51.000 --> 00:06:54.000]  因為七月底她剛參加完
[00:06:54.000 --> 00:06:57.000]  她的兒子大學畢業禮
[00:06:57.000 --> 00:06:59.000]  非常開心
[00:06:59.000 --> 00:07:03.000]  一個月之後得到這個噩耗
[00:07:03.000 --> 00:07:05.000]  真的不容易接受
[00:07:05.000 --> 00:07:07.000]  好像告訴他
[00:07:07.000 --> 00:07:09.000]  你等死
[00:07:09.000 --> 00:07:12.000]  很快你就要面對死亡
[00:07:12.000 --> 00:07:16.000]  妹妹也說感謝神
[00:07:16.000 --> 00:07:18.000]  因為她已經退休
