
[00:00:00.000 --> 00:00:03.120]  我們讀一段聖經在箴言第二十二章第六節
[00:00:03.120 --> 00:00:05.460]  我們一同來讀這一節的聖經
[00:00:05.460 --> 00:00:08.620]  教導孩童使他走當行的道
[00:00:08.620 --> 00:00:11.300]  就是到老他也不偏離
[00:00:11.300 --> 00:00:12.620]  我們就讀到這裡
[00:00:12.620 --> 00:00:14.000]  今天是父親節
[00:00:14.000 --> 00:00:16.260]  首先在這裡恭賀每一位父親
[00:00:16.260 --> 00:00:18.000]  父親節非常非常快樂
[00:00:18.000 --> 00:00:18.620]  你們
[00:00:18.620 --> 00:00:22.660]  你知道每年的父親節
[00:00:22.660 --> 00:00:24.960]  我們都是為全家能夠安排一個
[00:00:24.960 --> 00:00:27.100]  大家全家照相的機會
[00:00:27.100 --> 00:00:28.420]  這些年我也是
[00:00:28.420 --> 00:00:31.720]  都是把每一年我們跟孩子照相
[00:00:31.720 --> 00:00:35.100]  那些照片都是會排在我辦公室裡面
[00:00:35.100 --> 00:00:36.920]  這個布魯頓博士裡面
[00:00:36.920 --> 00:00:38.720]  當然現在孩子長大了
[00:00:38.720 --> 00:00:42.560]  也不見得每一年有機會湊在一起照相
[00:00:42.560 --> 00:00:45.600]  可是每一次我回頭看
[00:00:45.600 --> 00:00:47.100]  這些在布魯頓博士那些照片
[00:00:47.100 --> 00:00:49.800]  看他們從小長大的過程
[00:00:49.800 --> 00:00:51.560]  我真的感覺到
[00:00:51.560 --> 00:00:53.460]  真的神的恩典跟憐憫
[00:00:53.460 --> 00:00:55.620]  真的何等的豐富
[00:00:55.620 --> 00:00:56.860]  很多時候我們回頭來看
[00:00:56.860 --> 00:00:59.220]  我們自己做父親的過程
[00:00:59.220 --> 00:01:02.300]  常常覺得自己何等的軟弱跟不配
[00:01:02.300 --> 00:01:03.920]  但反而在這個過程當中
[00:01:03.920 --> 00:01:06.220]  卻經歷神的幫助 神的供應
[00:01:06.220 --> 00:01:07.020]  Amen
[00:01:07.020 --> 00:01:08.600]  所以每一次在父親節的時候
[00:01:08.600 --> 00:01:11.320]  只想到我們真的有為慈愛的天父
[00:01:11.320 --> 00:01:12.020]  Amen
[00:01:12.020 --> 00:01:14.420]  祂是我們的幫助跟力量
[00:01:14.420 --> 00:01:19.060]  你知道很多時候在兒女成長的過程當中
[00:01:19.060 --> 00:01:23.220]  這個父親的形象是非常重要
[00:01:23.220 --> 00:01:24.820]  所謂這個父親的形象
[00:01:24.820 --> 00:01:27.920]  倒不在於是你的身分跟地位
[00:01:27.920 --> 00:01:31.320]  父親的形象也不是靠教導而來
[00:01:31.320 --> 00:01:36.820]  而是我常說是一種潛移默化的一種影響力
[00:01:36.820 --> 00:01:38.760]  我們的生活行為
[00:01:38.760 --> 00:01:40.360]  我們的喜好
[00:01:40.360 --> 00:01:41.860]  我們的厭惡
[00:01:41.860 --> 00:01:43.500]  我們的習慣
[00:01:43.500 --> 00:01:46.500]  甚至我們裡面的憂慮跟恐懼
[00:01:46.500 --> 00:01:51.360]  常常都會直接或間接的影響到我們的孩子
[00:01:51.360 --> 00:01:53.160]  所以很多時候當你看到孩子的時候
[00:01:53.160 --> 00:01:56.420]  你不覺得好像就看見你自己不是嗎
[00:01:56.420 --> 00:01:58.360]  所以一個做父親的人
[00:01:58.360 --> 00:02:02.500]  讓我們一點不能夠輕忽神所給我們的責任
[00:02:02.500 --> 00:02:05.160]  能夠在我們的家庭當中
[00:02:05.160 --> 00:02:07.600]  真是在我們兒女成長的過程當中
[00:02:07.600 --> 00:02:10.660]  能夠帶來屬靈的影響力
[00:02:10.660 --> 00:02:13.620]  所以今天早上要從四方面來講到
[00:02:13.620 --> 00:02:15.720]  我們怎麼樣在家庭當中
[00:02:15.720 --> 00:02:19.320]  能夠帶來一個屬靈的影響力呢
[00:02:19.320 --> 00:02:22.200]  第一你一定要主動來跟隨神
[00:02:22.200 --> 00:02:26.200]  根本上要主動來跟隨神
[00:02:26.200 --> 00:02:27.500]  做一個基督徒
[00:02:27.500 --> 00:02:31.020]  你需要為自己的靈命的成長
[00:02:31.020 --> 00:02:35.320]  你要建立一個與神很親密的關係
[00:02:35.320 --> 00:02:38.000]  做一個基督徒的父親
[00:02:38.000 --> 00:02:40.700]  你更是要為你兒女的緣故
[00:02:40.700 --> 00:02:42.360]  需要來到神面前
[00:02:42.360 --> 00:02:45.920]  與神建立一個親密的關係
[00:02:45.920 --> 00:02:48.700]  因為信仰是傳承的
[00:02:48.700 --> 00:02:51.100]  一代又一代
[00:02:51.100 --> 00:02:53.300]  當你來跟隨神的時候
[00:02:53.300 --> 00:02:57.520]  你的下一代就自然會來跟隨神
[00:02:57.520 --> 00:02:59.360]  在《身經》當中我們看見了
[00:02:59.360 --> 00:03:01.560]  亞伯拉罕跟羅德
[00:03:01.560 --> 00:03:05.320]  他們是一起從吾爾他們的家鄉出來
[00:03:05.320 --> 00:03:08.560]  要進入一個神應許之地
[00:03:08.560 --> 00:03:11.320]  這兩個人都是認識神
[00:03:11.320 --> 00:03:13.820]  而且他們是屬於神的人
[00:03:13.820 --> 00:03:16.500]  但當我們看這兩個人的結局
[00:03:16.500 --> 00:03:19.600]  我們就看見這何等的不同
[00:03:19.600 --> 00:03:22.160]  亞伯拉罕他的信仰
[00:03:22.160 --> 00:03:25.600]  是一代又一代的傳承
[00:03:25.600 --> 00:03:27.260]  我們的神是被稱為
[00:03:27.260 --> 00:03:30.900]  亞伯拉罕 以撒 雅各的神
