
[00:00:00.000 --> 00:00:26.400]  祭聖準備平安,我們一起來看相帝的話語,好嗎?
[00:00:26.400 --> 00:00:30.400]  剛才謝謝主席念了好幾段比較長的經文
[00:00:30.400 --> 00:00:37.400]  等一下我們都可以當中看到對我們今天的題目有什麼意思
[00:00:37.400 --> 00:00:46.400]  我們就今天談的還是這個生命、生活、生存的問題
[00:00:46.400 --> 00:00:50.400]  這樣想起來好像比較抽象,事實上一點都不抽象
[00:00:50.400 --> 00:01:00.400]  我上個禮拜也看了那一套電影,我今天在你們手頭的情緒單裡面就看到
[00:01:00.400 --> 00:01:02.400]  牧師也寫了兩次了
[00:01:02.400 --> 00:01:10.400]  那麼這個電影有些人也看過,是改編自一個非常著名的日本的作家,遠藤周作
[00:01:10.400 --> 00:01:22.400]  他的作品叫做《沉默》,這個作品是很有震撼力的
[00:01:22.400 --> 00:01:24.400]  拍了電影也拍得非常的好
[00:01:24.400 --> 00:01:28.400]  我去看的時候受了很大的衝擊,也想了很多的問題
[00:01:28.400 --> 00:01:42.400]  那個電影大家也有點聽過是怎樣的,是寫到十六世紀的時候,那些葡萄牙的傳教士,基督教的傳教士去到日本傳福音的時候
[00:01:42.400 --> 00:01:48.400]  在當地,因為那個時候日本政府是很嚴厲的批駁基督徒
[00:01:48.400 --> 00:01:56.400]  傳教士也好,信徒也好,知道他是公開的信仰,或者知道他是一個信徒的話,他就要死了
[00:01:56.400 --> 00:02:01.400]  面對這樣的生命一種的代價的時候,信仰對他有什麼意思?
[00:02:01.400 --> 00:02:05.400]  我一直看,看完以後一直在想這個問題
[00:02:05.400 --> 00:02:10.400]  究竟我們的信仰,我們的信仰對我們的什麼意義?
[00:02:10.400 --> 00:02:17.400]  在生命當中應該是怎樣放到他一個什麼的角色當中?
[00:02:17.400 --> 00:02:20.400]  那麼今天我就跟大家繼續談這個問題
[00:02:20.400 --> 00:02:26.400]  因為我為了這個問題,我就跑回聖經,回到新月聖經裡面
[00:02:26.400 --> 00:02:32.400]  我說,憑我這樣的結學去想沒意思,我要看看聖經怎麼說
[00:02:32.400 --> 00:02:40.400]  所以我就翻查了兩個新月聖經應該是最重要的人物,看看他們臨死的時候,他們怎麼想的
[00:02:40.400 --> 00:02:46.400]  所以我就是做這個功課,今天就跟大家一起來分享一下我所發現的
[00:02:46.400 --> 00:02:53.400]  一個是耶穌,不用說了,第二個就是偉大的仕途保羅
[00:02:53.400 --> 00:02:56.400]  我們今天就看這兩個人,看看他們臨死的時候
[00:02:56.400 --> 00:03:01.400]  剛才我們念這個聖經,就是記載他們面對死亡的時候
[00:03:01.400 --> 00:03:06.400]  他們怎麼樣看他們過去的人生,覺得他們的人生有什麼意義
[00:03:06.400 --> 00:03:10.400]  他們的信仰對他們的人生發揮了什麼作用
[00:03:10.400 --> 00:03:13.400]  我們一起來先看耶穌了
[00:03:13.400 --> 00:03:18.400]  那麼我們看耶穌,剛才我們所念的聖經,如果你有興趣也可以打開
[00:03:18.400 --> 00:03:22.400]  約翰福音如果你不打開的話,你聽我講,剛才也聽過了
[00:03:22.400 --> 00:03:24.400]  所以也記得當中的意思
[00:03:24.400 --> 00:03:31.400]  那麼那段聖經記載耶穌臨被定時死亡以前
[00:03:31.400 --> 00:03:35.400]  羅馬的官叫做比拉多對他的審問
[00:03:35.400 --> 00:03:40.400]  這個審問,比拉多跟耶穌的對話也蠻有意思的
[00:03:40.400 --> 00:03:45.400]  我們來多看一下,有時候我們看聖經的時候沒有留意
[00:03:45.400 --> 00:03:48.400]  你看這兩個人的對話蠻有意思的
[00:03:48.400 --> 00:03:50.400]  首先我們看比拉多
[00:03:50.400 --> 00:03:58.400]  比拉多這個地方官,他永遠想不到面前這個犯人令他名傳千九
