
[00:00:00.000 --> 00:00:06.400]  今日我們讀的一段聖經是《馬拉基書》
[00:00:06.400 --> 00:00:10.000]  《馬拉基書》按著我們中文聖經的編排
[00:00:10.000 --> 00:00:14.600]  是舊約聖經最後的一卷書
[00:00:14.600 --> 00:00:17.400]  所以我不敢問你讀過沒有
[00:00:17.400 --> 00:00:19.400]  名字可能你聽過
[00:00:19.400 --> 00:00:25.400]  它的諧音在酒樓時你可能也聽過
[00:00:25.400 --> 00:00:28.200]  但是我真的不敢問你有沒有讀過
[00:00:28.200 --> 00:00:32.600]  或者知不知道裡面說些什麼
[00:00:32.600 --> 00:00:36.600]  《馬拉基書》其實是在一個處境裡面
[00:00:36.600 --> 00:00:40.800]  這個處境是猶大國亡國之後
[00:00:40.800 --> 00:00:45.200]  然後有波斯的皇帝叫做居魯士
[00:00:45.200 --> 00:00:47.200]  或者叫做古涅
[00:00:47.200 --> 00:00:48.800]  他下命令
[00:00:48.800 --> 00:00:54.400]  他說猶太人可以回到耶路撒冷重建
[00:00:54.400 --> 00:00:59.400]  於是索羅巴伯和耶穌亞帶著第一批猶太人
[00:00:59.400 --> 00:01:01.400]  回到耶路撒冷
[00:01:01.400 --> 00:01:05.800]  幾經艱苦之下去重建
[00:01:05.800 --> 00:01:08.400]  而且得到兩位先知的鼓勵
[00:01:08.400 --> 00:01:11.800]  就是《馬拉基書》前面有兩卷書
[00:01:11.800 --> 00:01:15.800]  叫做《哈該書》和《撒加利亞書》
[00:01:15.800 --> 00:01:20.400]  這兩位先知曾經鼓勵猶太人
[00:01:20.400 --> 00:01:24.400]  叫他們努力重建聖殿
[00:01:24.400 --> 00:01:28.200]  於是總算是按照上帝的應許
[00:01:28.200 --> 00:01:30.400]  他們能夠回到耶路撒冷
[00:01:30.400 --> 00:01:34.000]  而且在七十年滿的時候
[00:01:34.000 --> 00:01:37.800]  能夠建立起當時的聖殿
[00:01:37.800 --> 00:01:40.000]  如果你有熟悉聖經的話
[00:01:40.000 --> 00:01:42.000]  在這一段日子之後
[00:01:42.000 --> 00:01:44.800]  其實在波斯的宮廷裡面
[00:01:44.800 --> 00:01:49.000]  又有另一個事情發生
[00:01:49.000 --> 00:01:54.000]  在那裡上帝藉著末底改和以斯帖
[00:01:54.000 --> 00:01:58.000]  化解了一場宮廷的鬥爭
[00:01:58.000 --> 00:02:03.000]  差點消滅猶太人的滅族仇恨
[00:02:03.000 --> 00:02:06.000]  差點可以回到耶路撒冷
[00:02:06.000 --> 00:02:08.000]  但是總算化解了
[00:02:08.000 --> 00:02:12.000]  總算平息了這個陰謀
[00:02:12.000 --> 00:02:15.000]  然後半世紀經過了
[00:02:15.000 --> 00:02:18.000]  耶路撒冷的重建停了
[00:02:18.000 --> 00:02:23.000]  於是上帝再猜排先知發言
[00:02:23.000 --> 00:02:25.000]  就成為了《馬拉基書》
[00:02:25.000 --> 00:02:28.000]  所以是卡在半坑的時候
[00:02:28.000 --> 00:02:31.000]  不知如何向前走的時候
[00:02:31.000 --> 00:02:33.000]  上帝猜排《馬拉基》
[00:02:33.000 --> 00:02:36.000]  《馬拉基書》的第一節
[00:02:36.000 --> 00:02:38.000]  其實是一個引言
