
[00:00:00.000 --> 00:00:02.000]  大家還拿著聖經嗎?
[00:00:02.000 --> 00:00:04.440]  是啊,拿著聖經吧
[00:00:04.440 --> 00:00:05.880]  剛剛14章說什麼?
[00:00:05.880 --> 00:00:09.400]  14章是說謊言的嗎?
[00:00:09.400 --> 00:00:15.220]  絕對說明大家滿有立場
[00:00:15.220 --> 00:00:17.500]  或者滿有既定的眼鏡
[00:00:17.500 --> 00:00:19.220]  再看清楚14章
[00:00:19.220 --> 00:00:20.760]  第一件事,如果你們沒有記
[00:00:20.760 --> 00:00:23.100]  我們今年順著次序說嘛
[00:00:23.100 --> 00:00:24.160]  我強調就是
[00:00:24.160 --> 00:00:28.520]  其實現在我們看到的是第12、13、14章是一個段落來的
[00:00:28.520 --> 00:00:30.180]  所以14章是說什麼?
[00:00:30.180 --> 00:00:34.840]  你不是牧師會說些什麼嗎?
[00:00:34.840 --> 00:00:35.700]  你自己看看聖經
[00:00:35.700 --> 00:00:38.380]  不如看回前幾節,你已經知道說什麼了
[00:00:38.380 --> 00:00:39.880]  看第一節,第一節說什麼?
[00:00:39.880 --> 00:00:43.600]  不是叫你追求愛
[00:00:43.600 --> 00:00:44.800]  追求愛13章說了
[00:00:44.800 --> 00:00:46.800]  你們要追求愛也要切姆什麼?
[00:00:46.800 --> 00:00:48.800]  屬靈的恩慈
[00:00:48.800 --> 00:00:50.460]  其中更要羨慕的是什麼?
[00:00:50.460 --> 00:00:52.640]  先知講道
[00:00:52.640 --> 00:00:53.800]  三個層次的東西
[00:00:53.800 --> 00:00:54.480]  第一件事
[00:00:54.480 --> 00:00:56.000]  你們要追求愛
[00:00:56.000 --> 00:00:57.120]  多少章說了?
[00:00:57.120 --> 00:00:58.680]  13章說了
[00:00:58.680 --> 00:00:59.980]  我看到了,已經說了
[00:00:59.980 --> 00:01:00.900]  而另一件事就是
[00:01:00.900 --> 00:01:03.460]  我問回12、13、14章在說什麼
[00:01:03.460 --> 00:01:05.540]  其實保羅沒有離開主題
[00:01:05.540 --> 00:01:06.540]  有件事很重要
[00:01:06.540 --> 00:01:09.460]  保羅是《新約時代》這麼多的仕途裡面
[00:01:09.460 --> 00:01:11.340]  思路最清晰的
