
[00:00:00.000 --> 00:00:03.960]  很高興見到大家身體健康
[00:00:03.960 --> 00:00:10.080]  經過一個星期回來一起崇拜
[00:00:10.080 --> 00:00:15.240]  上個月14日的訊息是關於
[00:00:15.240 --> 00:00:22.560]  「寧命長進」
[00:00:22.560 --> 00:00:25.280]  我是用新的 format(模式)
[00:00:25.280 --> 00:00:27.560]  弄出來不知為何又會這樣
[00:00:27.560 --> 00:00:32.360]  所以教會應該要改進
[00:00:32.360 --> 00:00:36.760]  上個星期我講過一個訊息是「更進」
[00:00:36.760 --> 00:00:42.960]  可能教會還未聽到我的訊息
[00:00:42.960 --> 00:00:46.680]  我是用教會提議我的 format(模式)
[00:00:46.680 --> 00:00:49.560]  來寫這個訊息
[00:00:49.560 --> 00:00:57.640]  但到目前為止還是這樣
[00:00:57.640 --> 00:00:59.320]  寧命長進
[00:00:59.320 --> 00:01:08.240]  我們信徒和教會在追求寧命長進的路程上
[00:01:08.240 --> 00:01:14.280]  世俗的思想和作為不停滲入
[00:01:14.280 --> 00:01:18.520]  以及影響我們的生命
[00:01:18.520 --> 00:01:27.600]  以致連教會的運作都受到影響
[00:01:27.600 --> 00:01:33.400]  今天我們來探討一下
[00:01:33.400 --> 00:01:38.000]  信徒和教會不但可以避免世界的影響
[00:01:38.000 --> 00:01:45.320]  而且可以勝過世界
[00:01:45.320 --> 00:01:50.640]  三月份分享的訊息由葡萄樹結果這個故事
[00:01:50.640 --> 00:01:57.240]  帶出我們生命成長的重要
[00:01:57.240 --> 00:02:01.160]  耶穌說:我是葡萄樹,你們是枝子
[00:02:01.160 --> 00:02:06.760]  這樣你們結出很多果子
[00:02:06.760 --> 00:02:11.320]  我負責因此得榮耀
[00:02:11.320 --> 00:02:17.640]  詩篇第一篇又是這樣說
[00:02:17.640 --> 00:02:20.360]  這棵樹在在溪水旁
[00:02:20.360 --> 00:02:26.240]  按時結果指,葉子也不枯乾
[00:02:26.240 --> 00:02:31.120]  凡他所作的盡都順利
[00:02:31.120 --> 00:02:40.840]  寧命長進的信徒所做的盡都順利
[00:02:40.840 --> 00:02:47.040]  必須生活在基督的國度裏面
[00:02:47.040 --> 00:02:49.920]  榮耀神
[00:02:49.920 --> 00:02:57.760]  在行這個路上的時候一定要小心
[00:02:57.760 --> 00:03:00.360]  在歷史的記載我們知道
[00:03:00.360 --> 00:03:05.040]  猶太人不但不小心
[00:03:05.040 --> 00:03:08.640]  而且還行在黑暗的路上
[00:03:08.640 --> 00:03:16.320]  去敬拜那些假神
[00:03:16.320 --> 00:03:20.720]  不繼續活在基督的國度裏面
[00:03:20.720 --> 00:03:26.080]  就好像人如果不住在基督裏面
[00:03:26.080 --> 00:03:35.600]  就好像那些枝子丟在外面枯乾
[00:03:35.600 --> 00:03:42.560]  丟在那些火裏面燒掉
[00:03:42.560 --> 00:03:48.200]  在馬太福音耶穌又教訓
[00:03:48.200 --> 00:03:52.600]  壞樹不能夠結好的果子
[00:03:52.600 --> 00:03:57.320]  因為好樹不能夠結壞果子
[00:03:57.320 --> 00:04:02.520]  壞樹不能夠結好果子
[00:04:02.520 --> 00:04:11.560]  憑著果子就可以認出這棵樹
[00:04:11.560 --> 00:04:19.840]  人不能從荊棘上採取無花果
[00:04:19.840 --> 00:04:26.120]  也不能夠在摘泥裏面摘葡萄樹
[00:04:26.120 --> 00:04:29.600]  摘葡萄
[00:04:29.600 --> 00:04:32.800]  喜伯來書那裏有講
[00:04:32.800 --> 00:04:39.280]  那些猶太人有虎筋長起來
[00:04:39.280 --> 00:04:44.320]  使得他環繞著他
[00:04:44.320 --> 00:04:51.680]  形容那些猶太人的狀況
[00:04:51.680 --> 00:05:03.160]  先知荷西奧預言也用葡萄樹作為一個例子
[00:05:03.160 --> 00:05:08.680]  他說那些葡萄樹自己能夠結果子
[00:05:08.680 --> 00:05:11.600]  那些果子越多
[00:05:11.600 --> 00:05:13.760]  它就越增添祭壇
[00:05:13.760 --> 00:05:20.160]  增添祭壇是獻祭給那些假神的祭壇
[00:05:20.160 --> 00:05:22.920]  他們的土地越肥美
[00:05:22.920 --> 00:05:26.360]  它就越增加那些柱象
[00:05:26.360 --> 00:05:28.800]  那些柱象就越美麗
[00:05:28.800 --> 00:05:35.680]  越美麗去敬拜那些假神偶像
[00:05:35.680 --> 00:05:39.160]  先知荷西奧繼續說
[00:05:39.160 --> 00:05:43.480]  他們的心懷鬼詐
[00:05:43.480 --> 00:05:54.440]  製造許多祭壇去獻祭給外邦的假神
[00:05:54.440 --> 00:05:57.960]  以色列人敬拜耶和華的心
[00:05:57.960 --> 00:06:02.640]  被外邦人的世界所影響
[00:06:02.640 --> 00:06:04.280]  離開了神
[00:06:04.280 --> 00:06:07.920]  而且去拜外邦的假神
[00:06:07.920 --> 00:06:13.040]  這個現象描寫在現代的信徒
[00:06:13.040 --> 00:06:17.400]  不知不覺被世界影響
[00:06:17.400 --> 00:06:19.280]  忘記了神的教導
[00:06:19.280 --> 00:06:22.120]  走在黑暗裏面
[00:06:22.120 --> 00:06:28.680]  現在我們看一下那些歷史
[00:06:28.680 --> 00:06:34.080]  十三世紀到第一世紀的時候
[00:06:34.080 --> 00:06:41.120]  所羅門的王國分裂成南國和北國
[00:06:41.120 --> 00:06:44.360]  以色列人一代一代
[00:06:44.360 --> 00:06:47.480]  跟著那些墮落的君王
[00:06:47.480 --> 00:06:51.920]  那些官員那些祭司
[00:06:51.920 --> 00:06:56.000]  那些慕名的先知
[00:06:56.000 --> 00:07:04.480]  過著一個拜偶像和利器神的生活
[00:07:04.480 --> 00:07:12.320]  他們不但不聽先知的警告
[00:07:12.320 --> 00:07:18.960]  後來以色列和猶太國都被毀滅
[00:07:18.960 --> 00:07:25.480]  在耶路撒冷的聖殿被敵人用火焚燒了
