
[00:00:00.000 --> 00:00:01.640]  各位領政會午安
[00:00:01.640 --> 00:00:05.820]  非常感恩今天可以和大家繼續去看菲律賓書
[00:00:05.820 --> 00:00:07.440]  如果大家有印象
[00:00:07.440 --> 00:00:10.880]  可能記得今次已經是我們第二次去看
[00:00:10.880 --> 00:00:12.600]  菲律賓書三章十七節
[00:00:12.600 --> 00:00:14.760]  至四章一節這段經文
[00:00:14.760 --> 00:00:16.880]  上次我們的題目是
[00:00:16.880 --> 00:00:18.880]  十價仇敵 天上國民
[00:00:18.880 --> 00:00:20.400]  今次我們的題目是
[00:00:20.400 --> 00:00:22.720]  同校基督 大能榮耀
[00:00:22.720 --> 00:00:25.240]  我們先用少少時間重溫一下
[00:00:25.240 --> 00:00:27.760]  上次我們講過的色經重點
[00:00:30.000 --> 00:00:32.880]  弟兄們 你們要一同效法我
[00:00:32.880 --> 00:00:35.120]  你們怎樣有我們做榜樣
[00:00:35.120 --> 00:00:39.280]  就該注意看那些照這樣行的人
[00:00:39.280 --> 00:00:42.640]  當保羅去勸勉菲律賓信徒
[00:00:42.640 --> 00:00:44.720]  一同去效法他的時間
[00:00:44.720 --> 00:00:46.720]  是效法他怎樣去跟隨基督
[00:00:46.720 --> 00:00:47.920]  上次我們看到說
[00:00:47.920 --> 00:00:50.880]  要看哥倫多前書十一章一節
[00:00:50.880 --> 00:00:52.880]  保羅說你們該效法我
[00:00:52.880 --> 00:00:55.920]  像我效法基督一樣
[00:00:55.920 --> 00:00:58.480]  另外當保羅要菲律賓信徒
[00:00:58.480 --> 00:01:01.040]  去注意看那些跟他們
[00:01:01.040 --> 00:01:03.280]  一起努力效法保羅的人
[00:01:03.280 --> 00:01:06.160]  是要以他們做榜樣
[00:01:06.160 --> 00:01:08.000]  榜樣這個字
[00:01:08.000 --> 00:01:09.920]  原文是押人記
[00:01:09.920 --> 00:01:12.720]  你看到一個夾出來的叫押人記
[00:01:12.720 --> 00:01:14.960]  押人像
[00:01:14.960 --> 00:01:17.120]  而三章十七節整句
[00:01:17.120 --> 00:01:19.840]  我們上次有一個圖像化
[00:01:19.840 --> 00:01:22.080]  顯示出那個效法鏈就是這樣的
[00:01:22.080 --> 00:01:25.200]  菲律賓信徒和一些其他的人
[00:01:25.200 --> 00:01:28.160]  他們一班人一起效法保羅
[00:01:28.160 --> 00:01:30.480]  和其他可以作榜樣的人
[00:01:30.480 --> 00:01:32.800]  這些人保羅和作榜樣的人
[00:01:32.800 --> 00:01:38.400]  一同效法耶穌基督
[00:01:38.400 --> 00:01:40.400]  為什麼保羅要菲律賓信徒
[00:01:40.400 --> 00:01:42.240]  注意看那些一起
[00:01:42.240 --> 00:01:45.120]  他們一起去效法保羅的人
[00:01:45.120 --> 00:01:48.400]  是因為保羅屢次告訴你們
[00:01:48.400 --> 00:01:50.720]  現在又流淚告訴你們
[00:01:50.720 --> 00:01:54.800]  許多人行事是基督十字架的仇敵
[00:01:54.800 --> 00:01:57.520]  是因為有很多人從外表看來
[00:01:57.520 --> 00:01:59.520]  他們一起去效法基督
[00:01:59.520 --> 00:02:03.600]  但實質上他們是基督十字架的仇敵
[00:02:03.600 --> 00:02:06.080]  好像提摩的後書保羅所寫
[00:02:06.080 --> 00:02:08.240]  那些人是有敬虔的愛貌
[00:02:08.240 --> 00:02:10.800]  卻背棄了敬虔的實質
[00:02:10.800 --> 00:02:11.760]  所以保羅說
[00:02:11.760 --> 00:02:13.520]  你們要注意看
[00:02:13.520 --> 00:02:16.880]  要辨別這些虛有其表的假信徒
[00:02:16.880 --> 00:02:20.000]  免得被他們引入歧途
[00:02:20.000 --> 00:02:22.160]  我們上次的講道就是集中去看
[00:02:22.160 --> 00:02:25.760]  這個十架仇敵和真信徒的分別
[00:02:25.760 --> 00:02:28.480]  可能你會記得這個表
[00:02:28.480 --> 00:02:30.640]  他們的結局就是滅亡
[00:02:30.640 --> 00:02:32.880]  他們的神明是自己的土福
[00:02:32.880 --> 00:02:36.000]  他們以自己的羞辱為光榮
[00:02:36.000 --> 00:02:37.920]  尊以地上的事為念
[00:02:37.920 --> 00:02:41.600]  我們卻是天上的國民
[00:02:41.600 --> 00:02:42.800]  「尊」字為什麼灰了呢
[00:02:42.800 --> 00:02:44.640]  因為原文是沒有那個「尊」字
[00:02:44.640 --> 00:02:47.280]  他們是以地上的事為念的人
