
[00:00:00.000 --> 00:00:05.600]  我們今天去思想這個題目就是聖潔生活的操練
[00:00:05.600 --> 00:00:12.720]  其實操練這件事在基督教的歷史裏面都是不罕見的
[00:00:12.720 --> 00:00:15.640]  特別在早期基督教裏面
[00:00:15.640 --> 00:00:20.920]  一些修士他們在沙漠裏面去與神安靜
[00:00:20.920 --> 00:00:25.000]  其中有一位在中世紀時代很出名的
[00:00:25.000 --> 00:00:31.120]  這位我忽然間忘記了 聖法蘭西斯
[00:00:31.120 --> 00:00:35.160]  聖法蘭西斯我們最熟悉的就是他的土文
[00:00:35.160 --> 00:00:39.360]  但其實聖法蘭西斯是一個很強調
[00:00:39.360 --> 00:00:42.240]  簡樸生活的一位修士
[00:00:42.240 --> 00:00:46.640]  在他的生命裏面他見到花草樹木
[00:00:46.640 --> 00:00:48.240]  見到大自然的時候
[00:00:48.240 --> 00:00:51.000]  他們都是爲着他所見的
[00:00:51.000 --> 00:00:54.560]  他所接觸的他去感謝神
[00:00:54.560 --> 00:00:58.640]  今天我們很需要有這種操練
[00:00:58.640 --> 00:01:03.440]  很多人認爲操練就是一種形式 律法主義
[00:01:03.440 --> 00:01:11.800]  操練就好像令到我們將那個恩典去忘記
[00:01:11.800 --> 00:01:14.400]  但其實操練是今天這個現代人
[00:01:14.400 --> 00:01:17.840]  或者後現代人一個很重要的一環
[00:01:17.840 --> 00:01:24.760]  恕我這麼說 我們現在越來越少講操練或者聖潔這些題目
[00:01:24.760 --> 00:01:29.400]  我們經常擔心就是因爲我們自己講的人都未達到這個標準
[00:01:29.400 --> 00:01:31.160]  那我們怎麼講呢
[00:01:31.160 --> 00:01:36.480]  但實際上我們要講不是因爲我們已經做得到
[00:01:36.480 --> 00:01:38.880]  而是因爲這個是神的心意
[00:01:38.880 --> 00:01:42.560]  神要我們去活出這種聖潔的生命
[00:01:42.560 --> 00:01:45.560]  所以讓我們一起的禱告
[00:01:45.560 --> 00:01:48.920]  慈愛的聖天父我們滿心感謝你
[00:01:48.920 --> 00:01:52.360]  因爲你賜下主耶穌在我們的中間
[00:01:52.360 --> 00:01:55.200]  主耶穌的生命就是一個簡樸的生命
[00:01:55.200 --> 00:01:59.040]  主耶穌的生命就是一個聖潔無瑕的生命
[00:01:59.040 --> 00:02:01.960]  主耶穌就成爲我們的榜樣
[00:02:01.960 --> 00:02:06.240]  聖經裏面說我們要完全像我們天父完全一樣
