
[00:00:00.000 --> 00:00:07.800]  頂智慧五嬅在我仍然讀書的時候
[00:00:07.800 --> 00:00:12.300]  我都不是很勤力
[00:00:12.300 --> 00:00:16.200]  但都有幫忙媽媽做一些家務
[00:00:16.200 --> 00:00:20.000]  除了日常的家務之外
[00:00:20.000 --> 00:00:28.900]  令我最深刻印象的就是洗抽器扇
[00:00:28.900 --> 00:00:31.700]  當時我爸爸已經不在了
[00:00:31.700 --> 00:00:34.600]  抽器扇就在高一點的位置
[00:00:34.600 --> 00:00:37.200]  所以要爬上去洗
[00:00:37.200 --> 00:00:39.400]  媽媽爬不了
[00:00:39.400 --> 00:00:44.700]  當時我和姐姐都花了很多時間讀書
[00:00:44.700 --> 00:00:46.600]  所以就不用洗了
[00:00:46.600 --> 00:00:48.400]  一年才洗一次
[00:00:48.400 --> 00:00:50.500]  不得了
[00:00:50.500 --> 00:00:56.600]  你會想像到框和扇葉
[00:00:56.600 --> 00:01:00.400]  其實是積了很厚的油漬
[00:01:00.400 --> 00:01:01.700]  怎麼辦呢
[00:01:01.700 --> 00:01:06.200]  要用清潔劑去洗
[00:01:06.200 --> 00:01:10.700]  甚至要用鏟子鏟走它
[00:01:10.700 --> 00:01:14.200]  但當弄了一大輪之後
[00:01:14.200 --> 00:01:18.400]  變成立立立立又挺開心的
[00:01:18.400 --> 00:01:21.500]  不過我到後期才知道
[00:01:21.500 --> 00:01:24.400]  其實這個不是最好的方法
[00:01:24.400 --> 00:01:31.000]  可以將它浸在清潔劑和梳打粉
[00:01:31.000 --> 00:01:34.500]  這樣會清洗得好一點
[00:01:34.500 --> 00:01:39.200]  我相信清理污垢
[00:01:39.200 --> 00:01:42.500]  其實都是一個學問
[00:01:42.500 --> 00:01:46.400]  你說更好的當然不是一年洗一次
[00:01:46.400 --> 00:01:51.200]  勤力一點處理它好很多
[00:01:51.200 --> 00:01:55.400]  當我去看《掩鎖書》第五章的時候
[00:01:55.400 --> 00:01:57.900]  我就想起這個場景
[00:01:57.900 --> 00:02:02.100]  其實處理我們生命裏面
[00:02:02.100 --> 00:02:08.000]  應該怎樣維持它一個好的狀態
[00:02:08.000 --> 00:02:10.300]  其實都相類似
[00:02:10.300 --> 00:02:13.700]  今天要和大家去看
[00:02:13.700 --> 00:02:17.600]  《掩鎖書》第五章第八節開始
[00:02:17.600 --> 00:02:23.500]  先和大家讀一讀第一段落
[00:02:23.500 --> 00:02:25.800]  八節到第十四節
[00:02:25.800 --> 00:02:27.600]  好 預備起
[00:02:27.600 --> 00:02:29.800]  從前你們是暗會的
[00:02:29.800 --> 00:02:33.000]  但如今在主裏面是光明的
[00:02:33.000 --> 00:02:36.900]  行事為人就當像光明的子女
[00:02:36.900 --> 00:02:38.700]  光明所見的果子
[00:02:38.700 --> 00:02:42.200]  就是一切良善 公義誠實
[00:02:42.200 --> 00:02:45.900]  總要察驗何為主所喜悅的事
[00:02:45.900 --> 00:02:47.900]  那暗會無益的事
[00:02:47.900 --> 00:02:49.600]  不要與人同行
[00:02:49.600 --> 00:02:52.800]  倒要責備行者事的人
[00:02:52.800 --> 00:02:55.200]  因為他們暗中所行的
[00:02:55.200 --> 00:02:58.700]  就是提起來 也是可恥的
[00:02:58.700 --> 00:03:04.500]  因為他們暗中所行的
[00:03:04.500 --> 00:03:06.700]  漏了 對不起 抄錯了
[00:03:06.700 --> 00:03:08.300]  所以主說
[00:03:08.300 --> 00:03:10.000]  你正睡著的人
[00:03:10.000 --> 00:03:12.700]  當醒過來 從死裏復活
[00:03:12.700 --> 00:03:16.500]  基督就要光照你了
[00:03:16.500 --> 00:03:18.600]  第八節
[00:03:18.600 --> 00:03:20.700]  這個暗會這個字
[00:03:20.700 --> 00:03:24.300]  其實原本是黑暗的意思
[00:03:24.300 --> 00:03:28.600]  你看其他的中文聖經的譯本
[00:03:28.600 --> 00:03:30.500]  你就會看得到
[00:03:30.500 --> 00:03:35.700]  黑暗其實那個對比就是光明
[00:03:35.700 --> 00:03:37.500]  所以類似的說法
[00:03:37.500 --> 00:03:40.800]  其實在保羅書信其他的地方
[00:03:40.800 --> 00:03:42.200]  都有提過的
[00:03:42.200 --> 00:03:45.200]  包括《貼索雷加前書》第五章
[00:03:45.200 --> 00:03:48.300]  羅馬書十三章都有提過的
[00:03:48.300 --> 00:03:51.500]  話本就將這個黑暗的字
[00:03:51.500 --> 00:03:54.400]  就將它翻譯成為暗會
[00:03:54.400 --> 00:03:58.900]  其實就加多了一些道德性的
[00:03:58.900 --> 00:04:02.300]  倫理性的意味在其中
[00:04:02.300 --> 00:04:08.100]  有人就曾經用太陽和月亮
[00:04:08.100 --> 00:04:09.900]  做一個的類比
[00:04:09.900 --> 00:04:13.300]  當主耶穌到乘肉身來到世界
[00:04:13.300 --> 00:04:18.700]  其實就好像太陽的光那樣照耀大地
[00:04:18.700 --> 00:04:20.900]  太陽是會落山的
[00:04:20.900 --> 00:04:25.100]  當太陽落山 月亮就升起來了
[00:04:25.100 --> 00:04:30.400]  月亮是代表教會和我們每一個信徒
[00:04:30.400 --> 00:04:31.900]  大家都會明白
[00:04:31.900 --> 00:04:37.200]  其實當教會能夠發光
[00:04:37.200 --> 00:04:39.200]  好像月亮那樣
[00:04:39.200 --> 00:04:42.500]  月亮不是自己會發光 是不是
[00:04:42.500 --> 00:04:49.100]  是因為它是反射著太陽的光線
[00:04:49.100 --> 00:04:52.900]  月亮在五月的時候
[00:04:52.900 --> 00:04:55.700]  八月十五是特別圓的
[00:04:55.700 --> 00:04:57.400]  特別光的
[00:04:57.400 --> 00:05:00.400]  但不是每晚都是八月十五
[00:05:00.400 --> 00:05:06.700]  有些時候其實月亮未必是那麼光的
[00:05:06.700 --> 00:05:11.200]  教會或者我們的生命都是一樣的
[00:05:11.200 --> 00:05:13.500]  有些時候會比較暗淡
[00:05:13.500 --> 00:05:19.700]  正因為光源本身不是來自月亮自己
[00:05:19.700 --> 00:05:22.200]  什麼時候光 什麼時候暗
[00:05:22.200 --> 00:05:28.700]  就視乎究竟它是反射到多少的太陽光了
[00:05:28.700 --> 00:05:31.100]  所以值得反思的就是
[00:05:31.100 --> 00:05:33.600]  究竟你和我的生命
[00:05:33.600 --> 00:05:36.700]  或者官宣這個群體
[00:05:36.700 --> 00:05:42.800]  究竟我們反射到多少太陽的光芒
[00:05:42.800 --> 00:05:47.400]  另外在第八節還有一個值得我們留意的地方
[00:05:47.400 --> 00:05:51.900]  就是這裡不單止是教會的信徒
[00:05:51.900 --> 00:05:54.400]  是身處在黑暗之中
[00:05:54.400 --> 00:06:00.100]  留意這裡是講到它的本質是黑暗的
[00:06:00.100 --> 00:06:02.100]  原本都是這麼黑的
[00:06:02.100 --> 00:06:04.000]  不過感恩的就是
[00:06:04.000 --> 00:06:08.500]  這個已經是信耶穌之前的事了
[00:06:08.500 --> 00:06:14.700]  這裡說如今在主裡面就不再一樣了
[00:06:14.700 --> 00:06:18.200]  既然他們在主裡面
[00:06:18.200 --> 00:06:21.100]  他們的行事為人
[00:06:21.100 --> 00:06:24.100]  就當著光明的子女
[00:06:24.100 --> 00:06:25.800]  經文是這樣說的
[00:06:25.800 --> 00:06:30.300]  就是他們的生活應該和以前是不同的
[00:06:30.300 --> 00:06:31.400]  有改變
[00:06:31.400 --> 00:06:35.300]  甚至是一個強烈的對比
[00:06:35.300 --> 00:06:39.300]  可以讓人看到它光明的那一面
[00:06:39.300 --> 00:06:44.100]  有一本很久以前的書叫做《密室》
[00:06:44.100 --> 00:06:46.600]  就是可能比較信耶穌
[00:06:46.600 --> 00:06:47.400]  信得久的
