
[00:00:00.000 --> 00:00:02.640]  讓我們在聆聽主導以先
[00:00:02.640 --> 00:00:04.680]  我們再次一同的禱告
[00:00:04.680 --> 00:00:07.160]  將我們的心思意念交給我們主外之神
[00:00:07.160 --> 00:00:12.920]  父神多謝祢
[00:00:12.920 --> 00:00:15.080]  讓我們可以有生命有氣息
[00:00:15.080 --> 00:00:17.440]  能夠去打開祢的說話
[00:00:17.440 --> 00:00:21.280]  看上主祢在當中藉著
[00:00:21.280 --> 00:00:23.080]  祢的愛子耶穌的作功
[00:00:23.080 --> 00:00:25.080]  祂的陳述 祂的介紹
[00:00:25.080 --> 00:00:27.280]  以及祂的訓練
[00:00:27.840 --> 00:00:30.920]  讓我們去對上主祢有更深的認識
[00:00:30.920 --> 00:00:35.720]  也讓我們能夠成為主祢的子民的一份子
[00:00:35.720 --> 00:00:37.840]  好使我們更加明白
[00:00:37.840 --> 00:00:41.960]  我們這位神國裡面的主祂的心思
[00:00:41.960 --> 00:00:44.920]  從而我們也都如何學曉 如何依咒
[00:00:44.920 --> 00:00:46.560]  求祢的幫助
[00:00:46.560 --> 00:00:48.080]  帶領我們每一個
[00:00:48.080 --> 00:00:51.040]  能夠在這段經文裡面
[00:00:51.040 --> 00:00:54.720]  重拾一個經由屬神子民
[00:00:54.720 --> 00:00:57.720]  有上帝養息的生命
[00:00:58.280 --> 00:01:00.600]  好告奉靠主耶穌的德性的名字
[00:01:00.600 --> 00:01:06.160]  最近我就去參加了一個很短的課程
[00:01:06.160 --> 00:01:09.440]  這個課程就是叫做
[00:01:09.440 --> 00:01:13.440]  如何跳出個人的偏見
[00:01:13.440 --> 00:01:16.400]  在這個課程裡面
[00:01:16.400 --> 00:01:19.920]  介紹了很多不同類型的偏見
[00:01:19.920 --> 00:01:23.120]  或者這些偏見的由來
[00:01:23.120 --> 00:01:25.400]  拋一下書包
[00:01:25.800 --> 00:01:29.760]  有些叫做Implicit Bias
[00:01:29.760 --> 00:01:33.960]  有一種叫做Affinity Bias
[00:01:33.960 --> 00:01:35.600]  有很多種的
[00:01:35.600 --> 00:01:38.680]  其實在這個課程裡面
[00:01:38.680 --> 00:01:42.240]  很多我都不在這裡研究什麼叫做偏見
[00:01:42.240 --> 00:01:43.760]  所以不一一列舉
[00:01:43.760 --> 00:01:48.080]  但其中有一種很有趣的問題就是
[00:01:48.080 --> 00:01:53.080]  它教我們如何排除偏見
[00:01:54.280 --> 00:01:57.920]  其中一個很重要的方法
[00:01:57.920 --> 00:02:02.360]  就是不斷向自己去發問題
[00:02:02.360 --> 00:02:08.120]  簡單一點的用廣東話說就是反省
[00:02:08.120 --> 00:02:13.280]  其實用英文說是Reflection
[00:02:13.280 --> 00:02:16.080]  你問一些問題去問一下自己
[00:02:16.080 --> 00:02:19.960]  究竟為什麼我會有這種偏見呢
[00:02:19.960 --> 00:02:22.960]  這件偏見的源由在哪裡呢
[00:02:23.440 --> 00:02:27.680]  他說會發現到大部分的偏見
[00:02:27.680 --> 00:02:32.680]  都是由個人的慣性來造成的
[00:02:32.680 --> 00:02:33.800]  什麼叫做慣性呢
[00:02:33.800 --> 00:02:36.240]  就是可能因為你從小到大
[00:02:36.240 --> 00:02:38.160]  都是這樣接觸一件事
[00:02:38.160 --> 00:02:39.480]  這樣去看一件事
[00:02:39.480 --> 00:02:43.480]  因為你的文化背景是這樣的構造
[00:02:43.480 --> 00:02:48.320]  於是乎你就用這種的成為一種常規
[00:02:48.320 --> 00:02:52.120]  來量度每一種其他的現象
[00:02:52.840 --> 00:02:54.840]  最簡單的一個例子就是
[00:02:54.840 --> 00:02:59.720]  他說用你的民族、文化
[00:02:59.720 --> 00:03:02.440]  譬如我們中國人
[00:03:02.440 --> 00:03:05.040]  我們叫做中國人
[00:03:05.040 --> 00:03:09.080]  準確一點我們叫做華人或者漢人
[00:03:09.080 --> 00:03:10.640]  什麼人都好
[00:03:10.640 --> 00:03:12.480]  不要緊都是一個名堂
[00:03:12.480 --> 00:03:18.680]  我們很多時候都會用一種華人的觀念去看
[00:03:18.680 --> 00:03:21.200]  文化傳統是怎樣的
[00:03:22.160 --> 00:03:26.320]  譬如吃的東西是怎樣處理
[00:03:26.320 --> 00:03:30.240]  但是就因為這種背景
[00:03:30.240 --> 00:03:33.640]  就造成了我們對一些不同的民族
[00:03:33.640 --> 00:03:35.600]  不同的習慣
[00:03:35.600 --> 00:03:39.720]  就是一種很大的批評
[00:03:39.720 --> 00:03:41.040]  甚至可能是否定
[00:03:41.040 --> 00:03:44.160]  華人通常怎樣吃東西呢
[00:03:44.160 --> 00:03:48.120]  通常就是用筷子
[00:03:48.120 --> 00:03:49.960]  你說不是啊穆斯林
[00:03:49.960 --> 00:03:51.200]  我不用筷子的
[00:03:51.200 --> 00:03:52.880]  那就另一回事了
[00:03:52.880 --> 00:03:59.600]  但是當你看到印度人吃東西的時候
[00:03:59.600 --> 00:04:01.200]  很喜歡用手去吃
[00:04:01.200 --> 00:04:03.440]  你就會覺得
[00:04:03.440 --> 00:04:06.320]  第一樣你就會有個批評
[00:04:06.320 --> 00:04:07.760]  譬如不衛生
[00:04:07.760 --> 00:04:13.280]  如果用現在的量度就更加重要了
[00:04:13.280 --> 00:04:16.800]  現在我們對健康很緊張
[00:04:16.800 --> 00:04:19.800]  傳染病毒這樣也會
[00:04:20.360 --> 00:04:22.160]  這種就叫做偏見
[00:04:22.160 --> 00:04:25.200]  因為我們按照我們自己個人有一種信心
[00:04:25.200 --> 00:04:30.320]  去量度其他的人
[00:04:30.320 --> 00:04:34.280]  為了避免這種情況
[00:04:34.280 --> 00:04:35.440]  是繼續衍生
[00:04:35.440 --> 00:04:38.080]  甚至變成一種傷害的層次
[00:04:38.080 --> 00:04:39.920]  於是乎在這個課程就說
[00:04:39.920 --> 00:04:40.840]  你要去問一下
[00:04:40.840 --> 00:04:43.040]  我為什麼要這樣批評他
[00:04:43.040 --> 00:04:46.880]  批評的基礎是從哪裡而來呢
[00:04:46.880 --> 00:04:49.960]  當我們去問這些問題的時候
[00:04:49.960 --> 00:04:55.480]  我們就開始學會怎麼跳出自己的背景
[00:04:55.480 --> 00:04:56.920]  以及我的慣性
[00:04:56.920 --> 00:05:01.160]  然後去了解別人為什麼要這樣做
[00:05:01.160 --> 00:05:03.360]  用回剛才那個例子就是
[00:05:03.360 --> 00:05:05.000]  他用手吃東西
[00:05:05.000 --> 00:05:07.480]  是不是就一定是不衛生呢
[00:05:07.480 --> 00:05:12.960]  根據現在西方的一些研究
[00:05:12.960 --> 00:05:16.080]  其實我崇拜聖餐
[00:05:16.080 --> 00:05:18.400]  聖餐為了大家好一點
[00:05:18.400 --> 00:05:19.560]  就說戴一隻手套
[00:05:20.040 --> 00:05:22.840]  其實根據研究所知
[00:05:22.840 --> 00:05:25.200]  如果你的手是洗得乾淨
[00:05:25.200 --> 00:05:27.240]  你的手是乾淨過戴手套的
[00:05:27.240 --> 00:05:31.120]  可能戴手套傳染的機會更高一點
[00:05:31.120 --> 00:05:34.560]  不過這些其他限
[00:05:34.560 --> 00:05:36.240]  言外之話
[00:05:36.240 --> 00:05:37.920]  不過你可以看到
[00:05:37.920 --> 00:05:40.240]  其實我們多問一條問題
[00:05:40.240 --> 00:05:42.080]  那為什麼你要戴手套呢
[00:05:42.080 --> 00:05:45.560]  不戴手套是不是等同於他不健康呢
[00:05:45.560 --> 00:05:47.200]  會傳染疾病呢
[00:05:47.200 --> 00:05:49.360]  我們問回這個問題的時候
