
[00:00:00.000 --> 00:00:01.920]  弟兄姊妹又讀聖經了
[00:00:01.920 --> 00:00:04.240]  「祈禱以備聽見」
[00:00:04.240 --> 00:00:08.600]  生命說書的網絡提供的聖經人聖經故事
[00:00:08.600 --> 00:00:11.080]  「祈禱以備聽見」
[00:00:11.080 --> 00:00:12.080]  是什麼來的?
[00:00:12.080 --> 00:00:15.040]  仍然是施洗約翰的故事
[00:00:15.040 --> 00:00:18.760]  施洗約翰的故事是非常豐富的
[00:00:18.760 --> 00:00:20.480]  路加福音的記載
[00:00:20.480 --> 00:00:22.800]  我們先看約翰福音
[00:00:22.800 --> 00:00:23.920]  然後看馬太福音
[00:00:23.920 --> 00:00:25.760]  現在看路加福音
[00:00:25.760 --> 00:00:27.760]  路加福音一章五節
[00:00:27.760 --> 00:00:30.640]  「當猶太王希律的時候
[00:00:30.640 --> 00:00:35.040]  阿比亞班裡有一個祭司
[00:00:35.040 --> 00:00:36.760]  名叫撒加利亞
[00:00:36.760 --> 00:00:39.360]  他妻子是阿倫的後人
[00:00:39.360 --> 00:00:40.760]  名叫伊麗莎白」
[00:00:40.760 --> 00:00:43.560]  先解釋一下
[00:00:43.560 --> 00:00:44.840]  再提一次
[00:00:44.840 --> 00:00:47.320]  綠色字是注釋
[00:00:47.320 --> 00:00:49.280]  黑色字紅色字
[00:00:49.280 --> 00:00:51.400]  就是和合本原來的文字
[00:00:51.400 --> 00:00:55.640]  紅色字是想爭取你的眼球
[00:00:55.640 --> 00:00:58.880]  妻子是阿倫的後人
[00:00:58.880 --> 00:01:00.080]  名叫伊麗莎白
[00:01:00.080 --> 00:01:04.000]  「他們二人在神面前都是二人來的
[00:01:04.000 --> 00:01:06.880]  遵行主的一切誡命禮儀
[00:01:06.880 --> 00:01:08.920]  沒有可指責的
[00:01:08.920 --> 00:01:12.960]  不過他們沒有孩子
[00:01:12.960 --> 00:01:18.840]  因為伊麗莎白畢生育兩個人年紀又老邁了
[00:01:18.840 --> 00:01:23.800]  撒加利亞按班次在神面前
[00:01:23.800 --> 00:01:25.640]  供祭司的積罰」
[00:01:25.640 --> 00:01:27.240]  撒加利亞是一個祭司
[00:01:27.240 --> 00:01:31.040]  是阿比亞班的班次
[00:01:31.040 --> 00:01:33.280]  裡面其中一位是祭司
[00:01:33.280 --> 00:01:35.040]  「祭司那麼多位
[00:01:35.040 --> 00:01:39.880]  於是他們按照祭司的規矩祭籤
[00:01:39.880 --> 00:01:41.640]  抽籤
[00:01:41.640 --> 00:01:44.320]  看誰可以入主的殿
[00:01:44.320 --> 00:01:46.520]  笑向祈禱」
[00:01:46.520 --> 00:01:51.120]  入主的殿笑向祈禱是這樣的
[00:01:51.120 --> 00:01:57.480]  當猶太王希律的時候
[00:01:57.480 --> 00:02:01.200]  希律是甚麼意思呢?
[00:02:01.200 --> 00:02:06.360]  希律是英勇的
[00:02:06.360 --> 00:02:09.240]  有很多班祭司
[00:02:09.240 --> 00:02:11.680]  其中一班是阿比亞班
[00:02:11.680 --> 00:02:16.440]  阿比亞的意思是
[00:02:16.440 --> 00:02:23.000]  「我父親是耶和華」
[00:02:23.000 --> 00:02:24.800]  裡面有一個祭司
[00:02:24.800 --> 00:02:27.000]  這個祭司叫撒加利亞
[00:02:27.000 --> 00:02:30.880]  撒加利亞是被耶和華紀念的意思
[00:02:30.880 --> 00:02:32.960]  是一個好名字
[00:02:32.960 --> 00:02:36.800]  撒加利亞是被耶和華紀念的意思
[00:02:36.800 --> 00:02:40.600]  他的妻子是亞倫的後人
[00:02:40.600 --> 00:02:42.600]  亞倫是甚麼意思呢?
[00:02:42.600 --> 00:02:45.280]  亞倫是帶來光的人
[00:02:45.280 --> 00:02:51.560]  亞倫是帶來光的人
[00:02:51.560 --> 00:02:57.200]  撒加利亞的丈夫是祭司
[00:02:57.200 --> 00:03:01.000]  太太伊麗莎白也是亞倫的後人
[00:03:01.000 --> 00:03:04.680]  所以兩個都是亞倫後人才可以做到祭司
[00:03:04.680 --> 00:03:07.480]  他的妻子也是亞倫後人
[00:03:07.480 --> 00:03:09.920]  叫做伊麗莎白
[00:03:09.920 --> 00:03:16.160]  伊麗莎白就是我們現在很多人用的英文名
[00:03:16.160 --> 00:03:21.040]  伊麗莎白是神的誓言的意思
