
[00:00:00.000 --> 00:00:04.600]  大家最近有沒有常常聽到一個英文字
[00:00:04.600 --> 00:00:08.440]  最常見聽到的一個英文字
[00:00:08.440 --> 00:00:10.740]  有沒有人要猜猜看
[00:00:10.740 --> 00:00:14.840]  感謝主 剛才陳彥猜了 他說是social distance
[00:00:14.840 --> 00:00:17.400]  yes yes social distance也是
[00:00:17.400 --> 00:00:20.480]  但是另外一個字叫做new normal
[00:00:20.480 --> 00:00:21.500]  new normal
[00:00:21.500 --> 00:00:23.540]  那什麼叫做new normal
[00:00:23.540 --> 00:00:25.340]  你能夠想得出來嗎
[00:00:25.340 --> 00:00:26.620]  這是一個
[00:00:26.620 --> 00:00:28.160]  新的正常
[00:00:28.160 --> 00:00:29.940]  新的正常方式
[00:00:30.200 --> 00:00:31.480]  新的常態
[00:00:31.480 --> 00:00:33.780]  但他的具體內容是什麼呢
[00:00:33.780 --> 00:00:36.600]  比方說我們去costco買東西
[00:00:36.600 --> 00:00:38.140]  那要付錢的時候
[00:00:38.140 --> 00:00:39.940]  你要照著地上畫的格子
[00:00:39.940 --> 00:00:41.980]  站在那個格子裡面
[00:00:41.980 --> 00:00:45.560]  以免的給人家帶來壓力和緊張
[00:00:45.560 --> 00:00:46.600]  那等到
[00:00:46.600 --> 00:00:50.940]  而且你還要等到前面的人都算好帳了
[00:00:50.940 --> 00:00:52.480]  你才可以把你的東西
[00:00:52.480 --> 00:00:53.500]  放上去那個
[00:00:53.500 --> 00:00:55.300]  轉盤上
[00:00:55.300 --> 00:00:56.060]  而且
[00:00:56.320 --> 00:01:00.420]  到了客人面前 前面隔著一層透明的壓克力
[00:01:00.420 --> 00:01:02.720]  避免直接接觸
[00:01:02.720 --> 00:01:05.280]  到了走到大門口
[00:01:05.280 --> 00:01:10.400]  他要看你收據的時候一抬頭又是一套透明的壓克力
[00:01:10.400 --> 00:01:12.440]  那走在路上面
[00:01:12.440 --> 00:01:15.260]  你一定要跟人家維持一個距離
[00:01:15.260 --> 00:01:18.340]  就像剛才燕子說的social distance
[00:01:18.340 --> 00:01:21.160]  那去銀行呢
[00:01:21.160 --> 00:01:22.440]  大部分的銀行
[00:01:22.440 --> 00:01:23.720]  都要你drive through
[00:01:23.720 --> 00:01:24.740]  但是
[00:01:25.000 --> 00:01:27.040]  BOA Bank of America是開的
[00:01:27.040 --> 00:01:29.340]  但是行員跟客人之間
[00:01:29.340 --> 00:01:32.160]  也隔著一層透明的壓克力
[00:01:32.160 --> 00:01:33.180]  其實
[00:01:33.180 --> 00:01:35.240]  這種保護是挺好的
[00:01:35.240 --> 00:01:37.020]  而且既然隔離了
[00:01:37.020 --> 00:01:37.800]  而且
[00:01:37.800 --> 00:01:39.340]  也是一種
[00:01:39.340 --> 00:01:42.660]  還算是蠻軟性的對不對因為你隔著壓克力
[00:01:42.660 --> 00:01:46.240]  你還是可以有很親切的微笑很熱心的服務
[00:01:46.240 --> 00:01:48.800]  那除了這些之外
[00:01:48.800 --> 00:01:51.100]  還有什麼new normal呢
[00:01:51.100 --> 00:01:52.380]  比方說
[00:01:52.380 --> 00:01:53.660]  教會的直播
[00:01:53.660 --> 00:01:54.940]  還有我們
[00:01:55.200 --> 00:01:57.760]  所有的聚會都在網上聚會
[00:01:57.760 --> 00:02:01.860]  這實在是一件非常特別的事情
[00:02:01.860 --> 00:02:02.640]  因為
[00:02:02.640 --> 00:02:05.440]  我們用Zoom在聚會
[00:02:05.440 --> 00:02:06.720]  所以我們深圳
[00:02:06.720 --> 00:02:07.760]  我們香港
[00:02:07.760 --> 00:02:09.800]  我們上海的弟兄姊妹
[00:02:09.800 --> 00:02:11.340]  都可以來參與
[00:02:11.340 --> 00:02:13.380]  所以這是一個new
[00:02:13.380 --> 00:02:15.440]  interesting的normal
[00:02:15.440 --> 00:02:16.980]  很好的normal
[00:02:16.980 --> 00:02:20.040]  還有學校
[00:02:20.040 --> 00:02:22.080]  現在都是網上教學
[00:02:22.080 --> 00:02:24.640]  很多學習
[00:02:24.900 --> 00:02:25.660]  什麼
[00:02:25.660 --> 00:02:28.740]  鋼琴課啊小提琴課啊
