
[00:00:00.000 --> 00:00:02.420]  犯了很多罪的一位女士
[00:00:02.420 --> 00:00:04.700]  叫做 Lynette Fong
[00:00:04.700 --> 00:00:07.360]  很轟動的一事就是
[00:00:07.360 --> 00:00:08.760]  1975年
[00:00:08.760 --> 00:00:14.000]  她嘗試去行刺美國總統福特
[00:00:14.000 --> 00:00:17.520]  結果當然不成功被人抓了
[00:00:17.520 --> 00:00:19.920]  判了終身監禁
[00:00:19.920 --> 00:00:23.920]  後來我們看回事情發展
[00:00:23.920 --> 00:00:27.000]  在2009年被釋放
[00:00:27.000 --> 00:00:30.840]  我們會看看這位 Lynette
[00:00:30.840 --> 00:00:33.040]  究竟她的人生是怎樣的呢
[00:00:33.040 --> 00:00:37.240]  原來她犯罪的時候是27歲
[00:00:37.240 --> 00:00:40.880]  就是行刺總統的時候
[00:00:40.880 --> 00:00:43.180]  就是說她很年輕
[00:00:43.180 --> 00:00:46.640]  其實她跟了一個叫做 Charles Manchin
[00:00:46.640 --> 00:00:49.440]  一個無惡不作的
[00:00:49.440 --> 00:00:54.240]  被認為是一個癲狂的惡人
[00:00:54.240 --> 00:00:55.480]  一個罪犯
[00:00:55.480 --> 00:00:57.960]  自己也坐過很多次牢
[00:00:57.960 --> 00:01:02.040]  跟著她一直做了很多為非作歹的事
[00:01:02.040 --> 00:01:05.880]  或者這件事情背後有一個故事
[00:01:05.880 --> 00:01:10.280]  原來當 Lynette 19歲的時候
[00:01:10.280 --> 00:01:13.240]  被學校趕出校
[00:01:13.240 --> 00:01:17.280]  然後家裡的爸爸媽媽也趕她出去家裡
[00:01:17.280 --> 00:01:19.480]  不讓她再回來
[00:01:19.480 --> 00:01:22.080]  這個時候她拿了自己的行李
[00:01:22.080 --> 00:01:25.160]  就在路上等車
[00:01:25.160 --> 00:01:28.640]  這個時候巴士停在那裡
[00:01:28.640 --> 00:01:32.480]  坐出來的就是這個 Charles Manchin
[00:01:32.480 --> 00:01:34.480]  這個 Charles Manchin 看到她這樣的情況
[00:01:34.480 --> 00:01:36.200]  就說了一句話
[00:01:36.200 --> 00:01:39.040]  你是不是被爸爸媽媽趕了你出來
[00:01:39.040 --> 00:01:40.880]  就說了一句
[00:01:40.880 --> 00:01:43.360]  接著就走了
[00:01:43.360 --> 00:01:46.600]  Lynette 就覺得這個人好像
[00:01:46.600 --> 00:01:48.240]  為什麼知道我這些事情
[00:01:48.240 --> 00:01:49.880]  好像覺得她有一種神秘力量
[00:01:49.880 --> 00:01:51.320]  有一種吸引力
[00:01:51.320 --> 00:01:54.280]  於是就拿著行李跟著她
[00:01:54.280 --> 00:01:56.320]  後來說了一句話的時候
[00:01:56.320 --> 00:01:57.560]  這個 Charles Manchin 說
[00:01:57.560 --> 00:02:00.800]  你可以來我家裡住
[00:02:00.800 --> 00:02:03.960]  你跟著我吧
[00:02:03.960 --> 00:02:06.480]  就是這樣過了這個生活
[00:02:06.480 --> 00:02:08.760]  這時候跟著這個 Charles Manchin
[00:02:08.760 --> 00:02:11.400]  做了很多為非作歹的事
[00:02:11.400 --> 00:02:13.760]  當他被訪問的時候
[00:02:13.760 --> 00:02:17.880]  有一位記者就問這個 Lynette
[00:02:17.880 --> 00:02:21.760]  你為什麼將你好像整個人的人生
[00:02:21.760 --> 00:02:26.080]  都交給了這個 Charles Manchin
[00:02:26.080 --> 00:02:30.240]  她很簡單回了一句話
[00:02:30.240 --> 00:02:33.480]  她就說誰先愛我
[00:02:33.480 --> 00:02:36.760]  我就讓他擁有我的生命
[00:02:36.760 --> 00:02:38.320]  就是這樣
[00:02:38.320 --> 00:02:42.280]  你想想一個人被愛被接納被肯定的時候
[00:02:42.280 --> 00:02:43.760]  是對一個人很重要
[00:02:43.760 --> 00:02:46.600]  將一個人的生命拿出來
[00:02:46.600 --> 00:02:51.920]  去人生的方向都願意這樣決定的時候
[00:02:51.920 --> 00:02:54.200]  真是很不簡單
[00:02:54.200 --> 00:02:55.560]  但如果你想想
[00:02:55.560 --> 00:03:00.960]  當然 Lynette 選了一個非常錯誤的方式
[00:03:00.960 --> 00:03:03.480]  死心塌地跟著這個 Charles
