
[00:00:00.000 --> 00:00:07.000]  這幅圖很好,小孩很單純,看著耶穌
[00:00:07.000 --> 00:00:13.000]  耶穌好像爸爸,好像一個慈愛的父親去疼愛他
[00:00:13.000 --> 00:00:21.000]  我很記得我自己小時候,我爸爸幾歲大的時候
[00:00:21.000 --> 00:00:26.000]  我們住在碧梨街,在中環上面的斜路
[00:00:26.000 --> 00:00:33.000]  經過街市那些地方,那時候一家人去中環看電影
[00:00:33.000 --> 00:00:36.000]  那時候有娛樂戲院,有皇后戲院
[00:00:36.000 --> 00:00:43.000]  看完戲通常爸爸會牽著我回家,經過百花街
[00:00:43.000 --> 00:00:50.000]  上去的時候,第一牽著爸爸的手是很大的,很暖的
[00:00:50.000 --> 00:00:58.000]  然後會經過一些玩具檔,爸爸會牽著我去買一輛小車
[00:00:58.000 --> 00:01:04.000]  小時候就很開心,起碼有三次爸爸牽著我去買車
[00:01:04.000 --> 00:01:07.000]  這個回憶很好,因為到我長大的時候
[00:01:07.000 --> 00:01:13.000]  爸爸已經有了精神病,已經變成很凶狠又不工作的人
[00:01:13.000 --> 00:01:19.000]  但是我還很記得爸爸很正常的時期,那種愛是很美好
[00:01:19.000 --> 00:01:27.000]  而當我們還是童真的歲月,其實我們去看天地也是很美
[00:01:27.000 --> 00:01:35.000]  當這個星空出來,我們不知道有沒有好好地看過星空
[00:01:35.000 --> 00:01:39.000]  當我是六歲,那時候在天台放枝妖
[00:01:39.000 --> 00:01:44.000]  看到夕陽西下,很美麗,然後霧色四合
[00:01:44.000 --> 00:01:53.000]  天上的星宿出來,我哥哥就問了我媽媽一個問題
[00:01:53.000 --> 00:01:57.000]  如果坐火箭上去,什麼時候才到盡頭?
[00:01:57.000 --> 00:02:00.000]  我媽媽說是沒有盡頭的
[00:02:00.000 --> 00:02:04.000]  那時候我心裡很奇妙,什麼叫沒有盡頭?
[00:02:04.000 --> 00:02:06.000]  我心裡好像變得很大
[00:02:06.000 --> 00:02:10.000]  而在那個沒有盡頭,我才發覺原來我們很渺小
[00:02:10.000 --> 00:02:15.000]  看到天這麼偉大,而地球好像很大,其實在宇宙中也很渺小
[00:02:15.000 --> 00:02:18.000]  我在地球中更渺小
[00:02:18.000 --> 00:02:21.000]  所以那時候我想到這個宇宙真是奇妙
[00:02:21.000 --> 00:02:30.000]  特別是星光燦爛的晚上,是會看到那種好像很完美的那種震撼感
[00:02:30.000 --> 00:02:34.000]  宇宙一定還有一些完美的東西讓我去追求
[00:02:34.000 --> 00:02:41.000]  其實聖經也記錄過一些追求星星的人
[00:02:41.000 --> 00:02:45.000]  隨著一顆星去追求人類的救主
[00:02:45.000 --> 00:02:49.000]  就是馬太夫所說的幾個東方的智者
[00:02:49.000 --> 00:02:58.000]  他們沿著這裡去找,就是希望找到救贖,找到正義,找到真正的愛
