
[00:00:00.000 --> 00:00:03.000]  很多時我們喜歡晚上睡覺
[00:00:03.000 --> 00:00:06.000]  睡一睡突然間驚醒
[00:00:06.000 --> 00:00:10.000]  驚醒之後覺得心很不安樂
[00:00:10.000 --> 00:00:13.000]  很害怕、很徬徨
[00:00:13.000 --> 00:00:15.000]  有些事好像發生了一樣
[00:00:15.000 --> 00:00:17.000]  眼睛有些東西好像隱住隱住
[00:00:17.000 --> 00:00:20.000]  非常之不安樂
[00:00:20.000 --> 00:00:23.000]  慢慢慢慢就會發覺
[00:00:23.000 --> 00:00:26.000]  自己可能發了一個惡夢
[00:00:26.000 --> 00:00:28.000]  當你再在想這個惡夢
[00:00:28.000 --> 00:00:31.000]  究竟是甚麼夢的時候
[00:00:31.000 --> 00:00:34.000]  你很可能很多時都忘記了
[00:00:34.000 --> 00:00:38.000]  只是覺得自己是非常之不安
[00:00:38.000 --> 00:00:41.000]  我們今天要講的題目
[00:00:41.000 --> 00:00:44.000]  我叫它做「不記得的夢少」
[00:00:44.000 --> 00:00:47.000]  是在這裡《但爾利書》第二章
[00:00:47.000 --> 00:00:51.000]  是講尼布格尼薩這個巴比倫王
[00:00:51.000 --> 00:00:54.000]  他所發的一個惡夢
[00:00:56.000 --> 00:00:58.000]  但爾利書的第二章
[00:00:58.000 --> 00:01:01.000]  可以說是全部聖經裡面
[00:01:01.000 --> 00:01:04.000]  對於世界上的預言
[00:01:04.000 --> 00:01:08.000]  其中一章是最重要的書
[00:01:08.000 --> 00:01:11.000]  而尼布格尼薩這個王
[00:01:11.000 --> 00:01:14.000]  可以說是在聖經裡面篇幅最大
[00:01:14.000 --> 00:01:17.000]  講得他是最多的一位王
[00:01:17.000 --> 00:01:21.000]  也是對猶大國的影響力
[00:01:21.000 --> 00:01:24.000]  和猶大國政治和他的領袖的影響
[00:01:24.000 --> 00:01:26.000]  是最大的一個君王
[00:01:26.000 --> 00:01:31.000]  在這裡《但爾利書》第四章十七節
[00:01:31.000 --> 00:01:35.000]  說至高者在人的國中掌權
[00:01:35.000 --> 00:01:39.000]  要將國賜給誰就賜予誰
[00:01:39.000 --> 00:01:43.000]  或立極卑微的人執掌國權
[00:01:43.000 --> 00:01:47.000]  臣要立誰做王就立誰做王
[00:01:47.000 --> 00:01:50.000]  臣要哪一個國家興起
[00:01:50.000 --> 00:01:51.000]  那個國家就興起
[00:01:51.000 --> 00:01:55.000]  要哪一個國家衰微哪一個國家就會衰微
[00:01:55.000 --> 00:01:58.000]  他不需要得到任何人的同意
[00:01:58.000 --> 00:02:04.000]  甚至是好像尼布格尼薩一個這麼殘暴的皇帝
[00:02:04.000 --> 00:02:09.000]  臣亦都可以將他擺在他的王位上來掌權
[00:02:09.000 --> 00:02:15.000]  在《但爾利書》一章十節和五章十九節都告訴我們
[00:02:15.000 --> 00:02:18.000]  尼布格尼薩其實是一個很殘暴的人
[00:02:18.000 --> 00:02:22.000]  是令到人們戰驚和懼怕
[00:02:22.000 --> 00:02:27.000]  人人都怕尼布格尼薩
[00:02:27.000 --> 00:02:31.000]  尼布格尼薩他不會怕任何人
[00:02:31.000 --> 00:02:34.000]  他亦都不會怕任何事
[00:02:34.000 --> 00:02:36.000]  他唯一怕的是甚麼
[00:02:36.000 --> 00:02:40.000]  是一個他不能夠解釋的夢
[00:02:40.000 --> 00:02:42.000]  這個是令到他非常之徬徨
[00:02:42.000 --> 00:02:44.000]  非常之害怕
[00:02:44.000 --> 00:02:46.000]  在這裡《但爾利書》二章一節
[00:02:46.000 --> 00:02:49.000]  說尼布格尼薩在位的第二年
[00:02:49.000 --> 00:02:53.000]  他作了夢心裡繁亂不能隨覺
[00:02:53.000 --> 00:02:56.000]  在這裡《但爾利書》四章五節
[00:02:56.000 --> 00:02:59.000]  又說我作了一夢使我懼怕
[00:02:59.000 --> 00:03:01.000]  我在床上思念
[00:03:01.000 --> 00:03:04.000]  並腦中的異象使我驚惶
[00:03:04.000 --> 00:03:09.000]  我們見到尼布格尼薩都沒有令到他是驚惶
[00:03:09.000 --> 00:03:12.000]  令到他是睡不著覺
[00:03:12.000 --> 00:03:16.000]  很難令到我們能夠明白
[00:03:16.000 --> 00:03:19.000]  當時列國中最強的巴比倫
[00:03:19.000 --> 00:03:24.000]  他們的皇帝被認為是當時全世界的領袖
