
[00:00:00.000 --> 00:00:10.000]  鄧小姐,早晨,各位親愛的朋友,親友,早晨,在現場的,在家裡的。
[00:00:10.000 --> 00:00:14.000]  你可能在想,我問過什麼問題?
[00:00:14.000 --> 00:00:17.000]  你心裡有沒有一個心上人呢?
[00:00:17.000 --> 00:00:27.000]  心上人不只是想著你身邊最愛的那個,包括你家裡的父母,你的兒女,你的兄弟姊妹,
[00:00:27.000 --> 00:00:33.000]  甚至我現在看到那三位牧師,都是過了一段日子我們的心上人,
[00:00:33.000 --> 00:00:35.000]  我們經常記掛著,什麼時候才見到他們呢?
[00:00:35.000 --> 00:00:37.000]  今天我們可以見到他們一家來到,
[00:00:37.000 --> 00:00:39.000]  稍後牧師有機會再介紹他們。
[00:00:39.000 --> 00:00:47.000]  不過,我們心裡所記掛的,所愛和所疼的,我們就叫他們做一個心上人。
[00:00:47.000 --> 00:00:57.000]  今天想問的問題就是,你和你的心上人,要吃一頓晚餐的時候,
[00:00:57.000 --> 00:01:02.000]  會是什麼情況,什麼環境,什麼地方會吃這個晚餐呢?
[00:01:02.000 --> 00:01:05.000]  你可能會像這張圖片裡所拍的,
[00:01:05.000 --> 00:01:15.000]  可能是一個很美麗的黃昏夜晚,在水邊點著陽燭的燭光晚餐,
[00:01:15.000 --> 00:01:21.000]  有可能是在下午,甚至晚上,外面陽光普照,曬得很猛烈的陽光,
[00:01:21.000 --> 00:01:27.000]  但是在一個幽暗的餐廳裡,仍然點著陽燭,來進食。
[00:01:27.000 --> 00:01:33.000]  在這個環境裡,大家都很放鬆,輕輕的聲音,互相傾訴,
[00:01:33.000 --> 00:01:42.000]  互相表達,互相關心,互相聆聽,可以盡訴心中情。
[00:01:42.000 --> 00:01:53.000]  問題是,在黑暗裡的一點光芒,還是在光明裡,仍然有一片黑暗。
[00:01:53.000 --> 00:01:57.000]  今天的題目是關於愛的根基,究竟愛的根基在哪裡呢?
[00:01:57.000 --> 00:02:02.000]  希望這些問題,在你心裡傳著,到今天半小時之後,
[00:02:02.000 --> 00:02:08.000]  講到最後的時候,希望大家都很清楚知道,究竟這個問題的答案在哪裡。
[00:02:08.000 --> 00:02:12.000]  愛的根基,是在哪裡呢?
[00:02:12.000 --> 00:02:17.000]  過去一段日子裡,我們用了差不多幾個月的時間,
[00:02:17.000 --> 00:02:26.000]  在前書《愛》的篇章裡,也是藉著華里克牧師的四十篇《真愛四十日》,
[00:02:26.000 --> 00:02:31.000]  裡面有一些經文,來幫助我們認識到,究竟愛是什麼一回事,
[00:02:31.000 --> 00:02:36.000]  愛我們要講真實的話,愛裡面有忍耐,有恩賜,
