
[00:00:00.000 --> 00:00:05.500]  各位早晨!在此先祝大家聖誕快樂,新年蒙福!
[00:00:05.500 --> 00:00:13.500]  大家看到這個題目,可能你會奇怪
[00:00:13.500 --> 00:00:20.500]  我們剛才讀的是摩西之歌,跟今天聖誕頌歌有什麼關係呢?
[00:00:20.500 --> 00:00:28.000]  好像摩西之歌是在說以色列人過紅海的事,但聖誕頌歌是在說聖誕
[00:00:28.000 --> 00:00:32.000]  兩者聽起來好像風馬牛不相及
[00:00:32.000 --> 00:00:36.000]  到底摩西之歌跟聖誕頌歌有什麼關聯呢?
[00:00:36.000 --> 00:00:44.000]  我希望大家今天豎起耳朵去聽,聽完今天的導,你就會明白,清楚了
[00:00:44.000 --> 00:00:48.000]  大家豎起耳朵去聽
[00:00:48.000 --> 00:00:56.000]  其實聖誕頌歌這幾個字,我是取自一本小說
[00:00:56.000 --> 00:01:05.000]  Charles Dickens,英國著名作家,在1843年寫了一部聖誕系列的作品
[00:01:05.000 --> 00:01:09.000]  這就是其中一部,叫做Christmas Carol
[00:01:09.000 --> 00:01:15.000]  中文有不同的名稱,聖誕頌歌是其中一個翻譯的名稱
[00:01:15.000 --> 00:01:20.000]  這本書是他三部聖誕小說的其中一部
[00:01:20.000 --> 00:01:25.000]  這本書一出版之後,就引來很大的轟動
[00:01:25.000 --> 00:01:32.000]  到現在為止,它也是史上最廣受人喜愛的聖誕故事之一
[00:01:32.000 --> 00:01:37.000]  在世界各地甚至不斷地翻譯成不同的語言再出版
[00:01:37.000 --> 00:01:43.000]  而且又多次被改編成電視劇、電影和舞台劇等等
[00:01:43.000 --> 00:01:49.000]  由於這本書很受歡迎,寫到聖誕節和他所蘊含的精神情操
[00:01:49.000 --> 00:01:53.000]  都再一次得到很多人的重視
[00:01:53.000 --> 00:01:58.000]  而聖誕節是什麼呢?就是帶出一個感恩和助人的真諦
[00:01:58.000 --> 00:02:01.000]  很可惜,經過了這麼多年之後
[00:02:01.000 --> 00:02:05.000]  我們去到聖誕節,我們所想到的是什麼呢?
[00:02:05.000 --> 00:02:09.000]  聖誕老人,Santa Claus is coming to town
[00:02:09.000 --> 00:02:12.000]  好像是關於聖誕老人的故事一樣
[00:02:12.000 --> 00:02:18.000]  在我們今天去了解聖誕頌歌和摩西之歌的關係之前
[00:02:18.000 --> 00:02:22.000]  我就想集中我們先來看看摩西之歌
[00:02:22.000 --> 00:02:25.000]  我們先來看看它的寫作背景
[00:02:25.000 --> 00:02:31.000]  在14章的尾端和15章的第一節
[00:02:31.000 --> 00:02:37.000]  其實就點出了摩西之歌為什麼會出現
[00:02:37.000 --> 00:02:40.000]  這裡他說:「這樣耶和華就在那一天
[00:02:40.000 --> 00:02:43.000]  將以色列人從埃及人的手裡拯救出來
[00:02:43.000 --> 00:02:46.000]  以色列人看到埃及人都死在海邊
[00:02:46.000 --> 00:02:50.000]  以色列人看到耶和華向埃及人所顯大能的手
[00:02:50.000 --> 00:02:55.000]  就敬畏耶和華,又信服耶和華和他的僕人摩西
[00:02:55.000 --> 00:03:01.000]  那時,摩西和以色列人向耶和華唱了以下這首歌」
