
[00:00:00.000 --> 00:00:05.680]  我們499年前的10月31日
[00:00:05.680 --> 00:00:09.160]  就是很重要的教會歷史
[00:00:09.160 --> 00:00:11.000]  是馬丁路德
[00:00:11.000 --> 00:00:15.720]  揭起了改教浪潮的第一天
[00:00:15.720 --> 00:00:17.920]  如果沒有馬丁路德的改教
[00:00:17.920 --> 00:00:19.240]  今天你和我
[00:00:19.240 --> 00:00:23.720]  可能仍然坐在天主教的教堂裏面去望彌撒
[00:00:23.720 --> 00:00:27.080]  而並沒有新教的出現
[00:00:27.080 --> 00:00:32.400]  所以馬丁路德是我們值得紀念的一個人物
[00:00:32.400 --> 00:00:34.240]  神所縱容的人物
[00:00:34.240 --> 00:00:36.920]  馬丁路德改教之後
[00:00:36.920 --> 00:00:40.480]  帶來了新教很多貢獻
[00:00:40.480 --> 00:00:44.400]  無論音樂、神學和聖經的翻譯
[00:00:44.400 --> 00:00:48.640]  馬丁路德是一個非常有智慧的人
[00:00:48.640 --> 00:00:50.000]  能夠翻譯聖經
[00:00:50.000 --> 00:00:54.120]  能夠在音樂、詩歌的貢獻
[00:00:54.120 --> 00:00:59.040]  神是我堅固的盤石、詩歌
[00:00:59.040 --> 00:01:03.840]  更加最重要的是馬丁路德的十誡神學
[00:01:03.840 --> 00:01:08.720]  十誡神學很強調了耶穌基督的受苦
[00:01:08.720 --> 00:01:13.480]  而十誡神學是橫跨了這四百多年的裏面
[00:01:13.480 --> 00:01:16.160]  成為了很多人的祝福
[00:01:16.160 --> 00:01:18.320]  但是弟兄姊妹請你記住
[00:01:18.320 --> 00:01:20.560]  無論你有上神學課程
[00:01:20.560 --> 00:01:21.600]  沒有上神學課程
[00:01:21.600 --> 00:01:22.560]  有上聖經課程
[00:01:22.560 --> 00:01:23.960]  沒有上聖經課程
[00:01:23.960 --> 00:01:30.160]  任何的神學和聖經方法都會過去的
[00:01:30.160 --> 00:01:35.760]  如果你執著、很注重某一個神學
[00:01:35.760 --> 00:01:37.200]  是金科玉律
[00:01:37.200 --> 00:01:43.320]  是你的不可變更的一些思緒的話
[00:01:43.320 --> 00:01:47.520]  這是一個愚蠢的方法
[00:01:47.520 --> 00:01:48.720]  為什麼這樣說呢?
[00:01:48.720 --> 00:01:49.960]  什麼叫神學呢?
[00:01:49.960 --> 00:01:54.800]  神學只不過是一班的思想家、教徒思想家
[00:01:54.800 --> 00:01:58.080]  藉著聖經和思考的裏面
[00:01:58.080 --> 00:02:03.440]  而有一套理論是回應當代的需要
[00:02:03.440 --> 00:02:07.920]  就是說神學是按照時代改變
[00:02:07.920 --> 00:02:13.160]  它的色切性就會慢慢淡化
[00:02:13.160 --> 00:02:18.520]  等於十誡神學在近代的時候已經不流行了
[00:02:18.520 --> 00:02:20.960]  反而流行了另一種神學
[00:02:20.960 --> 00:02:23.600]  叫做成功神學
[00:02:23.600 --> 00:02:27.720]  成功神學強調的是凡是信教神的人
[00:02:27.720 --> 00:02:30.200]  是有病會沒有病
[00:02:30.200 --> 00:02:31.920]  貧窮會富有
[00:02:31.920 --> 00:02:33.600]  萬事會順利
[00:02:33.600 --> 00:02:37.080]  滿有成就
[00:02:37.080 --> 00:02:40.160]  就像阿伯拉罕滿有財富
[00:02:40.160 --> 00:02:42.800]  就像雅各滿有財富
[00:02:42.800 --> 00:02:45.800]  就像約瑟由奴隸成為宰相
[00:02:45.800 --> 00:02:50.800]  常常背誦的經文是神要使你在上不在下
[00:02:50.800 --> 00:02:52.680]  居上不居下
[00:02:52.680 --> 00:02:58.200]  這種神學和十誡神學
[00:02:58.200 --> 00:03:03.920]  剛剛有兩走極端和不足之處
[00:03:03.920 --> 00:03:05.960]  苦難神學不足之處
[00:03:05.960 --> 00:03:10.840]  就是人常常在患難中經歷上帝
[00:03:10.840 --> 00:03:15.280]  但是似乎沒有成功的盼望
[00:03:15.280 --> 00:03:24.040]  所以在中國過往的教會歷史裡面
[00:03:24.040 --> 00:03:27.440]  有接近很長的時間
