
[00:00:00.000 --> 00:00:03.000]  親愛的姐妹大家好,早安
[00:00:03.000 --> 00:00:06.000]  很開心今天可以在這裡和大家分享訊息
[00:00:06.000 --> 00:00:10.000]  我們未開始之前,我們再次祈禱
[00:00:10.000 --> 00:00:14.000]  親愛的主,我們多謝祢
[00:00:14.000 --> 00:00:16.000]  多謝祢來到這個世上
[00:00:16.000 --> 00:00:18.000]  2000年前,道成肉身
[00:00:18.000 --> 00:00:21.000]  以致我們一班人相信祢
[00:00:21.000 --> 00:00:23.000]  能夠有這個聚射面
[00:00:23.000 --> 00:00:25.000]  可以有永生這個盼望
[00:00:25.000 --> 00:00:26.000]  主,我們多謝祢
[00:00:26.000 --> 00:00:28.000]  祢也是二萬內來的神
[00:00:28.000 --> 00:00:31.000]  祢讓我們經歷困難的時候
[00:00:31.000 --> 00:00:33.000]  有暴風雨的時候
[00:00:33.000 --> 00:00:35.000]  主,祢就是與我們同在
[00:00:35.000 --> 00:00:36.000]  主,我們多謝祢
[00:00:36.000 --> 00:00:39.000]  求祢賜給我們有平安,有喜樂
[00:00:39.000 --> 00:00:41.000]  讓我們能夠真的經歷到
[00:00:41.000 --> 00:00:43.000]  祢每一天對我們的愛
[00:00:43.000 --> 00:00:45.000]  以致我們能夠去回應祢
[00:00:45.000 --> 00:00:47.000]  以致我們走在祢的當中
[00:00:47.000 --> 00:00:48.000]  和祢同行
[00:00:48.000 --> 00:00:50.000]  以致我們能夠去榮耀祢
[00:00:50.000 --> 00:00:52.000]  多謝祢,聽我們的禱告
[00:00:52.000 --> 00:00:55.000]  奉主明求,阿們
[00:00:56.000 --> 00:00:58.000]  今天我們已經踏入到
[00:00:58.000 --> 00:01:00.000]  章林祈的第四個主日
[00:01:00.000 --> 00:01:02.000]  我們已經看到
[00:01:02.000 --> 00:01:05.000]  我們點了第四支的蠟燭
[00:01:05.000 --> 00:01:08.000]  章林祈的意思就是說
[00:01:08.000 --> 00:01:09.000]  在這段期間
[00:01:09.000 --> 00:01:11.000]  基督徒就去預備
[00:01:11.000 --> 00:01:13.000]  慶祝主的降生
[00:01:13.000 --> 00:01:16.000]  並期待主耶穌基督再回來
[00:01:16.000 --> 00:01:18.000]  過去那三星期
[00:01:18.000 --> 00:01:21.000]  我們都是透過舊約的尼加書
[00:01:21.000 --> 00:01:23.000]  尼加這一位先知
[00:01:23.000 --> 00:01:26.000]  他在書卷裏面是說到
[00:01:26.000 --> 00:01:28.000]  以色列人他們犯罪
[00:01:28.000 --> 00:01:31.000]  並且神必然會審判他們
[00:01:31.000 --> 00:01:34.000]  他們很叫我們在章林祈裏面
[00:01:34.000 --> 00:01:37.000]  今天我們可以反思我們的生命
[00:01:37.000 --> 00:01:39.000]  以致我們能夠去回轉
[00:01:39.000 --> 00:01:43.000]  將我們的眼目再次定性在神的身上
[00:01:43.000 --> 00:01:48.000]  預備好我們自己去等候這位主再回來
[00:01:50.000 --> 00:01:54.000]  尼塞亞尼林這個訊息
[00:01:54.000 --> 00:01:59.000]  在很早很早之前已經知道了
[00:01:59.000 --> 00:02:01.000]  在舊約和尼加書
[00:02:01.000 --> 00:02:03.000]  我們之前講的訊息裏面
[00:02:03.000 --> 00:02:07.000]  都已經有提過尼塞亞是會來的
[00:02:07.000 --> 00:02:09.000]  其實整卷舊約的書卷
[00:02:09.000 --> 00:02:12.000]  最終都是指向預言
[00:02:12.000 --> 00:02:14.000]  有一位尼塞亞將會來臨
[00:02:14.000 --> 00:02:16.000]  去拯救世人
[00:02:16.000 --> 00:02:20.000]  但當時的人一直在等
[00:02:20.000 --> 00:02:22.000]  等等等等了很久
[00:02:22.000 --> 00:02:25.000]  才等到尼塞亞耶穌的出世
[00:02:25.000 --> 00:02:27.000]  其實我想講的是
[00:02:27.000 --> 00:02:29.000]  他們真的等了很久
[00:02:29.000 --> 00:02:32.000]  所以有些人仍然等了很久會相信
[00:02:32.000 --> 00:02:34.000]  尼塞亞會來
[00:02:34.000 --> 00:02:36.000]  但有些人等了一段時間
[00:02:36.000 --> 00:02:38.000]  可能是半信半疑
[00:02:38.000 --> 00:02:42.000]  有些人可能不相信尼塞亞會回來
[00:02:42.000 --> 00:02:45.000]  今天我們都是在等一些東西
[00:02:45.000 --> 00:02:47.000]  等了很久
[00:02:47.000 --> 00:02:50.000]  究竟是甚麼來的呢
[00:02:50.000 --> 00:02:52.000]  講回當時舊約的人
[00:02:52.000 --> 00:02:54.000]  他們等了很久
[00:02:54.000 --> 00:02:56.000]  但神的應許是不會落空
[00:02:56.000 --> 00:02:59.000]  尼塞亞終於來臨
