
[00:00:00.000 --> 00:00:03.800]  (主席)我們今天繼續《羅馬書》
[00:00:03.800 --> 00:00:10.500]  首先要恭祝大家
[00:00:10.500 --> 00:00:13.300]  因為你們是被揀選的一群
[00:00:13.300 --> 00:00:15.500]  明天隨時不能崇拜
[00:00:15.500 --> 00:00:19.700]  所以你們很聰明地已經選了今天來崇拜
[00:00:19.700 --> 00:00:24.100]  我們繼續看《羅馬書》第三章
[00:00:24.100 --> 00:00:28.100]  大家可能知道的
[00:00:28.100 --> 00:00:29.100]  應該記得的
[00:00:29.100 --> 00:00:31.100]  我是跟著《羅馬書》
[00:00:31.100 --> 00:00:33.100]  第一章、第二章
[00:00:33.100 --> 00:00:37.100]  第一章其實講了兩篇
[00:00:37.100 --> 00:00:38.300]  第二章講了一篇
[00:00:38.300 --> 00:00:41.100]  現在就到第三章了
[00:00:41.100 --> 00:00:42.700]  第二章的時候
[00:00:42.700 --> 00:00:45.100]  你很快地想一想
[00:00:45.100 --> 00:00:48.100]  你就會記得那一章是講猶太人的
[00:00:48.100 --> 00:00:52.100]  就是說你這些「跨口律法」的人
[00:00:52.100 --> 00:00:55.500]  「跨口」這個字在第三章結尾又出現了
[00:00:55.500 --> 00:00:57.600]  你這些「跨口律法」的人
[00:00:57.600 --> 00:01:00.600]  不要只是「跨口」你有律法
[00:01:00.600 --> 00:01:03.600]  如果你有律法的時候
[00:01:03.600 --> 00:01:04.600]  你做不到
[00:01:04.600 --> 00:01:06.600]  對你也沒有什麼用
[00:01:06.600 --> 00:01:07.600]  你「跨」來做什麼呢?
[00:01:07.600 --> 00:01:11.600]  這些是狂妄的一種「跨口」
[00:01:11.600 --> 00:01:13.100]  接著如果你有聖經的話
[00:01:13.100 --> 00:01:14.600]  可以去到三章一節
[00:01:14.600 --> 00:01:16.100]  因為我讀經就沒有讀完
[00:01:16.100 --> 00:01:17.600]  但是我也想指一指
[00:01:17.600 --> 00:01:21.100]  由三章一至二十節的內容
[00:01:21.100 --> 00:01:22.600]  第三章第一節
[00:01:22.600 --> 00:01:25.600]  接著保羅就開始問這個問題
[00:01:25.600 --> 00:01:28.600]  他說「怎樣看來猶太人有什麼長處呢?」
[00:01:28.600 --> 00:01:30.600]  「各例有什麼益處呢?」
[00:01:30.600 --> 00:01:32.600]  「第二節凡事大有好處」
[00:01:32.600 --> 00:01:35.600]  「第一就是聖神的聖言已經教託他們」
[00:01:35.600 --> 00:01:38.600]  「即便有不信者又何妨呢?」
[00:01:38.600 --> 00:01:42.600]  「難道他們的不信就廢掉了」
[00:01:42.600 --> 00:01:45.600]  「廢掉神的信嗎?」
[00:01:45.600 --> 00:01:47.100]  你明白保羅這裡
[00:01:47.100 --> 00:01:49.100]  為什麼去到第三章第一節
[00:01:49.100 --> 00:01:50.600]  就要問這個問題
[00:01:50.600 --> 00:01:53.600]  因為保羅在第二章強調一件事
[00:01:53.600 --> 00:01:55.600]  就是猶太人沒什麼特別
[00:01:55.600 --> 00:01:57.600]  所謂廣東話
[00:01:57.600 --> 00:01:59.600]  我這個年代的香港人
[00:01:59.600 --> 00:02:01.600]  就說沒什麼好處
[00:02:01.600 --> 00:02:03.600]  沒什麼特別好
[00:02:03.600 --> 00:02:05.600]  做猶太人沒什麼分別
[00:02:05.600 --> 00:02:07.600]  都是要面對神的審判
[00:02:07.600 --> 00:02:11.600]  都是說你能不能夠
[00:02:11.600 --> 00:02:13.600]  生命全然信服神
[00:02:13.600 --> 00:02:15.600]  如果你不能夠信服神的話
