
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹,我亦感謝神讓我有機會和大家分享「肥勒比書」的信息
[00:00:06.000 --> 00:00:10.000]  在準備的時候,世界有很多變化
[00:00:10.000 --> 00:00:17.000]  當中亦衡量到今天的經文和我們所面對的困境有多少關係
[00:00:17.000 --> 00:00:22.000]  但我亦深信聖靈會引領我們在當中看見亮光
[00:00:22.000 --> 00:00:26.000]  尤其是我們未能夠現場崇拜,一起聚會的時候
[00:00:27.000 --> 00:00:30.000]  亦給予我們一些機會去檢視一下
[00:00:30.000 --> 00:00:33.000]  我們自己的侍奉心智是否逢神月立呢?
[00:00:33.000 --> 00:00:38.000]  有時因為我們見面少的時候,或者聽聞一些事情發生
[00:00:38.000 --> 00:00:42.000]  或者有些事情令我們著急,令我們不舒服
[00:00:42.000 --> 00:00:47.000]  一方面未必容易去查證是真是假,亦很難去阻止
[00:00:47.000 --> 00:00:51.000]  上次在「肥勒比書」一章十二到十四節的時候
[00:00:52.000 --> 00:00:57.000]  我們看到仕途保羅,他很想「肥勒比教會」的信徒知道
[00:00:57.000 --> 00:01:03.000]  原來神是可以透過他所受的困所,令福音興旺的
[00:01:03.000 --> 00:01:08.000]  而今天我們繼續在「肥勒比書」一章十五到二十節那裏一起看看
[00:01:08.000 --> 00:01:12.000]  仕途保羅亦都想「肥勒比教會」的信徒知道
[00:01:12.000 --> 00:01:17.000]  第二件事,就是有些人就算是不懷好意地傳福音也好
[00:01:17.000 --> 00:01:21.000]  而他又怎樣能夠以一個怎樣的心態去面對呢?
[00:01:22.000 --> 00:01:27.000]  亦都希望保羅的教導教訓成為我們今天的反省和幫助
[00:01:27.000 --> 00:01:32.000]  我們一起來讀這段經文
[00:01:32.000 --> 00:01:36.000]  就是「肥勒比書」一章十五到二十節
[00:01:36.000 --> 00:01:38.000]  當中經文是這樣記載
[00:01:38.000 --> 00:01:44.000]  「有的傳基督是出於嫉妒紛爭,也有的是出於好意
[00:01:44.000 --> 00:01:50.000]  這等是出於愛心,知道我是為辨明福音設立的
[00:01:51.000 --> 00:01:55.000]  那一等傳基督是出於嫉妒,並不誠實
[00:01:55.000 --> 00:02:01.000]  意思要加徵我困所的苦楚,這又何妨呢?
[00:02:01.000 --> 00:02:09.000]  或是假意,或是真心,無論怎樣,基督究竟被傳開了
[00:02:09.000 --> 00:02:14.000]  為此我就歡喜,並且還要歡喜
[00:02:15.000 --> 00:02:21.000]  因為我知道,這是藉著你們的祈禱和耶穌基督之靈的幫助
[00:02:21.000 --> 00:02:23.000]  終必叫我得救
[00:02:23.000 --> 00:02:29.000]  照著我所切勿所盼望的,沒有一事叫我羞愧
[00:02:29.000 --> 00:02:34.000]  只要凡事放膽,無論是生是死
[00:02:34.000 --> 00:02:38.000]  總叫基督在我身上朝常顯大」
[00:02:38.000 --> 00:02:42.000]  在我們繼續看這段經文之前,我們的祈禱
[00:02:44.000 --> 00:02:46.000]  我們的天父,很感謝您
[00:02:46.000 --> 00:02:51.000]  您感動當日使徒保羅寫信給菲律賓教會,也是激勵今天的我們
[00:02:51.000 --> 00:02:57.000]  天父,願以您的聖靈開啟我們的心竅,引領我們進入您的真理當中
[00:02:57.000 --> 00:03:02.000]  讓我們明白這段經文,在當中得著亮光,得著提醒
[00:03:02.000 --> 00:03:06.000]  我們祈禱奉我主耶穌基督的聖名,祈求
[00:03:06.000 --> 00:03:08.000]  阿們
[00:03:11.000 --> 00:03:15.000]  在講解這段經文的時候,我想和大家交代一下這段經文的結構
[00:03:15.000 --> 00:03:19.000]  因為我們要明白保羅寫這段經文的意思
[00:03:19.000 --> 00:03:22.000]  就是要知道在古代的文學裏面
[00:03:22.000 --> 00:03:26.000]  包括希伯來文、希臘文、拉丁文裏面
[00:03:26.000 --> 00:03:28.000]  都有種常用的文法結構
[00:03:28.000 --> 00:03:33.000]  而這種結構在現代的英文、中文都不是很常見
[00:03:33.000 --> 00:03:36.000]  但讀聖經的時候要知道有這個可能性
[00:03:37.000 --> 00:03:42.000]  或許我們讀經的時候會有更加深刻的體會
[00:03:42.000 --> 00:03:46.000]  尤其是現在疫情當中,我們在家裏多讀一些聖經
[00:03:46.000 --> 00:03:50.000]  這種文學的手法叫做交錯對列法
[00:03:50.000 --> 00:03:54.000]  有兩種主要的形態
[00:03:54.000 --> 00:03:57.000]  第一種的形態就在我們十五到十七節裏面
[00:03:57.000 --> 00:04:00.000]  就在這個概念或重要的字詞上
[00:04:00.000 --> 00:04:04.000]  上一組的句子就先講甲,然後講乙
[00:04:05.000 --> 00:04:07.000]  下一組的句子好像和上一組是平衡的
[00:04:07.000 --> 00:04:10.000]  但他是先講乙,然後再講甲
[00:04:10.000 --> 00:04:12.000]  就好像ABBA的結構
[00:04:12.000 --> 00:04:14.000]  例如在十五到十七節裏面
