
[00:00:00.000 --> 00:00:02.000]  省姊妹祝你平安
[00:00:02.000 --> 00:00:04.000]  讓孩子之前,大家有祈禱
[00:00:04.000 --> 00:00:10.000]  親愛的爸爸、天父,我們一齊站在你面前
[00:00:10.000 --> 00:00:13.000]  主仔求你幫助我們
[00:00:13.000 --> 00:00:20.000]  今天當我們明白你的明智的時候
[00:00:20.000 --> 00:00:22.000]  我們帶著一個戰警的心情
[00:00:22.000 --> 00:00:25.000]  因為你的明智是代表了你
[00:00:25.000 --> 00:00:27.000]  幫助孩子
[00:00:27.000 --> 00:00:29.000]  也讓孩子有敬畏心
[00:00:29.000 --> 00:00:33.000]  若然孩子所說的不是完全對求主你赦免
[00:00:33.000 --> 00:00:37.000]  但更加願主你的靈就親自和每一位說話
[00:00:37.000 --> 00:00:40.000]  究竟你的明智和每一個人有什麼關係
[00:00:40.000 --> 00:00:43.000]  究竟我們有多深入真正的認識你
[00:00:43.000 --> 00:00:45.000]  在我們生命當中
[00:00:45.000 --> 00:00:46.000]  我將以下時間全擺上
[00:00:46.000 --> 00:00:48.000]  祈禱交託奉主名而求
[00:00:48.000 --> 00:00:49.000]  阿們
[00:00:49.000 --> 00:00:53.000]  剛才被主席嚇了一跳
[00:00:53.000 --> 00:00:54.000]  嚇了一跳,嚇什麼呢?
[00:00:54.000 --> 00:00:56.000]  因為今天最主要想說的經文
[00:00:56.000 --> 00:00:58.000]  就是剛剛沒有說到
[00:00:58.000 --> 00:01:00.000]  之後這樣帶下去的
[00:01:00.000 --> 00:01:01.000]  不過,是可以的
[00:01:01.000 --> 00:01:03.000]  因為這段經文大家都很熟悉的
[00:01:03.000 --> 00:01:05.000]  所以我希望大家有手機
[00:01:05.000 --> 00:01:07.000]  或者有聖經
[00:01:07.000 --> 00:01:09.000]  就可以開了手機和聖經
[00:01:09.000 --> 00:01:11.000]  但如果沒有都可以的
[00:01:11.000 --> 00:01:12.000]  因為大家都很熟悉我的經文
[00:01:12.000 --> 00:01:14.000]  但今天我主要
[00:01:14.000 --> 00:01:16.000]  其實你開的經文都沒有什麼大作用的
[00:01:16.000 --> 00:01:18.000]  今天有一個大的挑戰
[00:01:18.000 --> 00:01:19.000]  挑戰什麼呢?
[00:01:19.000 --> 00:01:21.000]  我看我講到這麼久以來
[00:01:21.000 --> 00:01:23.000]  我第一次跟自己說
[00:01:23.000 --> 00:01:25.000]  今次如果最多人睡覺
[00:01:25.000 --> 00:01:26.000]  應該是這堂課了
[00:01:28.000 --> 00:01:29.000]  大家要有心理準備
[00:01:29.000 --> 00:01:30.000]  為什麼這樣說呢?
[00:01:30.000 --> 00:01:33.000]  因為待會你會見到很多
[00:01:33.000 --> 00:01:35.000]  你很不熟悉的字體
[00:01:35.000 --> 00:01:36.000]  很不熟悉的
[00:01:36.000 --> 00:01:39.000]  今天負責powerpoint的姊妹跟我說
[00:01:39.000 --> 00:01:41.000]  今天你要自己控制
[00:01:41.000 --> 00:01:42.000]  所以你能不能控制呢?
[00:01:42.000 --> 00:01:44.000]  她說因為都不知道你那些是什麼
[00:01:44.000 --> 00:01:49.000]  我為什麼要講這堂道呢?
[00:01:49.000 --> 00:01:54.000]  因為我想開始一個新的系列
[00:01:54.000 --> 00:01:57.000]  就是用一些較為神學性的討論去講道
[00:01:57.000 --> 00:01:59.000]  我不是以後都這樣講
[00:01:59.000 --> 00:02:01.000]  我開始有一個系列
[00:02:01.000 --> 00:02:04.000]  第一堂我會從神開始講
[00:02:04.000 --> 00:02:06.000]  究竟神是哪位?
[00:02:06.000 --> 00:02:08.000]  當我想從神講起
[00:02:08.000 --> 00:02:12.000]  不能夠不可以先講神的名字
[00:02:12.000 --> 00:02:17.000]  其實我看我們大家都有做很多服務
[00:02:17.000 --> 00:02:18.000]  你還想不想起
[00:02:18.000 --> 00:02:20.000]  當你太太有了嬰兒的時候
[00:02:20.000 --> 00:02:22.000]  你開始要想名字
[00:02:22.000 --> 00:02:23.000]  在我來說
[00:02:23.000 --> 00:02:24.000]  當我想到名字的時候
[00:02:24.000 --> 00:02:27.000]  我發覺那時候讀書應該讀好一點
[00:02:27.000 --> 00:02:29.000]  中文這麼有限公司
[00:02:29.000 --> 00:02:34.000]  想一些名字都不夠好看
[00:02:34.000 --> 00:02:37.000]  但我發現無論是中文名還是英文名
[00:02:37.000 --> 00:02:38.000]  都是想起一個名字
[00:02:38.000 --> 00:02:40.000]  如果你曾經認識一個人
[00:02:40.000 --> 00:02:41.000]  都是那個名字
[00:02:41.000 --> 00:02:43.000]  馬上那些都出來了
[00:02:43.000 --> 00:02:45.000]  這個名字好
[00:02:45.000 --> 00:02:46.000]  其實你背後
[00:02:46.000 --> 00:02:47.000]  這個名字好又是什麼原因呢?
[00:02:47.000 --> 00:02:48.000]  可能你認識一個人
[00:02:48.000 --> 00:02:50.000]  他就是那個名字
[00:02:50.000 --> 00:02:52.000]  當然你問我最好的名字是什麼呢?
[00:02:52.000 --> 00:02:55.000]  有一個名字在我生命當中好特別
[00:02:55.000 --> 00:02:56.000]  我幾乎沒有聽過一個人的名字
[00:02:56.000 --> 00:02:58.000]  叫做「尊賢」
[00:02:58.000 --> 00:02:59.000]  一想起尊賢
[00:02:59.000 --> 00:03:00.000]  你想起誰呢?
[00:03:00.000 --> 00:03:02.000]  你自然會認識我
[00:03:02.000 --> 00:03:03.000]  也認識我太太的時候
[00:03:03.000 --> 00:03:04.000]  尊賢就會看過去
