
[00:00:00.000 --> 00:00:01.520]  50個人每人參加
[00:00:01.520 --> 00:00:05.520]  不錯,這50個人去參加這個地方的時候
[00:00:05.520 --> 00:00:07.520]  就被邀請到一個房間去填
[00:00:07.520 --> 00:00:09.720]  進入房間的時候
[00:00:09.720 --> 00:00:12.920]  這個主持人就每人給了一個氫氣球
[00:00:12.920 --> 00:00:15.040]  不是氫氣球,多是氣球而已
[00:00:15.040 --> 00:00:16.160]  Balloon,OK?
[00:00:16.160 --> 00:00:18.560]  然後就說,你每個人
[00:00:18.560 --> 00:00:21.440]  在你的Balloon上面,把你的名字寫上去
[00:00:21.440 --> 00:00:23.760]  寫在氣球上面
[00:00:23.760 --> 00:00:25.760]  寫完之後,交給我了
[00:00:25.760 --> 00:00:29.680]  然後這個負責人就把所有這50個氣球
[00:00:29.920 --> 00:00:31.920]  放進另一個房間
[00:00:31.920 --> 00:00:33.920]  另一個貨室裏面
[00:00:33.920 --> 00:00:35.920]  沒有我這裏那麼大的貨室
[00:00:35.920 --> 00:00:39.600]  好了,現在我們一起去這個貨室
[00:00:39.600 --> 00:00:41.600]  做一件事,做甚麼呢?
[00:00:41.600 --> 00:00:43.600]  五分鐘之內
[00:00:43.600 --> 00:00:47.440]  請大家找回你自己的氣球
[00:00:47.440 --> 00:00:51.520]  五分鐘,整體都是氣球,房間不是很大
[00:00:51.520 --> 00:00:52.880]  一開始的時候
[00:00:52.880 --> 00:00:58.520]  每個人都很努力地在做氣球
[00:00:58.520 --> 00:01:00.520]  誰把自己的名字寫在那裏呢?
[00:01:00.520 --> 00:01:02.520]  整體都是氣球
[00:01:02.520 --> 00:01:05.840]  人又多,你推我撞,推推撞撞
[00:01:05.840 --> 00:01:09.280]  結果呢,五分鐘,很快就到了
[00:01:09.280 --> 00:01:13.040]  竟然,沒有一個人在五分鐘之內
[00:01:13.040 --> 00:01:15.040]  找到自己的氣球
[00:01:15.040 --> 00:01:17.040]  很不滿
[00:01:17.040 --> 00:01:19.040]  這個主持人說,不要緊,OK
[00:01:19.040 --> 00:01:21.040]  時間多了,大家停下來,不要再找了
[00:01:21.040 --> 00:01:23.760]  找不到自己那個,有自己的名字的氣球
[00:01:23.760 --> 00:01:26.760]  現在呢,你隨便找一個氣球
[00:01:27.360 --> 00:01:29.360]  OK,拿到氣球之後
[00:01:29.360 --> 00:01:32.840]  你就把氣球交給上面那個名字的那個人
[00:01:32.840 --> 00:01:35.840]  這樣OK嗎?
