
[00:00:00.000 --> 00:00:05.000]  今天要講的題目是《在至高之處,榮耀歸於神》
[00:00:05.000 --> 00:00:07.000]  看看你們懂不懂
[00:00:07.000 --> 00:00:09.000]  「下戀」其實是有的
[00:00:09.000 --> 00:00:12.000]  你們的聖經知識有沒有人有少少印象可以喊出來
[00:00:12.000 --> 00:00:14.000]  「下戀」是什麼?
[00:00:14.000 --> 00:00:20.000]  在地上平安,歸於他所喜悅的人
[00:00:20.000 --> 00:00:22.000]  你們很聰明
[00:00:22.000 --> 00:00:23.000]  大家都會記得
[00:00:23.000 --> 00:00:26.000]  其實這是出自於《路交福音》二章十四節
[00:00:26.000 --> 00:00:29.000]  在天使報喜訊比目揚言之後
[00:00:29.000 --> 00:00:31.000]  天使天閨一起
[00:00:31.000 --> 00:00:33.000]  天道很大聲的
[00:00:33.000 --> 00:00:35.000]  而這兩個說話是讚美信
[00:00:35.000 --> 00:00:37.000]  固然之道當時應該不是說廣東話
[00:00:37.000 --> 00:00:39.000]  但是大概是這樣的情況
[00:00:39.000 --> 00:00:41.000]  所以一年
[00:00:41.000 --> 00:00:43.000]  我們說一年很快,好像快要過去了
[00:00:43.000 --> 00:00:45.000]  來到十二月
[00:00:45.000 --> 00:00:47.000]  然後聖誕節又快到了
[00:00:47.000 --> 00:00:49.000]  不知道在這個將臨期的時間
[00:00:49.000 --> 00:00:51.000]  你們有沒有機會
[00:00:51.000 --> 00:00:53.000]  可以抽多一點時間
[00:00:53.000 --> 00:00:58.000]  安靜自己,預備心靈去迎接基督降生這個大日子呢
[00:00:58.000 --> 00:01:01.000]  在至高之處,榮耀歸於神
[00:01:01.000 --> 00:01:05.000]  在地上平安,歸於他所喜悅的人
[00:01:05.000 --> 00:01:07.000]  這個主日應該是我們叫做
[00:01:07.000 --> 00:01:09.000]  將臨期延祝禮第四個主日
[00:01:09.000 --> 00:01:11.000]  你們看到我的左手邊
[00:01:11.000 --> 00:01:13.000]  有幾支蠟燭
[00:01:13.000 --> 00:01:15.000]  應該第四主日我們會燃起
[00:01:15.000 --> 00:01:18.000]  平安之燭,即是紫色的蠟燭
[00:01:18.000 --> 00:01:19.000]  亦都是
[00:01:19.000 --> 00:01:21.000]  如果你們看程度表的內頁
[00:01:21.000 --> 00:01:24.000]  是說接受基督為我們的主
[00:01:24.000 --> 00:01:25.000]  為我們的王
[00:01:25.000 --> 00:01:28.000]  當中所寫的那一段經文其中就是
[00:01:28.000 --> 00:01:31.000]  我們今天講的這個部分
[00:01:31.000 --> 00:01:33.000]  當我在想的時候
[00:01:33.000 --> 00:01:36.000]  我們說要燃起平安之燭
[00:01:36.000 --> 00:01:40.000]  我們心裡是不是真的有那份很踏實的平安呢
[00:01:40.000 --> 00:01:41.000]  當我們說
[00:01:41.000 --> 00:01:43.000]  剛才這句在地上平安
[00:01:43.000 --> 00:01:46.000]  歸於他所喜悅的人
[00:01:46.000 --> 00:01:47.000]  有沒有想過
[00:01:47.000 --> 00:01:50.000]  我們怎樣才可以成為上帝喜悅的人
[00:01:50.000 --> 00:01:51.000]  上帝祝福的人
[00:01:51.000 --> 00:01:55.000]  或者其他在日本說上帝所恩寵的人
[00:01:55.000 --> 00:01:57.000]  我相信上帝所喜悅的人
[00:01:57.000 --> 00:01:59.000]  不是只有一個半個
[00:01:59.000 --> 00:02:01.000]  在原文我們清楚見得到
[00:02:01.000 --> 00:02:03.000]  他所喜悅的人是一個眾數
[00:02:03.000 --> 00:02:04.000]  即是多過一個
[00:02:04.000 --> 00:02:05.000]  即是甚麼
[00:02:05.000 --> 00:02:06.000]  即是你
[00:02:06.000 --> 00:02:07.000]  我
[00:02:07.000 --> 00:02:08.000]  身邊的他
[00:02:08.000 --> 00:02:09.000]  他和他
[00:02:09.000 --> 00:02:12.000]  其實我們都可以成為上帝所喜悅的人
[00:02:12.000 --> 00:02:14.000]  他所大大祝福的人
[00:02:14.000 --> 00:02:16.000]  當我們這段時間
[00:02:16.000 --> 00:02:17.000]  不知道你有沒有機會
[00:02:17.000 --> 00:02:22.000]  我提多一些關於聖誕節的段落經文的時候
[00:02:22.000 --> 00:02:25.000]  我見到很多上帝喜悅的人
[00:02:25.000 --> 00:02:26.000]  敬虔的人
[00:02:26.000 --> 00:02:27.000]  有約瑟
[00:02:27.000 --> 00:02:28.000]  瑪利亞
[00:02:28.000 --> 00:02:31.000]  即是這兩位是耶穌基督的父母
[00:02:31.000 --> 00:02:33.000]  有一些沒有那麼
[00:02:33.000 --> 00:02:34.000]  可能大家沒有那麼熟悉
[00:02:34.000 --> 00:02:35.000]  有西面
[00:02:35.000 --> 00:02:36.000]  有亞拿
[00:02:36.000 --> 00:02:37.000]  還有其他的
