
[00:00:00.000 --> 00:00:03.000]  之前呢,不知道大家有沒有印象
[00:00:03.000 --> 00:00:07.000]  我講過雅各的爸爸,講過以撒
[00:00:07.000 --> 00:00:11.000]  他是一個很懂得養的人
[00:00:11.000 --> 00:00:14.000]  那這次呢,又講一下他的兒子
[00:00:14.000 --> 00:00:17.000]  兩父子南轅北轍,是不是?
[00:00:17.000 --> 00:00:20.000]  雅各,可以說是聖經裏面
[00:00:20.000 --> 00:00:23.000]  爭取的一個表表者
[00:00:23.000 --> 00:00:26.000]  雅各的特性,大家我想
[00:00:26.000 --> 00:00:34.000]  如果你看他從出生到和哥哥二嫂紅豆湯的事件
[00:00:34.000 --> 00:00:41.000]  再追下去,再和哥哥復和的過程
[00:00:41.000 --> 00:00:44.000]  我想是一個很突出的性格
[00:00:44.000 --> 00:00:46.000]  他就是要稱讚
[00:00:46.000 --> 00:00:50.000]  在爭取的背後,鄧應梓梅
[00:00:50.000 --> 00:00:57.000]  其實在爭取的時候,背後有一樣東西是需要計算的
[00:00:57.000 --> 00:01:01.000]  可能我們看電視,或者是那些劇集
[00:01:01.000 --> 00:01:04.000]  我們知道爭的背後其實是需要計算的
[00:01:04.000 --> 00:01:09.000]  每一步,他都要在他的計算之內
[00:01:09.000 --> 00:01:13.000]  有什麼是計算之內,又在掌握之中呢?
[00:01:13.000 --> 00:01:17.000]  有什麼是原來在人生的歷程裏面
[00:01:17.000 --> 00:01:22.000]  是他計算都計不到,是超出他的計算以外
[00:01:22.000 --> 00:01:28.000]  而雅各在這些計算以外的東西,這些經歷裏面
[00:01:28.000 --> 00:01:34.000]  上帝怎樣去讓一個這麼懂得計算的人
[00:01:34.000 --> 00:01:40.000]  成為一個上帝所揀選的人,合神心意的人
[00:01:40.000 --> 00:01:45.000]  讓我們看看雅各的一些生平的經歷
[00:01:45.000 --> 00:01:48.000]  如果我們由開始來看的時候
[00:01:48.000 --> 00:01:54.000]  雅各去聽母親李伯嘉的計謀
