
[00:00:00.000 --> 00:00:04.540]  今天是我們慶祝主耶穌復活的日子
[00:00:04.540 --> 00:00:06.640]  剛才大家記不記得
[00:00:06.640 --> 00:00:10.980]  小朋友做的畫劇的主題叫什麼?
[00:00:10.980 --> 00:00:12.180]  記不記得?
[00:00:12.180 --> 00:00:13.840]  主耶穌復活了
[00:00:13.840 --> 00:00:16.300]  主耶穌復活跟我們有什麼關係呢?
[00:00:16.300 --> 00:00:18.040]  為什麼這麼重要呢?
[00:00:18.040 --> 00:00:23.300]  我今天就希望跟大家分享一個復活的盼望
[00:00:23.300 --> 00:00:29.300]  我最近在網上
[00:00:29.300 --> 00:00:33.360]  看到一個很有趣的新聞
[00:00:33.360 --> 00:00:36.760]  這個網上的新聞
[00:00:36.760 --> 00:00:40.960]  就好像說「死人復活?」
[00:00:40.960 --> 00:00:42.960]  他說「復活?」
[00:00:42.960 --> 00:00:45.940]  廣西一個八十歲的婦人
[00:00:45.940 --> 00:00:49.060]  被人撞了三天之後
[00:00:49.060 --> 00:00:52.740]  家屬聽到醫院打來的電話說
[00:00:52.740 --> 00:00:54.140]  「搞錯了,搞錯了」
[00:00:54.140 --> 00:00:56.460]  「她還沒死,她還活著」
[00:00:56.460 --> 00:00:59.500]  「是不是真的有死人復活這件事呢?」
[00:00:59.500 --> 00:01:01.560]  「你有沒有遇見過?」
[00:01:01.560 --> 00:01:03.060]  「沒有啊」
[00:01:03.060 --> 00:01:04.260]  但是今天
[00:01:04.260 --> 00:01:07.340]  剛才小朋友做的畫劇
[00:01:07.340 --> 00:01:08.960]  裡面說的事情
[00:01:08.960 --> 00:01:12.540]  就不會像這則新聞那麼荒謬
[00:01:12.540 --> 00:01:15.360]  竟然說那個人死了
[00:01:15.360 --> 00:01:16.440]  但是搞錯了
[00:01:16.440 --> 00:01:18.440]  還要人家扮成喪禮
[00:01:18.440 --> 00:01:19.660]  撞了之後
[00:01:19.660 --> 00:01:22.740]  就是撞錯了第二個死了的人
[00:01:22.740 --> 00:01:25.240]  但是我們《細蚊仔》剛才做的畫劇
[00:01:25.240 --> 00:01:26.760]  就沒有那麼荒謬
[00:01:26.760 --> 00:01:28.860]  他們剛才做的畫劇
[00:01:28.860 --> 00:01:30.240]  真的告訴我們
[00:01:30.240 --> 00:01:32.700]  一個死人復活的故事
[00:01:32.700 --> 00:01:36.100]  就是主耶穌從死裡復活了
[00:01:36.100 --> 00:01:37.600]  你可能會問
[00:01:37.600 --> 00:01:40.600]  可能主耶穌根本都沒有死
[00:01:40.600 --> 00:01:42.440]  只是騙人而已
[00:01:42.440 --> 00:01:44.560]  主耶穌是不是真的有死了呢?
[00:01:44.560 --> 00:01:45.860]  如果說祂復活的話
[00:01:45.860 --> 00:01:48.300]  首先祂真的要死了,是不是?
[00:01:48.300 --> 00:01:49.900]  如果祂沒有死
[00:01:49.900 --> 00:01:51.700]  那其實是假復活,是不是?
[00:01:51.700 --> 00:01:53.800]  我們看看聖經怎麼說
[00:01:53.800 --> 00:01:56.400]  祂在那裡說到耶穌被人釘十字架的時候
[00:01:56.400 --> 00:01:58.740]  你知道那個情景是怎麼樣嗎?
[00:01:58.740 --> 00:02:01.900]  幾口的大釘釘住兩隻手
[00:02:01.900 --> 00:02:03.200]  還有腳
[00:02:03.200 --> 00:02:03.940]  你想一下
[00:02:03.940 --> 00:02:07.040]  你可以想象那種切膚之痛
[00:02:07.040 --> 00:02:09.300]  痛到入心入肺
[00:02:09.300 --> 00:02:10.300]  還有
[00:02:10.300 --> 00:02:14.000]  那些人還要嘲諷祂、虐待祂
[00:02:14.000 --> 00:02:15.900]  到主耶穌臨死的時候
[00:02:15.900 --> 00:02:17.400]  祂就說了一句
[00:02:17.400 --> 00:02:18.760]  「聖鳥」
[00:02:18.760 --> 00:02:22.000]  就是說祂天父差派祂來
[00:02:22.000 --> 00:02:23.700]  去成就這個救恩
[00:02:23.700 --> 00:02:25.040]  完成了
[00:02:25.040 --> 00:02:26.500]  那祂就低下頭
[00:02:26.500 --> 00:02:28.340]  低下頭,因為死了
[00:02:28.340 --> 00:02:30.840]  就斷氣了,聖經那裡說
[00:02:30.840 --> 00:02:32.800]  接著有一幫士兵
[00:02:32.800 --> 00:02:35.300]  他就將
[00:02:35.300 --> 00:02:37.500]  跟主耶穌釘在祂旁邊
[00:02:37.500 --> 00:02:39.800]  釘在主耶穌旁邊的兩個人
[00:02:39.800 --> 00:02:42.300]  都先後打斷了祂的腳
[00:02:42.300 --> 00:02:44.800]  因為他們要確定祂真的死了
