
[00:00:00.000 --> 00:00:02.360]  我們教會在這段時間
[00:00:02.360 --> 00:00:06.280]  講了以神為中心的生命已經接近一年了
[00:00:06.280 --> 00:00:11.240]  其實在這段時間我也問自己一個問題
[00:00:11.240 --> 00:00:14.840]  其實到底這個信息在大英哲學生命裡面
[00:00:14.840 --> 00:00:17.780]  是帶來有多少的影響呢?
[00:00:17.780 --> 00:00:19.080]  另外一方面
[00:00:19.080 --> 00:00:22.480]  大英哲學的生命有多少的改變呢?
[00:00:22.480 --> 00:00:25.720]  會不會真的有時候我們聽到
[00:00:25.720 --> 00:00:27.080]  立刻忘記
[00:00:27.080 --> 00:00:29.080]  或者有時候我們聽
[00:00:29.080 --> 00:00:31.480]  聽完,不斷地聽,聽完之後
[00:00:31.480 --> 00:00:33.480]  其實有時候我們發覺
[00:00:33.480 --> 00:00:37.640]  這裡和這裡的距離
[00:00:37.640 --> 00:00:39.080]  看上去
[00:00:39.080 --> 00:00:42.800]  我想是多少尺左右
[00:00:42.800 --> 00:00:46.160]  但是問題就是
[00:00:46.160 --> 00:00:47.760]  好像不到
[00:00:47.760 --> 00:00:48.760]  不知道為什麼
[00:00:48.760 --> 00:00:50.400]  很多時候我們聽完之後
[00:00:50.400 --> 00:00:51.520]  不到這裡
[00:00:51.520 --> 00:00:55.200]  所以生命裡面好像不是很大的改變
[00:00:55.200 --> 00:00:58.160]  所以我就會
[00:00:58.160 --> 00:01:00.960]  想想會不會有時候我們無意中
[00:01:00.960 --> 00:01:02.960]  我們這裡聽完
[00:01:02.960 --> 00:01:04.960]  但是不到這裡
[00:01:04.960 --> 00:01:08.640]  在平日我們繼續做自己喜歡做的事情等等
[00:01:08.640 --> 00:01:11.000]  其實我會
[00:01:11.000 --> 00:01:16.800]  這個信息不是一個可做可不做的信息
[00:01:16.800 --> 00:01:20.600]  而是上帝對我們生命裡面的要求
[00:01:20.600 --> 00:01:22.760]  就是在聖經裡面這麼說
[00:01:22.760 --> 00:01:25.880]  上帝要求我們要作完全人
[00:01:25.880 --> 00:01:27.880]  因為你們的天賦是完全的
[00:01:27.880 --> 00:01:29.880]  就是身抱及亦伴
[00:01:29.880 --> 00:01:34.560]  就是說我們的生命要像天賦一樣
[00:01:34.560 --> 00:01:36.800]  有它的和平
[00:01:36.800 --> 00:01:37.800]  喜樂
[00:01:37.800 --> 00:01:38.680]  恩慈
[00:01:38.680 --> 00:01:39.480]  良善
[00:01:39.480 --> 00:01:40.080]  信實
[00:01:40.080 --> 00:01:40.680]  溫柔
[00:01:40.680 --> 00:01:41.760]  節制等等
[00:01:41.760 --> 00:01:43.080]  有很多這些
[00:01:43.080 --> 00:01:46.000]  而當我們沒有改變的時候
[00:01:46.000 --> 00:01:48.000]  司祭約翰說過
[00:01:48.000 --> 00:01:53.400]  就說你們要用行動去證明自己已經從罪中悔改
[00:01:53.400 --> 00:01:55.920]  真的歸向上帝
[00:01:55.920 --> 00:01:57.680]  不要只是互相這麼說
[00:01:57.680 --> 00:01:58.480]  我們很安全
[00:01:58.480 --> 00:02:00.480]  因為我們是阿不拉罕的子孫
[00:02:00.480 --> 00:02:01.680]  他說
[00:02:01.680 --> 00:02:04.160]  只是這樣說是毫無意義的
[00:02:04.160 --> 00:02:05.360]  我告訴你們
[00:02:05.360 --> 00:02:09.400]  上帝能用這些石頭做出阿不拉罕的子孫來
[00:02:09.400 --> 00:02:12.600]  現在上帝審判的斧頭已經舉起
[00:02:12.600 --> 00:02:15.600]  隨時準備砍斷樹根
[00:02:15.600 --> 00:02:17.600]  凡不潔好果子的樹
[00:02:17.600 --> 00:02:19.600]  都要被砍下來
[00:02:19.600 --> 00:02:21.600]  刁盡火雷
[00:02:21.600 --> 00:02:27.200]  其實這個是非常之嚴峻的挑戰
[00:02:27.880 --> 00:02:29.880]  非常之嚴峻的挑戰
[00:02:29.880 --> 00:02:32.480]  就說要我們面對的問題
[00:02:32.480 --> 00:02:34.480]  就是我們的生命
[00:02:34.480 --> 00:02:38.680]  有多少被真理去改變
[00:02:38.680 --> 00:02:40.680]  所以就是
[00:02:40.680 --> 00:02:43.680]  司祭約翰這一段經文說了
[00:02:43.680 --> 00:02:46.680]  其實我們現在可以在人面前
[00:02:46.680 --> 00:02:48.680]  裝扮得很淑女
[00:02:48.680 --> 00:02:50.680]  很愛主
[00:02:50.680 --> 00:02:52.680]  有一天祈禱的時候
[00:02:52.680 --> 00:02:54.680]  主啊
[00:02:54.680 --> 00:02:56.680]  哈利路亞
[00:02:56.680 --> 00:02:58.680]  我真的很愛神
[00:02:58.680 --> 00:03:02.680]  我一個禮拜禁食十餐
[00:03:02.680 --> 00:03:06.680]  我又熱心傳福音
[00:03:06.680 --> 00:03:08.680]  但是
[00:03:08.680 --> 00:03:10.680]  聖經這樣說
[00:03:10.680 --> 00:03:12.680]  司祭約翰
[00:03:12.680 --> 00:03:14.680]  他說有一天
[00:03:14.680 --> 00:03:17.680]  你現在可以在人面前裝扮得很淑女
[00:03:17.680 --> 00:03:19.680]  很愛主
[00:03:19.680 --> 00:03:21.680]  不過
[00:03:21.680 --> 00:03:24.680]  假的真不了
[00:03:24.680 --> 00:03:27.680]  真的又假不了
[00:03:27.680 --> 00:03:29.680]  他說有一天
[00:03:29.680 --> 00:03:32.680]  一切都會水落石出
[00:03:32.680 --> 00:03:38.680]  到時你做甚麼都扮不到淑女和愛主
[00:03:38.680 --> 00:03:43.680]  你的真實情況會被顯露出來
[00:03:43.680 --> 00:03:45.680]  所以其實在我們生命裏面
[00:03:45.680 --> 00:03:47.680]  如果我們只是聽道
[00:03:47.680 --> 00:03:49.680]  我們不行道
[00:03:49.680 --> 00:03:53.680]  我們不願意被真理去改變我們生命的時候
[00:03:53.680 --> 00:03:56.680]  其實有一天
[00:03:56.680 --> 00:03:58.680]  真的再說
[00:03:58.680 --> 00:04:00.680]  假的真不了
[00:04:00.680 --> 00:04:02.680]  真的假不了
[00:04:02.680 --> 00:04:05.680]  所以可否鼓勵一下你身邊的弟兄姊妹
[00:04:05.680 --> 00:04:11.680]  我們真的要認真對付我們的生命
[00:04:11.680 --> 00:04:14.680]  不要只是聽完就算
[00:04:14.680 --> 00:04:17.680]  這個對於我自己也是一個很大的提醒
[00:04:17.680 --> 00:04:18.680]  很大的鼓勵
[00:04:18.680 --> 00:04:20.680]  因為最容易扮淑女
[00:04:20.680 --> 00:04:23.680]  最容易扮愛主的是誰
[00:04:23.680 --> 00:04:25.680]  是我,不好意思
[00:04:25.680 --> 00:04:26.680]  所以大家要提醒我
[00:04:26.680 --> 00:04:28.680]  真的要提醒我
[00:04:28.680 --> 00:04:30.680]  經常提醒我
[00:04:30.680 --> 00:04:32.680]  假的真不了
[00:04:32.680 --> 00:04:34.680]  真的又假不了
[00:04:34.680 --> 00:04:36.680]  所以真的要提醒大家
[00:04:36.680 --> 00:04:38.680]  應該這樣說
[00:04:38.680 --> 00:04:39.680]  給一點鼓勵
[00:04:39.680 --> 00:04:41.680]  我們聽了這麼久
[00:04:41.680 --> 00:04:43.680]  我們真的很想我們的生命
[00:04:43.680 --> 00:04:45.680]  我們結出果子
[00:04:45.680 --> 00:04:50.680]  我們的生命可以去比上帝,去榮耀上帝
[00:04:50.680 --> 00:04:57.680]  因為這是一個很大的提醒
[00:04:57.680 --> 00:04:59.680]  甚至是一個警告
[00:04:59.680 --> 00:05:03.680]  耶穌在馬太福音21章1-14節裏面
[00:05:03.680 --> 00:05:05.680]  講那個盛宴的比喻
[00:05:05.680 --> 00:05:07.680]  大概是這樣的
