
[00:00:00.000 --> 00:00:07.000]  首先給這個題目再加上一級這兩個字
[00:00:07.000 --> 00:00:12.000]  成長是一級學不完的功課
[00:00:12.000 --> 00:00:14.000]  對嗎?
[00:00:14.000 --> 00:00:17.000]  一級這個字很好
[00:00:17.000 --> 00:00:21.000]  就是還沒到位
[00:00:21.000 --> 00:00:26.000]  都可能有猜不透的結果
[00:00:26.000 --> 00:00:30.000]  這個在人生的路上面
[00:00:30.000 --> 00:00:37.000]  我們可能真的要有這種期待的態度
[00:00:37.000 --> 00:00:41.000]  就你感覺現在蠻好
[00:00:41.000 --> 00:00:45.000]  那等一會就會下雨了
[00:00:45.000 --> 00:00:53.000]  那我們應該是用怎麼樣的態度來看待人生呢?
[00:00:53.000 --> 00:00:56.000]  我不是在講謊話
[00:00:56.000 --> 00:00:58.000]  可能真的是
[00:00:58.000 --> 00:01:01.000]  那打一個比方
[00:01:01.000 --> 00:01:04.000]  現在是下雨
[00:01:04.000 --> 00:01:07.000]  我們在這裡很寧靜
[00:01:07.000 --> 00:01:10.000]  我們在這裡感覺很舒服
[00:01:10.000 --> 00:01:17.000]  如果你的屋子可以聽到下雨的聲音
[00:01:17.000 --> 00:01:20.000]  滴滴的下來
[00:01:20.000 --> 00:01:24.000]  但是你等一會要出去了
[00:01:24.000 --> 00:01:28.000]  要上班還是上課了等等
[00:01:28.000 --> 00:01:31.000]  你的心情會怎麼樣呢?
[00:01:31.000 --> 00:01:35.000]  你會心情特別不舒服
[00:01:35.000 --> 00:01:37.000]  因為不知道為什麼
[00:01:37.000 --> 00:01:40.000]  就好像我們小孩子的時候
[00:01:40.000 --> 00:01:43.000]  買一雙新的鞋子
[00:01:43.000 --> 00:01:48.000]  總是穿的時候都要下雨的
[00:01:48.000 --> 00:01:50.000]  不知道為什麼
[00:01:50.000 --> 00:01:55.000]  不知道為什麼你拿著你的三文治
[00:01:55.000 --> 00:01:58.000]  是雞蛋三文治
