
[00:00:00.000 --> 00:00:07.240]  我哋開始一個新嘅講道系列,係講到人際關係,人同天父之間嘅關係
[00:00:07.240 --> 00:00:14.500]  所以我哋連續幾個禮拜,係講到點樣能夠去改善我哋周圍嘅人,包括同天父之間嘅關係
[00:00:14.500 --> 00:00:20.880]  今日係第一講嘅,就係點樣去重建呢,即係同造物主嗰個嘅關係
[00:00:20.880 --> 00:00:28.760]  咁就當到講到我哋同創造主,即係同神,點樣重建個關係嘅時候,咁我做少少個study啦
[00:00:28.760 --> 00:00:34.760]  咁我就發覺呢,2023年呢Gallup poll,大家就好熟識呢啲蓋洛普呢個調查呢
[00:00:34.760 --> 00:00:38.480]  係美國好出名嘅一個調查嘅機構啦,民調機構啦
[00:00:38.480 --> 00:00:46.940]  咁佢就2023年發表咗個報告喎,係向61個國家,全世界呀,61個國家呢就去做調查
[00:00:46.940 --> 00:00:54.420]  咁你就發現呢,原來呢有72%嘅受訪者呢就話呢佢相信有神嘅喎
[00:00:54.420 --> 00:01:01.560]  咁而呢有16%嘅採訪者呢,就話唔相信有神嘅,咁淨返落嚟啦,大概10%左右啦
[00:01:01.560 --> 00:01:05.140]  咁就話I'm not sure,我唔確定有冇神,咁樣
[00:01:05.140 --> 00:01:12.800]  而全球人口,大家知道幾多喺而家,大概80億人口囉,而家全球,全世界呀,80億嘅人口啦
[00:01:12.800 --> 00:01:23.000]  如果你用呢個做一個計算嘅時候呢,就80億嘅人口當中啦,大概有57.6億嘅人口呀,即係受訪者啦,應該咁樣講啦
[00:01:23.000 --> 00:01:27.840]  係相信呢,係呢個有某種形式嘅神存在嘅
[00:01:27.840 --> 00:01:32.980]  信咗咩呀,我哋唔知啦,總之佢相信有神啦,佢個神係邊個呀,又唔清楚啦,咁
[00:01:32.980 --> 00:01:37.280]  咁而我返返嚟美國啦,美國就係我自己呀,即係而家生存緊嘅國家啦
[00:01:37.280 --> 00:01:42.200]  喺美國裏面嚟講呢,同樣係呢個Gallup Poll,呢個嘅蓋洛普調查裏面呢
