
[00:00:00.000 --> 00:00:03.400]  各位電影姐妹,我首先給大家看幾張相片
[00:00:03.400 --> 00:00:06.400]  我看你們認得誰沒有
[00:00:06.400 --> 00:00:09.400]  可不可以給我們看看那幾張相片
[00:00:09.400 --> 00:00:12.400]  這一張,有沒有人認得是誰?
[00:00:12.400 --> 00:00:15.400]  奧巴馬,他在做什麼?
[00:00:15.400 --> 00:00:21.400]  他在宣誓就任
[00:00:21.400 --> 00:00:25.400]  第二個,是誰?
[00:00:26.400 --> 00:00:31.400]  斯威,斯威做什麼?
[00:00:31.400 --> 00:00:36.400]  宣誓成為第四任行政首長
[00:00:36.400 --> 00:00:42.400]  第三個,威廉,他們做什麼?
[00:00:42.400 --> 00:00:45.400]  婚禮,然後呢?
[00:00:45.400 --> 00:00:48.400]  這個你們不認識的,這個是議員
[00:00:48.400 --> 00:00:51.400]  同樣在做一件事
[00:00:51.400 --> 00:00:55.400]  然後再看一班人,他們在做什麼?
[00:00:55.400 --> 00:00:59.400]  是新班子上任的時候宣誓
[00:00:59.400 --> 00:01:03.400]  這麼多張相片裡有一個共通的地方,是什麼?
[00:01:03.400 --> 00:01:05.400]  宣誓
[00:01:05.400 --> 00:01:08.400]  有些人有宣過誓的,舉手
[00:01:08.400 --> 00:01:10.400]  宣過誓的舉手
[00:01:10.400 --> 00:01:13.400]  不是吧,這麼多人不舉的
[00:01:13.400 --> 00:01:18.400]  我想問問大家,什麼時候你會宣過誓?
[00:01:18.400 --> 00:01:21.400]  結婚,然後呢?
[00:01:21.400 --> 00:01:24.400]  拿身份證,你們用不用的?
[00:01:24.400 --> 00:01:27.400]  要的
[00:01:27.400 --> 00:01:30.400]  然後去法庭,用不用的?
[00:01:30.400 --> 00:01:31.400]  要
[00:01:31.400 --> 00:01:34.400]  去移民局很多時候拿什麼證件?要嗎?
[00:01:34.400 --> 00:01:36.400]  很多要
[00:01:36.400 --> 00:01:40.400]  去公證處,你用不用的?
[00:01:40.400 --> 00:01:42.400]  要的
[00:01:42.400 --> 00:01:49.400]  宣誓,我相信已經成為今天人生的一部分
[00:01:49.400 --> 00:01:51.400]  很多時候都要
[00:01:51.400 --> 00:01:54.400]  我們看到剛才說的那幾個宣誓的人物
[00:01:54.400 --> 00:01:57.400]  有些,好像奧巴馬
[00:01:57.400 --> 00:01:59.400]  貨不對版
[00:01:59.400 --> 00:02:04.400]  你選前承諾了的東西,為什麼現在沒有兌現呢?
[00:02:04.400 --> 00:02:05.400]  被人釘
[00:02:05.400 --> 00:02:08.400]  事惡
