
[00:00:00.000 --> 00:00:04.240]  今天跟大家分享的經文就在亞國書的第五章的地方
[00:00:04.240 --> 00:00:05.640]  一至六節
[00:00:05.640 --> 00:00:10.760]  我們繼續去到說我們今期的題目
[00:00:10.760 --> 00:00:13.240]  就是《作俗世清傳》
[00:00:13.240 --> 00:00:17.840]  今天的題目的主題是《作神資源中心管家》
[00:00:17.840 --> 00:00:22.200]  亞國書的第五章這個地方特別困難
[00:00:22.200 --> 00:00:24.640]  特別困難的地方是因為
[00:00:24.640 --> 00:00:28.640]  《聖經》的學者裡面不能夠一致認同
[00:00:28.640 --> 00:00:33.440]  亞國在第五章的地方究竟寫給了誰
[00:00:33.440 --> 00:00:37.040]  剛才敬佩隊已經跟我們讀了這段經文
[00:00:37.040 --> 00:00:41.040]  所以我不再重複
[00:00:41.040 --> 00:00:46.440]  《聖經》的學者不能夠一致認同這段經文寫給了誰
[00:00:46.440 --> 00:00:48.800]  有幾種的想法
[00:00:48.800 --> 00:00:50.160]  有三派的想法
[00:00:50.160 --> 00:00:52.600]  第一派的想法是
[00:00:52.600 --> 00:00:54.040]  看這段經文的第一節
[00:00:54.040 --> 00:00:55.800]  第五章的第一節
[00:00:55.800 --> 00:00:59.760]  你們這些富足的人很明顯
[00:00:59.760 --> 00:01:01.240]  當然是寫給富足的人
[00:01:01.240 --> 00:01:04.720]  這是第一派學者的想法
[00:01:04.720 --> 00:01:06.280]  第二派的《聖經》學者就說
[00:01:06.280 --> 00:01:07.080]  等一下
[00:01:07.080 --> 00:01:09.800]  這一段《聖經》其實不是寫給富足的人
[00:01:09.800 --> 00:01:13.800]  這一段《聖經》是寫給被富足的人欺壓的窮人
[00:01:13.800 --> 00:01:15.560]  給他們的安慰
[00:01:15.560 --> 00:01:19.600]  這個想法也說得通
[00:01:19.600 --> 00:01:20.720]  第三派的學者就說
[00:01:20.720 --> 00:01:21.680]  等一下
[00:01:21.680 --> 00:01:24.800]  你們兩派都不太對
[00:01:24.800 --> 00:01:27.440]  在《聖經》要看前文後理
[00:01:27.440 --> 00:01:29.800]  《雅各書》的第一章第一節說什麼
[00:01:29.800 --> 00:01:32.160]  寫給十二支派的人
[00:01:32.160 --> 00:01:33.720]  以及在《聖經》
[00:01:33.720 --> 00:01:34.640]  《雅各書》裡面
[00:01:34.640 --> 00:01:38.720]  雅各多次提到寫給弟兄們
[00:01:38.720 --> 00:01:41.240]  我親愛的弟兄們
[00:01:41.240 --> 00:01:44.520]  這是很正常一看
[00:01:44.520 --> 00:01:47.640]  就是說整本書都是寫給基督徒的
[00:01:47.640 --> 00:01:51.240]  今天我不是要跟大家討論
[00:01:51.240 --> 00:01:54.120]  這段《聖經》究竟是寫給誰
[00:01:54.120 --> 00:01:58.080]  但是今天早上我希望大家用一個眼光
[00:01:58.080 --> 00:01:59.600]  一個角度去看
[00:01:59.600 --> 00:02:02.840]  就是《雅各書》第五章這裡
[00:02:02.840 --> 00:02:05.240]  是寫給你和寫給我
[00:02:05.240 --> 00:02:07.880]  寫給因傳家的每一個弟兄姊妹
[00:02:07.880 --> 00:02:10.920]  我們用這個角度去看這段經文
[00:02:10.920 --> 00:02:15.400]  《雅各書》第五章一至六節這裡的鋪排
[00:02:15.400 --> 00:02:17.800]  布局是很特別的
[00:02:17.800 --> 00:02:19.240]  它一開始的時候
[00:02:19.240 --> 00:02:21.400]  剛才Alton弟兄和我讀的
[00:02:21.400 --> 00:02:22.480]  第一個字是什麼
[00:02:22.480 --> 00:02:25.200]  「注意」如果你有留意他剛才讀經的時候
[00:02:25.200 --> 00:02:27.280]  第一個字是「注意」
[00:02:27.280 --> 00:02:28.760]  在《NIV聖經》裡面
[00:02:28.760 --> 00:02:29.800]  它的譯本就是
[00:02:29.800 --> 00:02:31.960]  「Now listen」
[00:02:31.960 --> 00:02:36.440]  雅各是用警告的態度語氣去說
[00:02:36.440 --> 00:02:39.160]  一開始這一段的經文
[00:02:39.160 --> 00:02:40.960]  「注意」「警告」
[00:02:40.960 --> 00:02:41.880]  警告些什麼呢
[00:02:41.880 --> 00:02:43.840]  警告富足的人
[00:02:43.840 --> 00:02:48.240]  有三件事情他警告我們
[00:02:48.240 --> 00:02:49.000]  第一件事情
[00:02:49.000 --> 00:02:51.520]  你的財物腐壞了
[00:02:51.520 --> 00:02:54.960]  弟兄姊妹什麼財物是會腐壞的
[00:02:54.960 --> 00:02:57.480]  如果你不知道什麼財物會腐壞的話
[00:02:57.480 --> 00:02:59.360]  待會你回家的時候
[00:02:59.360 --> 00:03:01.640]  打開你的雪櫃看一看
[00:03:01.640 --> 00:03:02.800]  你就知道了
[00:03:02.800 --> 00:03:06.280]  因為會腐壞的東西你只會放在雪櫃
[00:03:06.280 --> 00:03:10.720]  原來雅各在這裡指的財物是一些食物
[00:03:10.720 --> 00:03:13.360]  你的財物腐壞了
[00:03:13.360 --> 00:03:17.200]  你的衣服被蟲子咬了
[00:03:17.200 --> 00:03:20.960]  希臘文「衣服」這個字是Ematia
[00:03:20.960 --> 00:03:23.600]  Ematia不是普通的衣服
[00:03:23.600 --> 00:03:25.360]  是一些貴重的衣服
[00:03:25.360 --> 00:03:27.640]  是一些禮服
[00:03:27.640 --> 00:03:31.920]  一些有錢的人才可以擁有的衣服
[00:03:31.920 --> 00:03:36.480]  這些衣服這些禮服Ematia
[00:03:36.480 --> 00:03:40.200]  一般來說當時的社會的物料
[00:03:40.200 --> 00:03:43.960]  是一些羊毛或者是一些麻布
[00:03:43.960 --> 00:03:47.280]  這些物料如果放在一些黑暗的地方
[00:03:47.280 --> 00:03:50.600]  即是儲存櫃裡面的時候
[00:03:50.600 --> 00:03:54.120]  久了之後是會有蟲咬的
[00:03:54.120 --> 00:03:55.120]  反映了什麼呢
[00:03:55.120 --> 00:03:56.640]  雅各指的是什麼呢
[00:03:56.640 --> 00:03:58.760]  雅各在這裡就是想告訴我們什麼呢
[00:03:58.760 --> 00:03:59.600]  就是告訴我們
[00:03:59.600 --> 00:04:02.200]  原來這些富足的人
[00:04:02.200 --> 00:04:03.840]  很多的食物
[00:04:03.840 --> 00:04:06.080]  這些富足的人很多的衣服
[00:04:06.080 --> 00:04:07.800]  很多的漂亮的衣服
[00:04:07.800 --> 00:04:09.760]  藏起來未穿過
[00:04:09.760 --> 00:04:12.120]  富漢啊 蟲子咬了
[00:04:12.120 --> 00:04:13.760]  雅各是在說一個問題
[00:04:13.760 --> 00:04:15.920]  就是囤積的問題
[00:04:15.920 --> 00:04:17.720]  Hornding
[00:04:17.720 --> 00:04:18.480]  囤積
[00:04:18.480 --> 00:04:21.960]  我就看看字典究竟字典怎樣介紹
[00:04:21.960 --> 00:04:26.040]  解釋這個囤積這個問題
[00:04:26.040 --> 00:04:28.280]  或者這個字怎樣解釋呢
[00:04:28.280 --> 00:04:30.840]  Cambridge Dictionary就這樣說
[00:04:30.840 --> 00:04:33.480]  The act of collecting a large amount of something
[00:04:33.480 --> 00:04:34.920]  and keeping it for yourself
[00:04:34.920 --> 00:04:37.440]  often in a secret place
[00:04:37.440 --> 00:04:38.920]  即是說這個是一個動作
[00:04:38.920 --> 00:04:39.760]  是一個act
[00:04:39.760 --> 00:04:42.960]  你將一些很大量的某一樣東西
[00:04:42.960 --> 00:04:46.440]  藏起來給自己
[00:04:46.440 --> 00:04:48.040]  Cambridge Dictionary的字典
[00:04:48.040 --> 00:04:50.760]  就這樣形容囤積
[00:04:50.760 --> 00:04:53.720]  Marian Webster的Dictionary就這樣說
[00:04:53.720 --> 00:04:56.920]  The practice of collecting and accumulating something
[00:04:56.920 --> 00:05:00.240]  such as money or food
[00:05:00.240 --> 00:05:02.880]  即是說這個是一個習慣
[00:05:02.880 --> 00:05:04.880]  你不斷有這個習慣
[00:05:04.880 --> 00:05:09.280]  去收集 儲存某些東西
[00:05:09.280 --> 00:05:12.920]  可能是錢 可能是食物
[00:05:12.920 --> 00:05:17.880]  這些是字典給我們對囤積的看法
[00:05:17.880 --> 00:05:22.720]  最近 即是近年
[00:05:22.720 --> 00:05:25.240]  都發生了一些大事
[00:05:25.240 --> 00:05:27.600]  就是疫情
[00:05:27.600 --> 00:05:28.640]  如果疫情的期間
[00:05:28.640 --> 00:05:30.240]  大英姐妹你在加拿大的時候
[00:05:30.240 --> 00:05:33.960]  都發覺有一件很特別的事情
[00:05:33.960 --> 00:05:34.480]  就是什麼呢
[00:05:34.480 --> 00:05:36.880]  就是新聞經常都那一陣子
