
[00:00:00.000 --> 00:00:04.100]  幾個禮拜都是看不同的詩篇,楊詩篇對我們講說話
[00:00:04.100 --> 00:00:09.460]  我記得好幾年前有一齣的電影叫做《Inside Love》,大家有沒有看過?
[00:00:09.460 --> 00:00:11.340]  有,是講情緒的
[00:00:11.340 --> 00:00:12.960]  就是喜怒哀樂啊
[00:00:12.960 --> 00:00:17.720]  不同的角色就代表不同的情緒的起點
[00:00:17.720 --> 00:00:22.600]  我亦都記得,沒多久之前有一位英文的港員
[00:00:22.600 --> 00:00:26.640]  就跟我們講一個叫做 Emotional Will
[00:00:26.640 --> 00:00:30.400]  就是情緒的圓圈,情緒的車輪
[00:00:30.400 --> 00:00:32.920]  我就找不到一個好的中文的翻譯
[00:00:32.920 --> 00:00:36.520]  找不到一個好的中文翻譯,我只找到英文而已
[00:00:36.520 --> 00:00:39.760]  用不同的顏色就代表不同的情緒
[00:00:39.760 --> 00:00:42.860]  我不知道你過去一個禮拜,你會放自己在哪裏?
[00:00:42.860 --> 00:00:46.020]  什麼顏色?給大家一點時間看看,好嗎?
[00:00:46.020 --> 00:00:49.080]  你是哪一種顏色?
[00:00:49.080 --> 00:00:54.120]  有紅色,有藍色,有紫色,有黃色
[00:00:54.120 --> 00:00:58.960]  我不知道你是哪一種顏色
[00:00:58.960 --> 00:01:03.000]  或者在圓圈裏面,你會選擇哪一個?
[00:01:03.000 --> 00:01:05.360]  選擇好嗎?
[00:01:05.360 --> 00:01:08.820]  OK,選擇好
[00:01:08.820 --> 00:01:11.080]  OK,那你問問為什麼?
[00:01:11.080 --> 00:01:15.280]  為什麼你會feel the way you did?
[00:01:15.280 --> 00:01:17.600]  或者feel the way you do?
[00:01:17.600 --> 00:01:21.560]  為什麼你現在的心理狀況,情緒的狀況是這樣?
[00:01:21.560 --> 00:01:26.120]  被小孩氣壞了,或者在公司,或者在學校
[00:01:26.120 --> 00:01:32.000]  有很多瑣碎的事要去處理,所以令你很疲憊等等
[00:01:32.000 --> 00:01:37.540]  這個view是幫助我們,去看看我們現在的心境是怎樣
[00:01:37.540 --> 00:01:43.600]  往往很多時候上帝就是藉著我們的情緒去跟我們說話
[00:01:43.600 --> 00:01:47.160]  我們的情緒其實就是一個鏡子
[00:01:47.160 --> 00:01:50.320]  是我們心靈的鏡子,mirror of our soul
[00:01:50.320 --> 00:01:52.520]  或者是一個window of our soul
[00:01:52.520 --> 00:01:57.120]  就是一個窗戶,讓我們能夠看到我們裏面是甚麼
[00:01:57.120 --> 00:02:02.920]  上帝很多時候就是藉著這個窗戶,去跟我們說話
[00:02:02.920 --> 00:02:07.240]  如果你翻開詩篇的話,150首歌
[00:02:07.240 --> 00:02:13.040]  你幾乎能找到所有人類,所有你能夠經歷到的
[00:02:13.040 --> 00:02:15.800]  或者感受到的這些情緒
[00:02:15.800 --> 00:02:19.960]  喜怒哀樂,全部都在這些詩篇裏面出來
[00:02:19.960 --> 00:02:22.680]  很奇怪,如果你這樣想的話
[00:02:22.680 --> 00:02:27.760]  詩篇其實就是人對神說的話,是祈禱來的
[00:02:27.760 --> 00:02:34.400]  同時也是上帝對我們的啟示,也是上帝對我們說的話
[00:02:34.400 --> 00:02:39.840]  如果你翻開詩篇,你會發現,詩人,即是這些信徒
[00:02:39.840 --> 00:02:44.480]  他們去祈禱的時候,不是經常天色上揚才禱告
[00:02:44.480 --> 00:02:50.480]  很多時候在掙扎,在投訴,在軟弱裏面
[00:02:50.480 --> 00:02:57.600]  在很多申訴裏面,他甚至會get mad
[00:02:57.600 --> 00:03:00.680]  甚至會很憤怒
[00:03:00.680 --> 00:03:03.920]  這些情緒都會在詩篇裏面找到
