
[00:00:00.000 --> 00:00:06.500]  之前我們一直說解脫困所
[00:00:06.500 --> 00:00:10.000]  如果你有留意整個講壇的鋪排
[00:00:10.000 --> 00:00:15.000]  今天就想進一個另外一個小小轉變的課題
[00:00:15.000 --> 00:00:17.000]  就是住在尋求營運裏面
[00:00:17.000 --> 00:00:20.000]  常常提及我們這個特別的身份
[00:00:20.000 --> 00:00:22.000]  我們都是父臣的兒女
[00:00:22.000 --> 00:00:24.000]  我們是臣的子女
[00:00:24.000 --> 00:00:26.000]  這是一個我們很熟悉
[00:00:26.000 --> 00:00:29.000]  我們可以說是很了解的一個課題
[00:00:29.000 --> 00:00:32.000]  不過我覺得特別在家庭區域裏面
[00:00:32.000 --> 00:00:34.000]  去分享這個課題
[00:00:34.000 --> 00:00:36.000]  我覺得特別有意思
[00:00:36.000 --> 00:00:38.000]  因為我們很多人都是父母
[00:00:38.000 --> 00:00:41.000]  我們明白做父母是怎樣的
[00:00:41.000 --> 00:00:43.000]  即使你不是
[00:00:43.000 --> 00:00:46.000]  可能你未結婚或者你未有身份都好
[00:00:46.000 --> 00:00:48.000]  其實我相信我們人生到了這個年紀
[00:00:48.000 --> 00:00:50.000]  對於作為父母
[00:00:50.000 --> 00:00:52.000]  會多了一種體驗和體會
[00:00:52.000 --> 00:00:54.000]  所以我覺得對於做子女
[00:00:54.000 --> 00:00:58.000]  是有一種更多更深的體會
[00:00:58.000 --> 00:01:00.000]  比起年青人
[00:01:00.000 --> 00:01:02.000]  所以分享這個題目
[00:01:02.000 --> 00:01:04.000]  既是講一些很熟悉的經文
[00:01:04.000 --> 00:01:07.000]  但我們是盼望主張一些很新鮮的訊息
[00:01:07.000 --> 00:01:10.000]  在我們心目裏面向我們分享
[00:01:10.000 --> 00:01:16.000]  最近和家裏的兄弟
[00:01:16.000 --> 00:01:18.000]  原生家庭裏面
[00:01:18.000 --> 00:01:20.000]  六個兄弟都有很多商量
[00:01:20.000 --> 00:01:22.000]  做好一些事
[00:01:22.000 --> 00:01:24.000]  因為父母的身體都慢慢差了
[00:01:24.000 --> 00:01:26.000]  年紀又大了
[00:01:26.000 --> 00:01:28.000]  媽媽腦退化
[00:01:28.000 --> 00:01:31.000]  爸爸就有前列腺癌
[00:01:31.000 --> 00:01:33.000]  不過感恩的
[00:01:33.000 --> 00:01:35.000]  之前有一個很好的治療
[00:01:35.000 --> 00:01:37.000]  正在做電療
[00:01:37.000 --> 00:01:39.000]  但除此之外
[00:01:39.000 --> 00:01:41.000]  其實有很多事我們發覺要照顧
[00:01:41.000 --> 00:01:43.000]  現在我父母家裏
[00:01:43.000 --> 00:01:45.000]  其實已經有兩個傭人
[00:01:45.000 --> 00:01:47.000]  因為我媽媽的身體
[00:01:47.000 --> 00:01:48.000]  要很多人照顧
[00:01:48.000 --> 00:01:50.000]  有人做家務 有人照顧
[00:01:50.000 --> 00:01:51.000]  但除此之外
[00:01:51.000 --> 00:01:53.000]  其實我們都要做很多事
[00:01:53.000 --> 00:01:56.000]  有時陪爸爸看醫生
[00:01:56.000 --> 00:01:58.000]  有時會替他複診
[00:01:58.000 --> 00:01:59.000]  替他買些藥
[00:01:59.000 --> 00:02:01.000]  替他不要吃那些
[00:02:01.000 --> 00:02:03.000]  做很多這些事
[00:02:03.000 --> 00:02:06.000]  我想特別是這段日子
[00:02:06.000 --> 00:02:08.000]  覺得更有需要
[00:02:08.000 --> 00:02:10.000]  要照顧得緊密些
[00:02:10.000 --> 00:02:12.000]  否則會出亂子
[00:02:12.000 --> 00:02:14.000]  藥有沒有吃
[00:02:14.000 --> 00:02:16.000]  沒吃到 還是錯了
[00:02:16.000 --> 00:02:17.000]  這些問題
[00:02:17.000 --> 00:02:19.000]  時時都會令我們很擔心
[00:02:19.000 --> 00:02:21.000]  於是乎
[00:02:21.000 --> 00:02:23.000]  生得多
[00:02:23.000 --> 00:02:25.000]  六兄弟 大家商量
[00:02:25.000 --> 00:02:27.000]  譬如現在每個星期
[00:02:27.000 --> 00:02:29.000]  希望可以每一晚都有一個
[00:02:29.000 --> 00:02:31.000]  起碼有一個家庭
[00:02:31.000 --> 00:02:33.000]  可以上去探望他 吃飯
[00:02:33.000 --> 00:02:35.000]  起碼除了是
[00:02:35.000 --> 00:02:37.000]  聊天之外 解悶之外
[00:02:37.000 --> 00:02:39.000]  另外都要看他當日做事行不行
[00:02:39.000 --> 00:02:41.000]  就是這樣
[00:02:41.000 --> 00:02:43.000]  做這些事
[00:02:43.000 --> 00:02:45.000]  其實都很煩惱
[00:02:45.000 --> 00:02:46.000]  因為大家要夾時間
[00:02:46.000 --> 00:02:48.000]  當然要做很多這些功夫
[00:02:48.000 --> 00:02:50.000]  我覺得感恩的
[00:02:50.000 --> 00:02:52.000]  大家都沒什麼比較
[00:02:52.000 --> 00:02:54.000]  誰有時間 空間多些就做多些
