
[00:00:00.000 --> 00:00:03.400]  第二講是「智慧何價」
[00:00:03.400 --> 00:00:06.640]  我們將會去思考三個重要問題
[00:00:06.640 --> 00:00:09.240]  第一,甚麼是智慧呢?
[00:00:09.240 --> 00:00:12.280]  第二,智慧比甚麼更重要呢?
[00:00:12.280 --> 00:00:16.400]  你願意怎樣因為沉著智慧而放棄一些東西呢?
[00:00:16.400 --> 00:00:21.200]  第三,就是怎樣才有智慧?
[00:00:21.200 --> 00:00:22.200]  甚麼是智慧呢?
[00:00:22.200 --> 00:00:25.640]  可能有一天當你在休閒的時候
[00:00:25.640 --> 00:00:29.120]  上了臉書,看了一個作者叫黃安
[00:00:29.120 --> 00:00:32.800]  他問了一個很有趣的問題
[00:00:32.800 --> 00:00:36.720]  「狐狸五千年後變成甚麼呢?」
[00:00:36.720 --> 00:00:38.680]  「變成狐精」
[00:00:38.680 --> 00:00:42.360]  「如果蛇五百年後變成甚麼呢?」
[00:00:42.360 --> 00:00:45.400]  「跟你隔壁說,你真聰明」
[00:00:45.400 --> 00:00:47.280]  然後他再問
[00:00:47.280 --> 00:00:50.200]  「雞三天後變成甚麼呢?」
[00:00:50.200 --> 00:00:52.200]  「就是雞精了」
[00:00:52.200 --> 00:00:54.040]  當然這不是智慧
[00:00:54.040 --> 00:00:56.440]  不過是很好笑的幽默
[00:00:56.440 --> 00:00:58.760]  又或者有一天當你很憤怒
[00:00:58.760 --> 00:01:01.280]  見到某些人傷害你的時候
[00:01:01.280 --> 00:01:03.520]  在一個社交平台見到
[00:01:03.520 --> 00:01:06.600]  永遠不去怪責你生命裏的人
[00:01:06.600 --> 00:01:10.960]  你看一看,又發現相當有啟發
[00:01:10.960 --> 00:01:13.080]  他說好的人就給你快樂
[00:01:13.080 --> 00:01:14.760]  壞的人給你經歷
[00:01:14.760 --> 00:01:17.520]  最差的人就給你教訓
[00:01:17.520 --> 00:01:20.320]  最好的人就給你回憶
[00:01:20.320 --> 00:01:21.600]  你看一看你隔壁
[00:01:21.600 --> 00:01:24.880]  他是給你回憶還是教訓呢?
[00:01:24.880 --> 00:01:27.800]  又或者有一天當你工作得很辛苦
[00:01:27.800 --> 00:01:29.440]  很努力的時候
[00:01:29.440 --> 00:01:33.960]  突然間你又在另一個社交平台見到這句
[00:01:33.960 --> 00:01:38.440]  他說這個世界上唯一不需要努力的
[00:01:38.440 --> 00:01:39.920]  又得到的是甚麼?
[00:01:39.920 --> 00:01:40.880]  年稅
[00:01:40.880 --> 00:01:44.720]  你立即覺得都頗厲害
[00:01:44.720 --> 00:01:47.840]  又或者有一天當你打算看卡通片
[00:01:47.840 --> 00:01:50.520]  突然間有些金句進入你的腦袋
[00:01:50.520 --> 00:01:51.840]  例如Lion King說
[00:01:51.840 --> 00:01:55.600]  「The past can hurt, but the way I see it」
[00:01:55.600 --> 00:01:59.800]  「You can either run from it or learn from it」
[00:01:59.800 --> 00:02:01.440]  這句說法不錯
[00:02:01.440 --> 00:02:04.600]  或者你過去的傷痛
[00:02:04.600 --> 00:02:05.960]  但對你來說
[00:02:05.960 --> 00:02:07.400]  你可以選擇逃避
[00:02:07.400 --> 00:02:09.040]  當你看不到,但你繼續傷
[00:02:09.040 --> 00:02:11.960]  或者選擇從中學習
[00:02:11.960 --> 00:02:14.160]  都好像頗有啟發
[00:02:14.160 --> 00:02:16.200]  又或者當你看另一個卡通片
[00:02:16.200 --> 00:02:18.520]  突然間發現明明打算試畫
[00:02:18.520 --> 00:02:19.880]  又看了一句說話
