
[00:00:00.000 --> 00:00:04.000]  我們繼續 今天要講撒姆爾記
[00:00:04.000 --> 00:00:06.500]  撒姆爾傳第九講
[00:00:06.500 --> 00:00:10.140]  撒姆爾記上的十三章和十四章
[00:00:10.140 --> 00:00:13.260]  今天一共要講兩章的經文
[00:00:13.260 --> 00:00:16.260]  剛才主席已經為我們讀了
[00:00:16.260 --> 00:00:18.760]  我們今天要注意的經文
[00:00:18.760 --> 00:00:20.760]  今天的題目叫做
[00:00:20.760 --> 00:00:24.440]  愚蠢的藉口和無知的誓言
[00:00:24.440 --> 00:00:28.160]  這裡所講的當然是講掃羅
[00:00:28.160 --> 00:00:32.100]  他是一個人充滿有愚蠢的藉口
[00:00:32.100 --> 00:00:35.040]  充滿了無知的誓言
[00:00:35.040 --> 00:00:37.920]  但這亦是給予我們尷尬
[00:00:37.920 --> 00:00:39.920]  很多時候我們都是一樣
[00:00:39.920 --> 00:00:41.920]  當我們做錯事之後
[00:00:41.920 --> 00:00:43.920]  我們都有很多藉口
[00:00:43.920 --> 00:00:45.660]  我們要解釋給別人聽
[00:00:45.660 --> 00:00:47.660]  為何我們要這樣做
[00:00:47.660 --> 00:00:50.660]  我們這樣做是有原因的
[00:00:50.660 --> 00:00:52.660]  為何我們要這樣做
[00:00:52.660 --> 00:00:54.660]  就是因為我們不知錯
[00:00:54.660 --> 00:00:56.160]  我們不認罪
[00:00:56.160 --> 00:00:58.160]  我們要讓別人知道
[00:00:58.160 --> 00:01:01.160]  我們所做的一切都是有理由的
[00:01:01.160 --> 00:01:05.160]  掃羅和大衛其實有很大的差別
[00:01:05.160 --> 00:01:07.160]  大衛就不是這樣
[00:01:07.160 --> 00:01:09.160]  他是勇於認罪悔改
[00:01:09.160 --> 00:01:12.160]  所以我們見到掃羅和大衛是很不同的
[00:01:12.160 --> 00:01:14.160]  我們要學習大衛
[00:01:14.160 --> 00:01:17.160]  做一個為神所喜悅的人
[00:01:17.160 --> 00:01:19.160]  今天的經文
[00:01:19.160 --> 00:01:22.160]  在撒姆爾上的十三章一節
[00:01:22.160 --> 00:01:24.160]  其實這一節的經文
[00:01:24.160 --> 00:01:26.160]  第一次講介紹撒姆爾記的時候
[00:01:26.160 --> 00:01:28.160]  我都已經講過
[00:01:28.160 --> 00:01:31.160]  是一節很難解釋的經文
[00:01:31.160 --> 00:01:33.160]  在撒姆爾上的十三章一節
[00:01:33.160 --> 00:01:35.160]  說掃羅登基時一歲
[00:01:35.160 --> 00:01:38.160]  統治以色列兩年
[00:01:38.160 --> 00:01:40.160]  我們知道
[00:01:40.160 --> 00:01:43.160]  我們上一次講到掃羅被擁立為王
[00:01:43.160 --> 00:01:45.160]  他已經是一個年青人
[00:01:45.160 --> 00:01:47.160]  高大威猛
[00:01:47.160 --> 00:01:49.160]  英俊瀟灑
[00:01:49.160 --> 00:01:52.160]  怎可能是一歲登基呢
[00:01:52.160 --> 00:01:56.160]  所以在使徒行傳的十三章二十一節
[00:01:56.160 --> 00:01:58.160]  有很多的解經家見到
[00:01:58.160 --> 00:02:01.160]  掃羅統治以色列四十年
[00:02:01.160 --> 00:02:04.160]  所以有很多的聖經翻譯本
[00:02:04.160 --> 00:02:09.160]  都加上了掃羅登基的時候是三十歲
[00:02:09.160 --> 00:02:11.160]  或者是四十歲
[00:02:11.160 --> 00:02:14.160]  他統治以色列人是兩年
[00:02:14.160 --> 00:02:16.160]  但是我認為其實
[00:02:16.160 --> 00:02:19.160]  最好將這節經文還原的翻譯
[00:02:19.160 --> 00:02:24.160]  就是說掃羅三十又一歲開始作王
[00:02:24.160 --> 00:02:28.160]  當他作以色列王兩年的時候
[00:02:28.160 --> 00:02:30.160]  建立他的軍隊
[00:02:30.160 --> 00:02:33.160]  為何兩年後建立他的軍隊
[00:02:33.160 --> 00:02:38.160]  其實是跟撒姆爾上十三章二節所講的
[00:02:38.160 --> 00:02:40.160]  有連帶的關係
[00:02:40.160 --> 00:02:44.160]  所以我相信最好的翻譯就是這樣
[00:02:44.160 --> 00:02:48.160]  掃羅我們已經講過很多次
[00:02:48.160 --> 00:02:51.160]  他是一個不負責任的人
[00:02:51.160 --> 00:02:53.160]  他是一個非常驕傲
[00:02:53.160 --> 00:02:55.160]  非常自大的人
[00:02:55.160 --> 00:03:00.160]  他召集軍馬去打救基列雅比的人
[00:03:00.160 --> 00:03:04.160]  一共召集了有三十三萬的士兵
[00:03:04.160 --> 00:03:06.160]  現在打完仗
[00:03:06.160 --> 00:03:11.160]  他就將大部分的軍隊送回他們各個地方
[00:03:11.160 --> 00:03:14.160]  他自己只留下三千個人
[00:03:14.160 --> 00:03:17.160]  其中有二千個是給自己的
[00:03:17.160 --> 00:03:21.160]  他安寧在默默
[00:03:21.160 --> 00:03:25.160]  默默就是耶路撒冷西北
[00:03:25.160 --> 00:03:27.160]  大概七里的路
