
[00:00:00.000 --> 00:00:06.000]  其實我們人生裏有很多事可以令我們產生焦慮
[00:00:06.000 --> 00:00:09.000]  特別在香港今日這個社會
[00:00:09.000 --> 00:00:11.000]  我們中國人都經常有一句說話
[00:00:11.000 --> 00:00:16.000]  人無遠慮 必有近憂
[00:00:16.000 --> 00:00:20.000]  你看最近的一些新聞
[00:00:20.000 --> 00:00:23.000]  小學生 中學生 大學生
[00:00:23.000 --> 00:00:29.000]  都試過有人不敵學習的壓力
[00:00:29.000 --> 00:00:31.000]  就選擇了不歸路
[00:00:31.000 --> 00:00:35.000]  亦都有媽媽抱著兒子就這樣跳下樓
[00:00:35.000 --> 00:00:40.000]  香港人的焦慮指數可以說是非常高
[00:00:40.000 --> 00:00:45.000]  最近都曾經有一些事令人很恐懼
[00:00:45.000 --> 00:00:48.000]  那個鉛水的事件
[00:00:48.000 --> 00:00:50.000]  我有一次問師母
[00:00:50.000 --> 00:00:56.000]  其實我們屋苑要不要叫他們驗一下水呢
[00:00:56.000 --> 00:01:01.000]  她說全香港都沒有私人屋苑驗水
[00:01:01.000 --> 00:01:03.000]  我問為甚麼呢
[00:01:03.000 --> 00:01:06.000]  這個答案你自己想想
[00:01:06.000 --> 00:01:08.000]  有時候我們看
[00:01:08.000 --> 00:01:12.000]  很多人對於生活裏面
[00:01:12.000 --> 00:01:15.000]  或者遇到財困 感情的困擾
[00:01:15.000 --> 00:01:17.000]  或者疾病
[00:01:17.000 --> 00:01:21.000]  甚至最近都有人因為電話的騙案
[00:01:21.000 --> 00:01:24.000]  他產生一個很大很大的焦慮
[00:01:24.000 --> 00:01:27.000]  我真的認識有這樣的人
[00:01:27.000 --> 00:01:29.000]  我們在當中看見
[00:01:29.000 --> 00:01:32.000]  原來焦慮是很普遍的現象
[00:01:32.000 --> 00:01:34.000]  甚至一些心理學家會說
[00:01:34.000 --> 00:01:38.000]  這些是心靈裏頭最痛苦的一個狀態
[00:01:38.000 --> 00:01:41.000]  是一切心理問題的核心
[00:01:41.000 --> 00:01:45.000]  弗洛伊德他曾經在他一本著作裏面
[00:01:45.000 --> 00:01:47.000]  心理哲學
[00:01:47.000 --> 00:01:48.000]  他曾經這樣說
[00:01:48.000 --> 00:01:53.000]  他說焦慮這個問題是各種最重要的問題的核心
[00:01:53.000 --> 00:01:56.000]  我們只要能夠集中破解這個難題
