
[00:00:00.000 --> 00:00:05.280]  作為耶和華的僕人
[00:00:05.280 --> 00:00:10.640]  雖然核眼已聾
[00:00:10.640 --> 00:00:18.800]  但是這是獨一的真神的揀選
[00:00:18.800 --> 00:00:26.760]  所以我們要如鷹展翅上騰
[00:00:26.760 --> 00:00:32.400]  靠的不是我們的本領
[00:00:32.400 --> 00:00:35.440]  我們的堅毅
[00:00:35.440 --> 00:00:38.360]  我們的努力
[00:00:38.360 --> 00:00:46.600]  而是辨認耶和華的靈的作為
[00:00:46.600 --> 00:00:56.040]  當然如鷹展翅是一個自然界的比喻
[00:00:56.040 --> 00:01:01.720]  這個比喻的核心就是告訴我們
[00:01:01.720 --> 00:01:06.720]  其實就如鷹展開翅膀
[00:01:06.720 --> 00:01:17.560]  是投進這個從地面上升的熱氣流
[00:01:17.560 --> 00:01:21.080]  然後它可以上騰
[00:01:21.080 --> 00:01:24.600]  Ruach Adonai
[00:01:24.600 --> 00:01:26.560]  中文沒辦法翻譯得到
[00:01:26.560 --> 00:01:28.480]  又是神的靈
[00:01:28.480 --> 00:01:30.800]  又是神的氣
[00:01:30.800 --> 00:01:34.000]  又是神的風
[00:01:34.000 --> 00:01:35.680]  究竟是什麼意思?
[00:01:35.680 --> 00:01:44.600]  三個意思都出現在同一句以賽亞書的經文
[00:01:44.600 --> 00:01:51.280]  我們要能夠信得過上帝
[00:01:51.280 --> 00:01:56.960]  能夠肯將我們的身家、性命、財產
[00:01:56.960 --> 00:02:00.320]  要這樣說中國人才明白
[00:02:00.320 --> 00:02:06.600]  我們能夠投在上主的恩手當中
[00:02:06.600 --> 00:02:14.120]  我們就必須要明白天父的心懷
[00:02:14.120 --> 00:02:16.480]  所以以賽亞書四十八章
[00:02:16.480 --> 00:02:25.000]  剛才我們讀一至十一節的經文很重要
[00:02:25.000 --> 00:02:26.800]  很難解釋
[00:02:26.800 --> 00:02:29.720]  我還記得二十八年前
[00:02:29.720 --> 00:02:33.200]  一九九二年
[00:02:33.200 --> 00:02:36.400]  我在寫我的論文
[00:02:36.400 --> 00:02:42.160]  寫到四十八章一至十一節
[00:02:42.160 --> 00:02:47.560]  我找遍了圖書館,不是忠臣的圖書館
[00:02:47.560 --> 00:02:50.560]  是愛丁堡大學的圖書館
[00:02:50.560 --> 00:02:57.760]  看了所有討論這十一節經文的著作
[00:02:57.760 --> 00:03:02.320]  我都不知道怎麼落筆
[00:03:02.320 --> 00:03:05.520]  當時我很深印象
[00:03:05.520 --> 00:03:10.440]  我的老教授Professor George Anderson
[00:03:10.440 --> 00:03:16.680]  唐佑之牧師是他第一位的華人博士生
[00:03:16.680 --> 00:03:19.400]  我讀博士的時候他已經退休了
[00:03:19.400 --> 00:03:21.640]  所以我不是他最後的一個
[00:03:21.640 --> 00:03:26.600]  李次昌牧師是他最後一位的博士生
[00:03:26.600 --> 00:03:28.400]  Professor Anderson已經退休了
[00:03:28.400 --> 00:03:36.440]  不過不知為何他將一個信封交給我
[00:03:36.440 --> 00:03:42.040]  裏面原來就是一九九二年
[00:03:42.040 --> 00:03:50.440]  當年德國的一位舊約教授Hans-Jürgen Hermeson
[00:03:50.440 --> 00:03:54.920]  他正在寫以塞亞書的注釋
[00:03:54.920 --> 00:03:59.640]  而德國寫注釋的習慣
[00:03:59.640 --> 00:04:04.560]  是每八十頁就出版的
[00:04:04.560 --> 00:04:06.920]  叫做Fasical
[00:04:06.920 --> 00:04:10.400]  不是整本寫好才出版的
