
[00:00:00.000 --> 00:00:06.040]  我們每次都會做一點溫習的
[00:00:06.040 --> 00:00:07.340]  這個是非常重要的
[00:00:07.340 --> 00:00:09.140]  因為聖經是一本書
[00:00:09.140 --> 00:00:12.820]  不是斬件式隨便切一些東西出來
[00:00:12.820 --> 00:00:15.080]  這次是一樣的 這次其實是很重要的
[00:00:15.080 --> 00:00:17.860]  因為你會發現這次這個加油站
[00:00:17.860 --> 00:00:20.840]  我叫做大衛的罪根
[00:00:20.840 --> 00:00:26.660]  其實真的和前面的摩西五經是有關係的
[00:00:26.660 --> 00:00:31.840]  所以我們都是很值得很快的去看一看摩西的五經
[00:00:31.840 --> 00:00:35.340]  摩西五經的創世記是講到這個
[00:00:35.340 --> 00:00:39.200]  創造墮落救贖的三部曲
[00:00:39.200 --> 00:00:43.680]  創世記講的是偶像之家的逃生記
[00:00:43.680 --> 00:00:47.680]  利美記講的是聖傑君王布衛斯
[00:00:47.680 --> 00:00:50.780]  文素記所講的是曠野中的大叛逆
[00:00:50.780 --> 00:00:53.800]  然後生命記 深受割禮心愛主
[00:00:53.800 --> 00:00:56.960]  我們在明年一月的第二個禮拜六
[00:00:56.960 --> 00:00:59.740]  就會有一個舊約的講座
[00:00:59.740 --> 00:01:03.240]  就會講這個生命記的
[00:01:03.240 --> 00:01:06.900]  當然所有的東西都是一個影子指向著耶穌基督
[00:01:06.900 --> 00:01:10.060]  今天是一樣的 當我們去看大衛的罪根
[00:01:10.060 --> 00:01:13.560]  最後都是指向著耶穌基督最終的拯救
[00:01:13.560 --> 00:01:16.940]  當你出了創出了民生摩西五經之後
[00:01:16.940 --> 00:01:18.820]  你會進入約書亞記
[00:01:18.820 --> 00:01:21.580]  約書亞記我說書、劍、恩、仇、進、加、南
[00:01:21.580 --> 00:01:23.440]  講的是他們要進加、南
[00:01:23.440 --> 00:01:25.700]  在當中他們要打聖戰
[00:01:25.700 --> 00:01:27.980]  但是也都有上帝的恩典
[00:01:27.980 --> 00:01:31.940]  我們記得那個妓女拉合那個被拯救
[00:01:31.940 --> 00:01:33.680]  就是這個恩
[00:01:33.680 --> 00:01:36.880]  那書、劍、書是什麼呢?
[00:01:36.880 --> 00:01:40.840]  就是摩西五經 尤其是那個生命記
[00:01:40.840 --> 00:01:44.160]  你會發現生命記對於生命記之後的書
[00:01:44.160 --> 00:01:46.480]  其實是非常之重要的
[00:01:46.480 --> 00:01:49.780]  很可惜他們進入了加、南之後
[00:01:49.780 --> 00:01:51.540]  其實成為一個亂世
[00:01:51.540 --> 00:01:54.220]  因為他們真的離棄了上帝
[00:01:54.220 --> 00:01:57.400]  雖然表面上他們好像還在敬拜耶和華
[00:01:57.400 --> 00:01:59.760]  其實實際上他們根本不認識耶和華
[00:01:59.760 --> 00:02:02.740]  也都不認識那本書
[00:02:02.740 --> 00:02:05.840]  就是書、劍、恩、仇那本書
[00:02:05.840 --> 00:02:10.200]  他們不認識上帝在生命記裡面的上帝
[00:02:10.200 --> 00:02:13.280]  我叫做史詩記和盧德記 其實是孖公仔
[00:02:13.280 --> 00:02:16.240]  我叫他做亂世史詩真救主
[00:02:16.240 --> 00:02:19.500]  他都在等待一個真的救主
[00:02:19.500 --> 00:02:21.340]  在一個很亂世的時候
[00:02:21.340 --> 00:02:25.160]  那些史詩每一個都比之前那個更差
[00:02:25.160 --> 00:02:28.020]  我們在等待一個真正的君王來臨
[00:02:28.020 --> 00:02:30.040]  盧德記就是在講
[00:02:30.040 --> 00:02:37.200]  大衛就是那個認祂的君王
[00:02:37.200 --> 00:02:38.880]  如果你記得那個史詩記
[00:02:38.880 --> 00:02:40.940]  我說史詩記的題目是
[00:02:40.940 --> 00:02:44.200]  「訴羅不是賢君」
[00:02:44.200 --> 00:02:46.660]  其實有一點影射訴羅
[00:02:46.660 --> 00:02:51.360]  而盧德記就是大衛才是那個賢君
[00:02:51.360 --> 00:02:54.800]  當然我們進入了撒姆爾記的時候
[00:02:54.800 --> 00:02:57.840]  我們發現最終大衛都不是那個賢君
[00:02:57.840 --> 00:03:03.800]  其實他一樣沒有辦法拯救以色列人
[00:03:03.800 --> 00:03:08.940]  需要是大衛的子孫才可以拯救以色列人
[00:03:08.940 --> 00:03:13.040]  撒姆爾記我叫他做永約上主三君王
[00:03:13.040 --> 00:03:16.840]  永約上主因為撒姆爾記最終的中心思想
[00:03:16.840 --> 00:03:18.860]  是上帝與大衛所立的約
[00:03:18.860 --> 00:03:24.000]  他的後裔將會作王永遠
[00:03:24.000 --> 00:03:28.840]  當然那個後裔就是講主耶穌基督那個真正的救主
[00:03:28.840 --> 00:03:34.560]  而永約上主三君王就是訴羅第一個君王
[00:03:34.560 --> 00:03:36.020]  第二個君王是大衛
[00:03:36.020 --> 00:03:38.620]  最後那個是主耶穌基督
[00:03:38.620 --> 00:03:43.040]  因為大衛都不是那個完美的救主
[00:03:43.040 --> 00:03:47.280]  如果你按照我們今天的讀經表
[00:03:47.280 --> 00:03:52.620]  就應該讀到撒姆爾記下第11章和第12章
[00:03:52.620 --> 00:03:54.120]  就是大衛犯罪那裡
[00:03:54.120 --> 00:03:56.720]  我們也是今天想很快的
[00:03:56.720 --> 00:03:58.200]  不會花太多時間
[00:03:58.200 --> 00:04:02.860]  跟大家go through一些很重要的重點
[00:04:02.860 --> 00:04:06.780]  如果你跟著這個讀經的計劃
[00:04:06.780 --> 00:04:10.180]  已經是去到這個月的
[00:04:10.180 --> 00:04:12.800]  就是去到這個禮拜的尾
[00:04:12.800 --> 00:04:15.120]  就是星期六22號
[00:04:15.120 --> 00:04:16.260]  那就恭喜你了
[00:04:16.260 --> 00:04:17.280]  你已經看完了
[00:04:17.280 --> 00:04:20.280]  將會看完撒姆爾記下或者撒姆爾記
[00:04:20.280 --> 00:04:22.580]  因為撒姆爾記其實是一本書來的
[00:04:22.580 --> 00:04:26.460]  接著下個禮拜你就可以開始看獵王記
[00:04:26.460 --> 00:04:28.460]  OK 鼓勵大家
[00:04:28.460 --> 00:04:31.440]  就算你遲了一點點也不要緊
[00:04:31.440 --> 00:04:32.540]  急起直追
[00:04:32.540 --> 00:04:35.540]  我想跟你講一下大衛的犯罪
[00:04:35.540 --> 00:04:39.760]  大衛的犯罪大家一想 大家都很熟悉的
[00:04:39.760 --> 00:04:41.760]  大衛犯了姦淫
[00:04:41.760 --> 00:04:43.520]  因為他淫淫妻
[00:04:43.520 --> 00:04:46.500]  他也犯了殺人罪
[00:04:46.500 --> 00:04:51.800]  他殺了烏尼亞
[00:04:51.800 --> 00:04:55.760]  我們一想大衛的罪就是想到這件事
[00:04:55.760 --> 00:05:00.440]  姦淫和殺人
[00:05:00.440 --> 00:05:02.440]  尤其是姦淫這件事
[00:05:02.440 --> 00:05:05.540]  因為如果他沒有姦淫他就不會殺人
[00:05:05.540 --> 00:05:09.620]  於是姦淫其實是一個很突出的罪惡
[00:05:09.620 --> 00:05:13.160]  但有趣的時候就是當你去看撒姆爾記
[00:05:13.160 --> 00:05:14.620]  第十一章和第十二章
[00:05:14.620 --> 00:05:22.500]  十二章拿單來將他的罪惡呈現出來的時候
[00:05:22.500 --> 00:05:27.680]  你發現他從來沒有說過大衛犯的是姦淫
[00:05:27.680 --> 00:05:35.080]  我想給你看一下他聖經裡面所講的一個焦點
[00:05:35.080 --> 00:05:36.820]  將焦點放在哪裡呢?
[00:05:36.820 --> 00:05:42.000]  如果你去看撒姆爾記第十一章第四節
[00:05:42.000 --> 00:05:45.760]  講到大衛的罪惡發生的時候
[00:05:45.760 --> 00:05:47.040]  他是這麼寫的
[00:05:47.040 --> 00:05:51.200]  大衛派使者把婦人接來
[00:05:51.200 --> 00:05:53.740]  她來到大衛那裡
[00:05:53.740 --> 00:05:56.100]  那時她的月經剛潔淨
[00:05:56.100 --> 00:05:58.740]  大衛和她同枕她就回家了
[00:05:58.740 --> 00:06:01.760]  當然這個就是犯的姦淫罪
[00:06:01.760 --> 00:06:06.640]  也都是帶來嬰兒懷孕以至最後殺人
[00:06:06.640 --> 00:06:09.880]  但是如果你留意有一個字眼
[00:06:09.880 --> 00:06:12.260]  可能中文不是很清晰
[00:06:12.260 --> 00:06:13.880]  但是其實在原文裡面
[00:06:13.880 --> 00:06:17.220]  如果你是在讀希伯來文的話
[00:06:17.220 --> 00:06:19.060]  其實是一個很特別的字眼
[00:06:19.060 --> 00:06:23.520]  而這個字眼在聖經裡面是很普遍經常出來的
[00:06:23.520 --> 00:06:25.340]  但是是很重要的一件事
[00:06:25.340 --> 00:06:27.480]  就是那個「接來」這個字
[00:06:27.480 --> 00:06:31.700]  他說大衛派使者把婦人接來
[00:06:31.700 --> 00:06:34.740]  那個英文是「to take」
[00:06:34.740 --> 00:06:42.940]  「take」其實更好、更直接的翻譯就是「拿來」
[00:06:42.940 --> 00:06:45.880]  他說大衛他犯了什麼罪呢?
[00:06:45.880 --> 00:06:47.880]  就是將這個婦人「拿來」
[00:06:47.880 --> 00:06:50.760]  現在帶你去看第十二章
[00:06:50.760 --> 00:06:53.160]  講到拿丹挑戰大衛的時候
[00:06:53.160 --> 00:06:55.700]  又說差遣拿丹到大衛那裡
[00:06:55.700 --> 00:06:57.920]  拿丹到了他那裡對他誰
[00:06:57.920 --> 00:07:00.000]  這就是講這一輪
[00:07:00.000 --> 00:07:01.160]  去到第四節
[00:07:01.160 --> 00:07:03.300]  有一位客人他打個比喻
[00:07:03.300 --> 00:07:06.200]  有一位客人來到這富翁那裡
[00:07:06.200 --> 00:07:11.340]  富翁捨不得從自己的羊群中
