
[00:00:00.000 --> 00:00:02.000]  頂姐妹午安
[00:00:02.000 --> 00:00:04.000]  很開心見到大家
[00:00:04.000 --> 00:00:06.000]  可以和大家一起來敬拜主
[00:00:06.000 --> 00:00:09.000]  今天我們一起來分享
[00:00:09.000 --> 00:00:11.000]  詩篇一百三十二篇
[00:00:11.000 --> 00:00:13.000]  這個上行之詩
[00:00:13.000 --> 00:00:15.000]  我們再一次看上行之詩
[00:00:15.000 --> 00:00:17.000]  詩篇一百三十二篇
[00:00:17.000 --> 00:00:21.000]  是上行之篇裏面最長的一首詩篇
[00:00:21.000 --> 00:00:24.000]  通常其他詩篇都只有幾句
[00:00:24.000 --> 00:00:27.000]  基本上長度是其他詩篇的三倍
[00:00:27.000 --> 00:00:30.000]  很多人說它是一首石安詩
[00:00:30.000 --> 00:00:32.000]  亦是一首君王詩
[00:00:32.000 --> 00:00:34.000]  我們知道
[00:00:34.000 --> 00:00:38.000]  有人說這首詩歌是在大衛時代所寫的
[00:00:38.000 --> 00:00:40.000]  亦有人說這首詩歌
[00:00:40.000 --> 00:00:43.000]  是在所羅門獻殿的時候所寫
[00:00:43.000 --> 00:00:45.000]  但我們知道
[00:00:45.000 --> 00:00:47.000]  其實詩篇一百五十首
[00:00:47.000 --> 00:00:50.000]  就是在秘魯的時候修葺而成
[00:00:50.000 --> 00:00:54.000]  比當時秘魯在外的一班以色列還長
[00:00:54.000 --> 00:00:57.000]  而我們看這首詩篇的時候
[00:00:57.000 --> 00:00:59.000]  我們看到第一節
[00:00:59.000 --> 00:01:03.000]  他呼求耶和華來紀念大衛的困苦
[00:01:03.000 --> 00:01:06.000]  而去到第十節又呼求
[00:01:06.000 --> 00:01:09.000]  神恩著大衛的緣故
[00:01:09.000 --> 00:01:12.000]  不要厭棄受羔者
[00:01:12.000 --> 00:01:16.000]  彷彿好像詩人落了一個很漂流不定
[00:01:16.000 --> 00:01:18.000]  很需要神來紀念
[00:01:18.000 --> 00:01:20.000]  私恩的一種狀況
[00:01:20.000 --> 00:01:23.000]  講到一種心靈很漂流不定
[00:01:23.000 --> 00:01:26.000]  需要詩恩 需要神紀念
[00:01:26.000 --> 00:01:29.000]  我想今天我們在座每一個香港人
[00:01:29.000 --> 00:01:31.000]  我們都有這種心情
[00:01:31.000 --> 00:01:34.000]  所以今天就很想用這個詩篇
[00:01:34.000 --> 00:01:40.000]  來帶大家看看甚麼是真正的安歇
[00:01:40.000 --> 00:01:42.000]  詩篇是一百三十二篇第一句
[00:01:42.000 --> 00:01:45.000]  他就說耶和華求祢紀念大衛
[00:01:45.000 --> 00:01:48.000]  紀念祂所受的一切苦難
[00:01:48.000 --> 00:01:49.000]  這個紀念這個字
[00:01:49.000 --> 00:01:51.000]  如果在舊約裏面用的時候
[00:01:51.000 --> 00:01:53.000]  向神呼求
[00:01:53.000 --> 00:01:55.000]  不只是叫神記得這麼簡單
[00:01:55.000 --> 00:01:59.000]  而是呼求神來私恩來憐憫
[00:01:59.000 --> 00:02:01.000]  詩人呼求神
[00:02:01.000 --> 00:02:05.000]  要講到大衛怎樣向耶和華起誓
[00:02:05.000 --> 00:02:08.000]  我們看到第二至第五節裏面
[00:02:08.000 --> 00:02:13.000]  其實就是大衛向神當時的一個誓言
[00:02:13.000 --> 00:02:16.000]  詩人在這裏用了一個很長的誓言
[00:02:16.000 --> 00:02:17.000]  這裏看到很短
[00:02:17.000 --> 00:02:19.000]  但其實是一個很長的誓詞
[00:02:19.000 --> 00:02:21.000]  如果原文去看
[00:02:21.000 --> 00:02:22.000]  其實就是說
[00:02:22.000 --> 00:02:25.000]  如果我進入我的帳幕
[00:02:25.000 --> 00:02:27.000]  願我受就坐
[00:02:27.000 --> 00:02:29.000]  如果我上我的床榻
[00:02:29.000 --> 00:02:31.000]  願我受就坐
[00:02:31.000 --> 00:02:33.000]  如果我用我的眼睛睡覺
[00:02:33.000 --> 00:02:35.000]  願我受就坐
[00:02:35.000 --> 00:02:37.000]  如果我用我的眼目打盹
[00:02:37.000 --> 00:02:39.000]  願我受就坐
[00:02:39.000 --> 00:02:41.000]  他用了一連串四個如果
[00:02:41.000 --> 00:02:43.000]  來表明他很想做一件事
[00:02:43.000 --> 00:02:45.000]  直到做完這件事
[00:02:45.000 --> 00:02:47.000]  他才能夠有覺好睡
[00:02:47.000 --> 00:02:49.000]  這件事是甚麼呢
[00:02:49.000 --> 00:02:51.000]  就是要為神找一個地方
[00:02:51.000 --> 00:02:54.000]  為神尋得他的居所
[00:02:54.000 --> 00:02:56.000]  很多人都說這個居所
[00:02:56.000 --> 00:03:01.000]  其實是說大衛要為神起聖殿
