
[00:00:00.000 --> 00:00:04.220]  我哋一齊低頭祈禱先
[00:00:04.220 --> 00:00:07.560]  親愛的主耶穌
[00:00:07.560 --> 00:00:11.240]  我哋可能都會有覺無力嘅時候
[00:00:11.240 --> 00:00:16.100]  我哋會覺得有欠缺嘅時候
[00:00:16.100 --> 00:00:20.500]  但主啊我哋知道有你同在
[00:00:20.500 --> 00:00:24.020]  有你扶持住我哋
[00:00:24.020 --> 00:00:28.320]  我哋有足夠
[00:00:28.320 --> 00:00:31.240]  求主繼續帶領我哋
[00:00:31.240 --> 00:00:34.940]  求主繼續俾我哋見到你
[00:00:34.940 --> 00:00:39.720]  見到你俾到我哋要行一條咩路
[00:00:39.720 --> 00:00:42.440]  俾我哋見到你嘅引領
[00:00:42.440 --> 00:00:48.720]  俾我哋見到可以點樣定征去望住你
[00:00:48.720 --> 00:00:50.200]  求主嘅拖帶繼續
[00:00:50.200 --> 00:00:51.920]  禱告交託奉靠救主耶穌基督
[00:00:51.920 --> 00:00:53.280]  德性明智祈求
[00:00:53.280 --> 00:00:54.960]  阿們
[00:00:54.960 --> 00:01:00.600]  好喇咁啊頭先我咪講呢個基巔嘅戰狼三百嘅
[00:01:00.600 --> 00:01:03.360]  咁啊唔知大家有冇睇過戰狼三百啦
[00:01:03.360 --> 00:01:05.360]  原來呢
[00:01:05.360 --> 00:01:10.040]  呢套戲呢講嗰個故事呢係一個真係一個歷史嘅故事喎
[00:01:10.040 --> 00:01:12.920]  咁呢故事講啲咩啦講少少畀大家聽啦
[00:01:12.920 --> 00:01:17.120]  就係呢原來關呢個溫泉關戰役嘅喎
[00:01:17.120 --> 00:01:21.120]  即係原來呢早響呢個公元前四百八十年呢
[00:01:21.120 --> 00:01:23.120]  就係一場好著名嘅戰役
[00:01:23.120 --> 00:01:25.120]  就係呢個
[00:01:25.120 --> 00:01:28.880]  有呢個波斯嘅軍隊呢去攻打呢
[00:01:28.880 --> 00:01:31.280]  希臘雅典嗰邊喎
[00:01:31.280 --> 00:01:34.400]  咁呢就故事呢就係講呢個
[00:01:34.400 --> 00:01:39.600]  就個國王啦就斯巴達國王就去率領咗
[00:01:39.600 --> 00:01:44.560]  即係三百人呢就去鎮守呢個溫泉關
