
[00:00:00.000 --> 00:00:05.000]  感謝神我們看見Shakina Glory建電的工程進展的非常的快速
[00:00:05.000 --> 00:00:11.000]  現在已經進行到,剛才看到一些video,很多內部的細節的工程上
[00:00:11.000 --> 00:00:17.000]  換句話說,我們真的是可以按照預計的六月、七月就可以完工了
[00:00:17.000 --> 00:00:21.000]  一方面我們真的是為了神的恩典獻上感謝
[00:00:21.000 --> 00:00:25.000]  你們特別神給我們這麼好的天氣,amazing的天氣
[00:00:25.000 --> 00:00:29.000]  我女兒在東岸現在suffer得不得了,上大學
[00:00:29.000 --> 00:00:34.000]  這裡真的我們看見大太陽非常的溫暖,神的恩典
[00:00:34.000 --> 00:00:39.000]  但另一方面我們也真的需要為進入新唐來做預備的工作
[00:00:39.000 --> 00:00:45.000]  在最近幾次牧羊會議當中,我們都提到當新唐完成之後
[00:00:45.000 --> 00:00:49.000]  我們會一定想有很多大量的新人會湧入
[00:00:49.000 --> 00:00:55.000]  怎麼樣能夠讓新人能夠留住,這都是大家最關切的話題
[00:00:55.000 --> 00:00:59.000]  當然一方面我們希望能夠增加更多的小組
[00:00:59.000 --> 00:01:06.000]  事實上曾牧師跟驅牧團隊已經為今年的小組的發展上定下了一個目標
[00:01:06.000 --> 00:01:11.000]  就是要從現在一百五十幾個小組要增長到兩百個小組
[00:01:11.000 --> 00:01:17.000]  但另一方面我們也看見光是小組的增長的數目是不夠的
[00:01:17.000 --> 00:01:21.000]  我們必須要強化小組的功能
[00:01:21.000 --> 00:01:27.000]  否則的話我看見今天有很多的小組已經失去了侍奉的動力
[00:01:27.000 --> 00:01:31.000]  小組的聚會只是為了小組的存在而已
[00:01:31.000 --> 00:01:36.000]  久而久之我們失去了方向,我們也失去了動力
[00:01:36.000 --> 00:01:40.000]  第二點今天是當神要帶領整個教會向前進的時候
[00:01:40.000 --> 00:01:46.000]  我告訴你不只是牧師們要向前進,而是大家都要一起向前進
[00:01:46.000 --> 00:01:54.000]  不只是牧師們要擺上跟隨,大家都要一起擺上跟隨
[00:01:54.000 --> 00:02:03.000]  Shakina Glory不但是一個聖殿的建造,Shakina Glory更是一個小組的建造
[00:02:03.000 --> 00:02:07.000]  因為只有當我們建造一個強而有力的小組的時候
[00:02:07.000 --> 00:02:12.000]  我們才能夠建造一個強而有力的教會
