
[00:00:00.000 --> 00:00:06.000]  我今天能夠再次有機會和T4C的電影節目一起的敬拜神
[00:00:06.000 --> 00:00:11.000]  上星期有在我現在住的密西根州
[00:00:11.000 --> 00:00:13.000]  裡面有一間教會
[00:00:13.000 --> 00:00:17.000]  差點發生大型槍擊事件
[00:00:17.000 --> 00:00:20.000]  不知道大家在網上有沒有聽到
[00:00:20.000 --> 00:00:22.000]  一個叫做Brian Brown的
[00:00:22.000 --> 00:00:31.000]  拿著AK-15的槍試圖闖入正在進行主要崇拜的Cross Point Community Church
[00:00:31.000 --> 00:00:33.000]  神很奇妙的安排
[00:00:33.000 --> 00:00:35.000]  有一個遲到的匯眾
[00:00:35.000 --> 00:00:38.000]  看到有人拿著槍走向教會
[00:00:38.000 --> 00:00:43.000]  他們開車到行人道撞低了槍手
[00:00:43.000 --> 00:00:46.000]  驚動了教會的保安人員
[00:00:46.000 --> 00:00:50.000]  保安人員出來回應的時候
[00:00:50.000 --> 00:00:53.000]  其中一個被槍手開槍打中了腳
[00:00:53.000 --> 00:00:59.000]  但另一位保安人員就及時擊殺了槍手
[00:00:59.000 --> 00:01:03.000]  沒有造成更大的傷害
[00:01:03.000 --> 00:01:08.000]  槍手Brian在現場就被打死
[00:01:08.000 --> 00:01:11.000]  而且他沒有留下任何的宣言
[00:01:11.000 --> 00:01:13.000]  所以警方都沒有辦法確定
[00:01:13.000 --> 00:01:16.000]  究竟他為什麼會做這樣的事
[00:01:16.000 --> 00:01:20.000]  要去到這間教會企圖去殺害那裡的人
[00:01:20.000 --> 00:01:26.000]  但傳媒就在猜測他是一個有心理問題的人
[00:01:26.000 --> 00:01:31.000]  更是心理健康成為了很多人注視的一個課題
[00:01:31.000 --> 00:01:34.000]  但無緣無故釀成一些暴力事件
[00:01:34.000 --> 00:01:37.000]  往往就會被假設
[00:01:37.000 --> 00:01:41.000]  是他的心理狀況出了毛病
[00:01:41.000 --> 00:01:44.000]  其實心理健康的問題有很多種
[00:01:44.000 --> 00:01:48.000]  我們最常聽到的可能是憂鬱症
[00:01:48.000 --> 00:01:50.000]  很多人覺得情緒低落的時候
[00:01:50.000 --> 00:01:55.000]  無論有沒有經過心理醫生診斷是患上憂鬱症
[00:01:55.000 --> 00:02:01.000]  都會覺得自己正處在憂鬱的狀態當中
[00:02:01.000 --> 00:02:02.000]  或者你會想
[00:02:02.000 --> 00:02:06.000]  我們基督徒既然有從神來的喜樂、平安
[00:02:06.000 --> 00:02:09.000]  應該不會憂鬱吧
[00:02:09.000 --> 00:02:12.000]  但是聖經記述了屬神的人
[00:02:12.000 --> 00:02:15.000]  包括被神重用的毒人
[00:02:15.000 --> 00:02:18.000]  也都有陷入憂鬱的經歷
[00:02:18.000 --> 00:02:19.000]  我想一個重要的原因是
[00:02:19.000 --> 00:02:23.000]  憂鬱症不單止是有屬靈的層面
[00:02:23.000 --> 00:02:28.000]  也都有生理、有physiological的層面
[00:02:28.000 --> 00:02:31.000]  一個患憂鬱症的人
[00:02:31.000 --> 00:02:35.000]  他腦裡的化學元素是不平衡
[00:02:35.000 --> 00:02:38.000]  而造成他情緒低落的症狀
[00:02:38.000 --> 00:02:42.000]  屬靈的方法不能夠醫治身體生理的毛病
[00:02:42.000 --> 00:02:44.000]  就好像我們頭痛的時候
[00:02:44.000 --> 00:02:46.000]  要吃止痛藥
[00:02:46.000 --> 00:02:50.000]  我們傷風藥要吃傷風藥
[00:02:50.000 --> 00:02:52.000]  有些身體的毛病
[00:02:52.000 --> 00:02:56.000]  是確實需要一些藥物去幫助
[00:02:56.000 --> 00:02:58.000]  而抗憂鬱的藥物
[00:02:58.000 --> 00:03:00.000]  那些anti-depressant
[00:03:00.000 --> 00:03:04.000]  不能夠處理人靈性的需要
[00:03:04.000 --> 00:03:07.000]  我們要尋求一個全人的醫治
[00:03:07.000 --> 00:03:09.000]  就要雙管齊下
[00:03:09.000 --> 00:03:11.000]  應該幫助病者去處理
[00:03:11.000 --> 00:03:14.000]  生理狀態造成的一些情緒低落
[00:03:14.000 --> 00:03:16.000]  也要引導他
[00:03:16.000 --> 00:03:19.000]  在神裡面找到希望
[00:03:19.000 --> 00:03:22.000]  重現他生存的意志
[00:03:22.000 --> 00:03:25.000]  對自己的未來完全失望
[00:03:25.000 --> 00:03:28.000]  是引發憂鬱的一個很大的因素
[00:03:28.000 --> 00:03:30.000]  令人覺得人生已經失去意義
[00:03:30.000 --> 00:03:34.000]  甚至喪失了生存的意志
[00:03:34.000 --> 00:03:37.000]  真正能夠設給人盼望的是神
[00:03:37.000 --> 00:03:39.000]  能夠使人活得有意義的
[00:03:39.000 --> 00:03:41.000]  也是神
[00:03:41.000 --> 00:03:43.000]  所以今天我想跟大家一起
[00:03:43.000 --> 00:03:45.000]  從先經的一個實例
[00:03:45.000 --> 00:03:48.000]  一位神所重用
[00:03:48.000 --> 00:03:51.000]  被很多人所敬重的神僕
[00:03:51.000 --> 00:03:53.000]  先知伊利亞
[00:03:53.000 --> 00:03:55.000]  一個曾經被神使用
[00:03:55.000 --> 00:03:58.000]  令到在剎那法的一個寡婦
[00:03:58.000 --> 00:04:00.000]  談內的面果不減少
[00:04:00.000 --> 00:04:04.000]  貧侶的油也不短缺
[00:04:04.000 --> 00:04:07.000]  不斷的供應這個寡婦和她的兒子
[00:04:07.000 --> 00:04:09.000]  生活上的需要
[00:04:09.000 --> 00:04:12.000]  而當兒子突然間死了之後
[00:04:12.000 --> 00:04:17.000]  伊利亞曾經叫他從死裡復活
[00:04:17.000 --> 00:04:19.000]  這位神的僕人
[00:04:19.000 --> 00:04:21.000]  他曾經勇敢的指責
[00:04:21.000 --> 00:04:24.000]  當時的以色列君王阿哈
[00:04:24.000 --> 00:04:27.000]  因為他帶領以色列民拜巴力
[00:04:27.000 --> 00:04:29.000]  而被神懲罰
[00:04:29.000 --> 00:04:32.000]  在以色列的境外三年多沒有下雨
[00:04:32.000 --> 00:04:35.000]  這樣的一位神的僕人
[00:04:35.000 --> 00:04:39.000]  也曾經陷在屬靈的低潮當中
[00:04:39.000 --> 00:04:41.000]  落在憂鬱之中
[00:04:41.000 --> 00:04:43.000]  我想跟大家一起去探討
[00:04:43.000 --> 00:04:45.000]  神怎樣挽回
[00:04:45.000 --> 00:04:49.000]  這位從高空到低潮的神的僕人
[00:04:49.000 --> 00:04:54.000]  怎樣再一次的讓他夢神
[00:04:54.000 --> 00:04:56.000]  喚醒和保守
[00:04:56.000 --> 00:05:00.000]  當他真正的去感受到神的恩典
[00:05:00.000 --> 00:05:03.000]  他真正的去回應聽受神的話語
[00:05:03.000 --> 00:05:05.000]  就經歷了神的醫治
[00:05:05.000 --> 00:05:08.000]  重拾為神而活的意志
[00:05:08.000 --> 00:05:11.000]  再度的受神差派
[00:05:11.000 --> 00:05:13.000]  去造成神的功
[00:05:13.000 --> 00:05:14.000]  我們開始了
[00:05:14.000 --> 00:05:15.000]  我們先一起低頭
[00:05:15.000 --> 00:05:17.000]  我們一起仰望神
[00:05:17.000 --> 00:05:19.000]  天父我們感恩有祢
