
[00:00:00.000 --> 00:00:01.800]  對很多人來說
[00:00:01.800 --> 00:00:05.400]  這兩年想哭的日子特別多
[00:00:05.400 --> 00:00:08.000]  不知道大家有沒有痛感呢
[00:00:08.000 --> 00:00:11.600]  不過要哭或者容許別人哭
[00:00:11.600 --> 00:00:14.200]  有時一點都不容易
[00:00:14.200 --> 00:00:18.400]  有一本繪本叫做《想哭的時候》
[00:00:18.400 --> 00:00:25.600]  內容提到多數的大人很害怕面對着眼淚
[00:00:25.600 --> 00:00:28.600]  如果是小朋友哭鬧的時候
[00:00:28.600 --> 00:00:33.000]  總是會叫他不要哭 不準哭
[00:00:33.000 --> 00:00:35.400]  我小時候也是這樣長大
[00:00:35.400 --> 00:00:39.200]  不過不哭有時會讓壓力無法釋放
[00:00:39.200 --> 00:00:44.200]  壞的心情反而更加難以宣洩
[00:00:44.200 --> 00:00:48.000]  其實哭對小朋友來說
[00:00:48.000 --> 00:00:52.600]  是尋求協助和安慰的方法
[00:00:52.600 --> 00:00:56.600]  父母找不到小朋友哭的原因
[00:00:56.600 --> 00:01:00.400]  專家建議不如抱小朋友
[00:01:00.400 --> 00:01:03.400]  陪着他說說話
[00:01:03.400 --> 00:01:07.400]  因爲想哭的時候沒什麼問題
[00:01:07.400 --> 00:01:09.600]  你和我都會一樣難過
[00:01:09.600 --> 00:01:13.000]  不需要將眼淚收起
[00:01:13.000 --> 00:01:16.600]  當我們覺得很難過 受不住
[00:01:16.600 --> 00:01:19.400]  想罵人 甚至想發瘋
[00:01:19.400 --> 00:01:22.600]  很想大哭一場
[00:01:22.600 --> 00:01:28.800]  其實對大人 對小朋友 對男對女都是那麼重要
[00:01:28.800 --> 00:01:33.800]  因爲每個人都有想哭的時候
[00:01:33.800 --> 00:01:37.000]  但我們實在是純純都面對
[00:01:37.000 --> 00:01:39.800]  別人叫我們不要哭
[00:01:39.800 --> 00:01:42.200]  其實我們是會哭
[00:01:42.200 --> 00:01:45.400]  別哭 其實哭了
[00:01:45.400 --> 00:01:50.000]  十幾年前 就是2008年5月12號
[00:01:50.000 --> 00:01:53.200]  四川發生了大地震
[00:01:53.200 --> 00:01:56.200]  造成接近七萬人遇難
[00:01:56.200 --> 00:02:00.400]  四十幾萬人受傷或者失去家園
[00:02:00.400 --> 00:02:03.200]  時任的國家總理溫家寶
[00:02:03.200 --> 00:02:07.800]  他一收到消息就第一時間趕去災區
[00:02:07.800 --> 00:02:11.800]  第二下午他去到一個體育場館
[00:02:11.800 --> 00:02:19.600]  安慰那些受傷和在地震裏失去親人的小朋友
[00:02:19.600 --> 00:02:25.200]  溫家寶和每一個小朋友握着手去安慰他們
[00:02:25.200 --> 00:02:28.000]  在那個場館裏本來很安靜
[00:02:28.000 --> 00:02:35.600]  但身邊一位穿黃色衣服的小女孩忍不住哭了出聲
[00:02:35.600 --> 00:02:38.800]  溫家寶見到 眼睛着煙
[00:02:38.800 --> 00:02:42.200]  握着她的手 跟她說
[00:02:42.200 --> 00:02:45.800]  我們應該將你們好好照顧
[00:02:45.800 --> 00:02:49.000]  你不要哭 你放心
[00:02:49.000 --> 00:02:52.000]  政府會照顧你們的
[00:02:52.000 --> 00:02:55.600]  會照顧你們的生活 照顧你們的學習
[00:02:55.600 --> 00:02:59.200]  你們一定會好像在家一樣
[00:02:59.200 --> 00:03:03.000]  不要哭 不要哭
[00:03:03.000 --> 00:03:05.400]  這是一場災難
[00:03:05.400 --> 00:03:07.600]  你們能夠保存下來
[00:03:07.600 --> 00:03:11.800]  記住 要好好活下去
[00:03:11.800 --> 00:03:16.800]  這一幕觸動了很多當時看報道的人
[00:03:16.800 --> 00:03:18.800]  因爲大家可以想象
[00:03:18.800 --> 00:03:23.200]  當時叫小朋友不要哭的溫總理
[00:03:23.200 --> 00:03:25.600]  其實他並非無情
[00:03:25.600 --> 00:03:29.000]  當他清晨 冒着危險
[00:03:29.000 --> 00:03:34.200]  踩着熔融爛爛的地圖
[00:03:34.200 --> 00:03:40.800]  爬到一間已經是震倒了的瓦堆裏
[00:03:40.800 --> 00:03:45.000]  他看到救援人員在這裏拯救兩個學生
[00:03:45.000 --> 00:03:49.000]  他就激動到撒下熱淚
[00:03:49.000 --> 00:03:51.800]  大聲地在瓦堆裏呼喊
[00:03:51.800 --> 00:03:54.200]  我是溫家寶爺爺
[00:03:54.200 --> 00:03:56.600]  孩子們要撐着
[00:03:56.600 --> 00:04:00.000]  一定會得救的
[00:04:00.000 --> 00:04:02.400]  他也對着那些救援人員說
[00:04:02.400 --> 00:04:04.000]  我知道消息之後
[00:04:04.000 --> 00:04:05.800]  就第一時間說來
[00:04:05.800 --> 00:04:07.200]  人命有關
[00:04:07.200 --> 00:04:10.600]  其實我的心情和大家一樣難過
[00:04:10.600 --> 00:04:12.400]  只要有一線的希望
[00:04:12.400 --> 00:04:17.000]  我們就要盡力來救人
[00:04:17.000 --> 00:04:21.800]  當溫家寶總理安慰着那些倖存小朋友
[00:04:21.800 --> 00:04:23.600]  不要哭的時候
[00:04:23.600 --> 00:04:28.200]  其實他早已哭了
[00:04:28.200 --> 00:04:31.000]  誰知道過去日子不知道什麼事情
[00:04:31.000 --> 00:04:33.200]  或者不知道什麼人
[00:04:33.200 --> 00:04:36.600]  會令你撒下淚泣
[00:04:36.600 --> 00:04:39.200]  是不是家人親友的離世
[00:04:39.200 --> 00:04:43.400]  或者是社會不幸的事件
[00:04:43.400 --> 00:04:47.600]  對着自己或者對着別人哀哭的時候
[00:04:47.600 --> 00:04:51.200]  你會叫自己或者別人別哭
[00:04:51.200 --> 00:04:55.000]  還是同哭呢
[00:04:55.000 --> 00:04:58.400]  別哭還是同哭
[00:04:58.400 --> 00:05:01.000]  我過去幾年
[00:05:01.000 --> 00:05:05.800]  有五位至親先後離世
[00:05:05.800 --> 00:05:12.200]  我當然爲他們流過無數的眼淚
[00:05:12.200 --> 00:05:13.400]  較爲早的是媽媽
[00:05:13.400 --> 00:05:16.200]  已經十年前了
[00:05:16.200 --> 00:05:23.000]  四年前四姐姐二嫂相繼離世
[00:05:23.000 --> 00:05:26.000]  去年是爸爸
[00:05:26.000 --> 00:05:28.800]  不少弟兄姊妹都曾經和我一起
[00:05:28.800 --> 00:05:32.600]  度過這些很傷痛的日子
[00:05:32.600 --> 00:05:39.000]  在靈堂上高大家不會叫我別哭
[00:05:39.000 --> 00:05:46.000]  反而默默站在身旁輕輕拍拍肩膀
[00:05:46.000 --> 00:05:52.200]  雙眼帶着眼淚和我一起哭
[00:05:52.200 --> 00:05:54.200]  不過在他們四個以外
[00:05:54.200 --> 00:05:58.400]  其實還有一個是三姐夫
[00:05:58.400 --> 00:06:02.000]  他的離世是發生在我來冥恩堂之前
[00:06:02.000 --> 00:06:04.600]  有些弟兄姊妹可能都聽過
[00:06:04.600 --> 00:06:07.400]  已經是三十多年前
[00:06:07.400 --> 00:06:12.000]  三姐夫當時只是三十歲到三十一歲
[00:06:12.000 --> 00:06:14.800]  他通宵工作之後在公司暈了
[00:06:14.800 --> 00:06:18.600]  送院後搶救無效
[00:06:18.600 --> 00:06:24.200]  留下的是三姐姐和當時就讀幼稚園的一對兒女
[00:06:24.200 --> 00:06:27.800]  消息傳來晴天霹靂
[00:06:27.800 --> 00:06:32.800]  衆人的心情很多年都沒有辦法平復
[00:06:32.800 --> 00:06:34.800]  不過三十年後
[00:06:34.800 --> 00:06:38.000]  兒女都長大了各有自己的家庭
[00:06:38.000 --> 00:06:40.600]  姐姐都有新的開始
[00:06:40.600 --> 00:06:42.800]  只不過每年的數目
[00:06:42.800 --> 00:06:49.000]  大家都沒有忘記曾經痛失這位至親
[00:06:49.000 --> 00:06:50.400]  除了家人
[00:06:50.400 --> 00:06:52.400]  作爲牧者
[00:06:52.400 --> 00:06:57.400]  我們都有不少的會友或者會友的家人離世
[00:06:57.400 --> 00:06:59.600]  我都會常提醒自己
[00:06:59.600 --> 00:07:03.800]  不需要勸他們不要哭
