
[00:00:00.000 --> 00:00:03.640]  我們講述有關主的名的時候
[00:00:03.640 --> 00:00:09.720]  領事的姊妹就好好將我們有關神的名
[00:00:09.720 --> 00:00:12.800]  都在powerpoint裏面顯示出來
[00:00:12.800 --> 00:00:16.280]  所有的名都是正面和積極的名
[00:00:16.280 --> 00:00:20.520]  因為我們知道神的名是英剛清盡的
[00:00:20.520 --> 00:00:22.800]  祂的名是帶著祝福的
[00:00:22.800 --> 00:00:23.960]  沒有奏助
[00:00:23.960 --> 00:00:27.000]  當我們講望清神的名的時候
[00:00:27.000 --> 00:00:28.640]  又是一回甚麼事呢?
[00:00:29.040 --> 00:00:31.280]  我們看另一個翻譯
[00:00:31.280 --> 00:00:33.760]  現代中文譯本就說
[00:00:33.760 --> 00:00:36.080]  不可以濫用我的名
[00:00:36.080 --> 00:00:39.200]  凡濫用我名的人
[00:00:39.200 --> 00:00:41.240]  我上主
[00:00:41.240 --> 00:00:44.960]  你的上帝一定懲罰他
[00:00:44.960 --> 00:00:50.120]  領事的姊妹的名是很清楚告訴我們
[00:00:50.120 --> 00:00:54.320]  祂是帶著一份要有的祝福
[00:00:54.320 --> 00:00:58.040]  和很積極、正面地告訴我們
[00:00:58.040 --> 00:01:00.480]  你作為神的子民我們應該怎樣跟隨
[00:01:00.480 --> 00:01:05.760]  神的名字如果大家打開《創世紀》十七章一節的時候
[00:01:05.760 --> 00:01:08.000]  當阿伯蘭改了名
[00:01:08.000 --> 00:01:09.640]  改名是有意思的
[00:01:09.640 --> 00:01:10.680]  因為多國之父
[00:01:10.680 --> 00:01:11.800]  改了名之後
[00:01:11.800 --> 00:01:13.400]  當他九十九歲的時候
[00:01:13.400 --> 00:01:15.160]  神就告訴他
[00:01:15.160 --> 00:01:19.680]  我的名是全能神的意思
[00:01:19.680 --> 00:01:21.320]  El Sadai
[00:01:21.320 --> 00:01:24.320]  全能神表示是一個甚麼的意義
[00:01:24.320 --> 00:01:26.440]  好像一個大山
[00:01:26.440 --> 00:01:28.920]  好像一個開闊的曠野
[00:01:28.920 --> 00:01:31.760]  表達的神的偉大
[00:01:31.760 --> 00:01:35.080]  祂的廣大、強大的力量
[00:01:35.080 --> 00:01:37.240]  各位姊妹
[00:01:37.240 --> 00:01:40.080]  當我們體會神的名字的意思的時候
[00:01:40.080 --> 00:01:41.520]  我們就要很清楚
[00:01:41.520 --> 00:01:42.360]  在一個處境
[00:01:42.360 --> 00:01:44.440]  為甚麼神要頒下這個誡命
[00:01:44.440 --> 00:01:48.800]  如果第一屆是要跟我們的思想搞清楚
[00:01:48.800 --> 00:01:51.520]  只有這位神是獨一真神
[00:01:51.520 --> 00:01:52.680]  不可以敬拜
[00:01:52.680 --> 00:01:55.000]  第二屆是不可以敬拜別的偶像
[00:01:55.000 --> 00:01:56.240]  搞清我們的思想
[00:01:56.720 --> 00:01:57.680]  來到第三屆
[00:01:57.680 --> 00:02:01.080]  就要告誡我們的說話
[00:02:01.080 --> 00:02:03.240]  我們網清都要出聲的
[00:02:03.240 --> 00:02:03.840]  對不對?
[00:02:03.840 --> 00:02:06.240]  神怎樣怎樣
[00:02:06.240 --> 00:02:07.640]  神要我怎樣怎樣
[00:02:07.640 --> 00:02:09.640]  我們都要出聲
[00:02:09.640 --> 00:02:12.240]  就要告誡我們的說話
[00:02:12.240 --> 00:02:14.680]  在過程裏面我們要很注意
[00:02:14.680 --> 00:02:20.320]  當時當一班的以色列民要準備進入迦南
[00:02:20.320 --> 00:02:22.360]  他們知道
[00:02:22.600 --> 00:02:26.720]  神知道他們將會面對迦南地的影響
[00:02:26.720 --> 00:02:31.240]  迦南地裏面的問題是甚麼問題呢?
[00:02:31.240 --> 00:02:33.240]  在當時
[00:02:33.240 --> 00:02:35.720]  迦南地的神底
[00:02:35.720 --> 00:02:37.120]  神底
[00:02:37.120 --> 00:02:39.800]  這個底字
[00:02:39.800 --> 00:02:40.960]  我喜歡讀底
[00:02:40.960 --> 00:02:43.000]  但是正音是讀奇的
[00:02:43.000 --> 00:02:45.440]  神奇
[00:02:45.440 --> 00:02:47.280]  OK
[00:02:47.280 --> 00:02:49.560]  俗常讀底
[00:02:49.560 --> 00:02:51.840]  因為第一次被老師教就是底
[00:02:51.840 --> 00:02:53.400]  很多人都讀底
[00:02:53.400 --> 00:02:55.320]  但是正音是奇
[00:02:55.320 --> 00:02:57.040]  但是迦南地的神奇
[00:02:57.040 --> 00:02:58.040]  大家不知道是甚麼
[00:02:58.040 --> 00:02:59.720]  所以溝通的緣故
[00:02:59.720 --> 00:03:01.120]  我們集非成是
[00:03:01.120 --> 00:03:03.120]  我喜歡讀底
