
[00:00:00.000 --> 00:00:04.360]  想同大家先睇一睇一個數字
[00:00:04.360 --> 00:00:06.440]  自從2022年
[00:00:06.440 --> 00:00:08.280]  我都係睇報章講
[00:00:08.280 --> 00:00:11.000]  好似政府已經冇好特別
[00:00:11.000 --> 00:00:15.320]  公佈香港嗰個貧窮嘅數字嘅情況
[00:00:15.320 --> 00:00:19.640]  不過依然有一間嘅NGO樂施會
[00:00:19.640 --> 00:00:22.000]  佢基本上都係定期
[00:00:22.000 --> 00:00:24.480]  隔幾年甚至好可能係每年
[00:00:24.480 --> 00:00:26.880]  呢個我都要遲下留意下
[00:00:26.880 --> 00:00:30.000]  咁即係佢啱啱喺2024年
[00:00:30.000 --> 00:00:33.080]  就再去做咗一啲嘅統計
[00:00:33.080 --> 00:00:34.160]  一啲嘅調研
[00:00:34.160 --> 00:00:38.920]  咁就發出咗香港嗰個貧窮狀況嘅報告
[00:00:38.920 --> 00:00:44.320]  其實大家好可能望住嗰幾年嘅疫情
[00:00:44.320 --> 00:00:47.320]  大概你心中都會有個估計
[00:00:47.320 --> 00:00:51.760]  如果我哋自己本身經濟就業情況
[00:00:51.760 --> 00:00:54.480]  疫情之前都幾穩健
[00:00:54.480 --> 00:00:56.880]  甚至嘩!欣欣向榮咁樣
[00:00:56.880 --> 00:00:59.160]  疫情都對我哋有影響
[00:00:59.160 --> 00:01:03.120]  更何況本身已經係生活喺
[00:01:03.120 --> 00:01:08.160]  即係收入好緊缺嘅一班基層嘅人士
[00:01:08.160 --> 00:01:10.760]  咁實質上都真係咁樣嘅
[00:01:10.760 --> 00:01:14.680]  因為從呢個調查報告去發現
[00:01:14.680 --> 00:01:18.160]  香港嗰個貧富懸殊嘅情況
[00:01:18.160 --> 00:01:20.080]  係進一步加劇
[00:01:20.080 --> 00:01:22.320]  更加多嘅長者
[00:01:22.320 --> 00:01:24.560]  呢份嘅報告係研究
[00:01:24.560 --> 00:01:28.080]  係話有長者陷喺貧窮線嘅狀況
[00:01:28.080 --> 00:01:30.720]  更加係有五成嘅增幅
[00:01:30.720 --> 00:01:34.360]  咁呢個都忍唔住都令我哋好痛心嘅
[00:01:34.360 --> 00:01:36.800]  而嗰種貧富懸殊嘅差距
[00:01:36.800 --> 00:01:38.720]  即係加劇到
[00:01:38.720 --> 00:01:40.560]  即係喺香港嘅人口裏面
[00:01:40.560 --> 00:01:43.520]  最貧窮嘅嗰十分之一嘅人
[00:01:43.520 --> 00:01:45.760]  佢嘅月入中位數
[00:01:45.760 --> 00:01:49.600]  我睇到我都以為我係咪睇錯個數字
[00:01:49.600 --> 00:01:53.360]  係1600蚊
[00:01:53.360 --> 00:01:57.040]  好可能你出去一家人食餐飯
[00:01:57.040 --> 00:01:59.280]  就係呢個嘅金額
[00:01:59.280 --> 00:02:06.000]  不過原來真係有百分之十嘅人
[00:02:06.000 --> 00:02:07.280]  一個月
[00:02:07.280 --> 00:02:13.760]  就係靠呢1600蚊嚟到去生活
[00:02:13.760 --> 00:02:17.720]  咁但係喺基層人士嗰個貧困嘅情況
[00:02:17.720 --> 00:02:20.400]  同一步加劇嘅同時
[00:02:20.400 --> 00:02:24.960]  原來最富裕嘅佢哋收入嘅增長
[00:02:24.960 --> 00:02:27.920]  居然係繼續增長緊
[00:02:27.920 --> 00:02:32.360]  我估係嗰種越嚟越極端嘅情況
[00:02:32.360 --> 00:02:34.360]  唔係喺香港
[00:02:34.360 --> 00:02:38.440]  其實喺世界其他地方
[00:02:38.440 --> 00:02:40.400]  都出現呢種嘅情況
[00:02:40.400 --> 00:02:43.120]  我唔知你一睇咁嘅情況
[00:02:43.120 --> 00:02:48.960]  你心裏面即刻出嘅一種嘅形容詞係乜嘢呢
[00:02:48.960 --> 00:02:52.280]  我忍唔住呢諗起呢段嘅經文
[00:02:52.280 --> 00:02:53.840]  喺阿摩斯書
[00:02:53.840 --> 00:02:57.440]  上帝藉著阿摩斯先知摘被以色列人
[00:02:57.440 --> 00:03:01.040]  前面嘅嗰番說話淨係話到佢哋呢
[00:03:01.040 --> 00:03:05.520]  冇顧及到喺佢哋寫群仔佢哋骨肉之親
[00:03:05.520 --> 00:03:08.040]  嗰啲呢陷喺貧窮嘅情況
[00:03:08.040 --> 00:03:12.200]  甚至呢依然係堅持繼續施予壓榨
[00:03:12.200 --> 00:03:16.360]  為咗自己人嗰個嘅好處更加大
[00:03:16.360 --> 00:03:20.400]  阿摩斯呢最後接近臨結束嘅時候
[00:03:20.400 --> 00:03:24.600]  上帝讓阿摩斯宣告咗呢句嘅說話
[00:03:24.600 --> 00:03:27.400]  為與公平如大水滾滾
[00:03:27.400 --> 00:03:31.080]  洗公義如江河滔滔
[00:03:31.080 --> 00:03:35.240]  呢個呢我估在在有唔少人
[00:03:35.240 --> 00:03:37.040]  都會同我一樣覺得
[00:03:37.040 --> 00:03:42.160]  其實呢個唔係上帝願意見到嘅情況
[00:03:42.160 --> 00:03:45.000]  甚至我哋一啲都唔過份話
[00:03:45.000 --> 00:03:51.760]  其實真係好唔公義好唔公平
[00:03:51.760 --> 00:03:54.120]  對於上帝嘅指問嚟講
[00:03:54.120 --> 00:03:58.480]  關懷輔助陷喺困苦嘅鄰舍
[00:03:58.480 --> 00:04:07.080]  我哋呢係並冇有做或者唔做嘅選擇嘅
[00:04:07.080 --> 00:04:09.560]  聖經呢由舊約至到新約
