
[00:00:00.000 --> 00:00:06.000]  請主母讓我們一同先同心禱告,預備心去聆聽主的道理。
[00:00:06.000 --> 00:00:09.000]  第一怎麼樣,我們先同心禱告。
[00:00:09.000 --> 00:00:16.000]  親愛的天父,多謝祢讓我們能夠再次打開聖經的說話,一起去學習,求主讓我們有智慧。
[00:00:16.000 --> 00:00:23.000]  當學習祢的說話的時候,也能夠不單止聽盡,而是真的成為生命的一部份。
[00:00:23.000 --> 00:00:28.000]  求祢讓我們有明白主導的認證,多謝祢。
[00:00:28.000 --> 00:00:36.000]  親愛的主,多謝祢給我們能夠有這個機會再打開祢的書,一起來到思想學習。
[00:00:36.000 --> 00:00:44.000]  求祢給我們智慧,讓我們把聽進去的真理都能夠成為我們生命的一部份,
[00:00:44.000 --> 00:00:53.000]  讓我們能夠實實在在把生命活在人的當前之時,能夠把正大活也同時活出來。
[00:00:53.000 --> 00:00:57.000]  我們禱告,弘主耶穌領受,阿們。
[00:00:58.000 --> 00:01:01.000]  教會已經有二千多年的歷史了。
[00:01:01.000 --> 00:01:03.000]  教會有二十多年的歷史了。
[00:01:03.000 --> 00:01:10.000]  在這二千多年的歷史裡面,在這二十多年裡面,甚至直到現在也好,直到現在,
[00:01:10.000 --> 00:01:17.000]  教會一直都是被包裝為一個向世界發出愛的一個群體。
[00:01:17.000 --> 00:01:21.000]  教會被包裝為向社會發出愛的群體。
[00:01:21.000 --> 00:01:28.000]  所以教會一向都被人包裝為愛的群體,因為我們的主都是愛。
[00:01:28.000 --> 00:01:32.000]  教會為什麼被包裝為愛的群體,因為我們主本身就是愛。
[00:01:32.000 --> 00:01:38.000]  有一次我跟人談道,他說教會就是一個做善心的地方。
[00:01:38.000 --> 00:01:44.000]  有一次我跟別人談道,別人說教會就是做善心的地方,最重要的就是講愛。
[00:01:44.000 --> 00:01:46.000]  最重要的就是講愛。
[00:01:46.000 --> 00:01:50.000]  我說:是喔,你誤會了教會的存在。
[00:01:50.000 --> 00:01:52.000]  你誤會了教會的存在。
[00:01:52.000 --> 00:01:55.000]  如果你今天讀完聖經,你會覺得教會有沒有愛呢?
[00:01:55.000 --> 00:01:59.000]  你要另外再思想一下,深層一點去思想一下。
[00:01:59.000 --> 00:02:05.000]  只要你今天讀完這個聖經,你再去仔細深入去思考一下,教會有沒有愛呢?
[00:02:05.000 --> 00:02:09.000]  不過無論怎樣也好,教會被人認同是一個愛的群體。
[00:02:09.000 --> 00:02:11.000]  教會被認成是一個愛的群體。
[00:02:11.000 --> 00:02:13.000]  本來不是一件什麼壞事。
[00:02:13.000 --> 00:02:15.000]  本來不是一件壞事。
[00:02:15.000 --> 00:02:19.000]  也可以這麼說,是反映出教會多年來好的見證的一面。
[00:02:19.000 --> 00:02:22.000]  也可以這麼說,是反映出教會多年來好的見證的一面。
[00:02:22.000 --> 00:02:27.000]  但是因為教會有這樣的背景,或者甚至可以說是一個包袱,
[00:02:27.000 --> 00:02:31.000]  教會有這樣的背景,或者說有這樣的一個包袱,
[00:02:31.000 --> 00:02:38.000]  這個印象也都成為了教會造成一連串屬靈的盲點所在的原因。
[00:02:38.000 --> 00:02:43.000]  就是因為這個現象造成教會一系列屬靈盲點的原因,
[00:02:43.000 --> 00:02:49.000]  使今天的教會很多時候都淪落去做一個沒有智慧的一種盲目行動。
[00:02:49.000 --> 00:02:55.000]  使今天的教會很多時候都淪落去做一個沒有智慧的一種盲目行動。
[00:02:55.000 --> 00:02:57.000]  做好事,做好事就是教會的目的了。
[00:02:57.000 --> 00:03:00.000]  做好事,做好事就是教會的目的了。
[00:03:00.000 --> 00:03:04.000]  做善事,做善事就是教會最終的侍奉。
[00:03:04.000 --> 00:03:08.000]  做善事,做善事就是教會最終的侍奉。
[00:03:08.000 --> 00:03:12.000]  當我們今天讀完提波太前書第五章三至十六節之後,
[00:03:12.000 --> 00:03:17.000]  當我們今天讀完提波太前書第五章三至十六節之後,
[00:03:17.000 --> 00:03:21.000]  我相信被我們侍奉的觀念會更加全面,
[00:03:21.000 --> 00:03:26.000]  讓我們看到侍奉的觀念應該更在前面。
[00:03:26.000 --> 00:03:28.000]  因為作者在這段聖經裏面,
[00:03:28.000 --> 00:03:31.000]  即著如何去守望寡婦這件事,
[00:03:31.000 --> 00:03:35.000]  作者透過如何守望寡婦這件事,
[00:03:35.000 --> 00:03:44.000]  要今天的教會,包括你和我,去學會如何有智慧地去行善,
[00:03:44.000 --> 00:03:52.000]  不要被所謂大法愛心這種觀念去籠絡了,
[00:03:52.000 --> 00:03:56.000]  擄掠了我們信徒原本應有的智慧,
[00:03:56.000 --> 00:04:03.000]  讓這種大法熱心去擄掠了我們的信心。
[00:04:03.000 --> 00:04:07.000]  不是信心,我們原本應有的智慧。
[00:04:07.000 --> 00:04:09.000]  我們原有的智慧。
[00:04:09.000 --> 00:04:11.000]  讓我們先一齊去看一段聖經,好不好?
[00:04:11.000 --> 00:04:13.000]  讓我們先看一段聖經。
[00:04:13.000 --> 00:04:16.000]  好,我們打開提波太前書第五章第三節,
[00:04:16.000 --> 00:04:19.000]  我們從第三節先看到第八節,好不好?
[00:04:19.000 --> 00:04:23.000]  我們先看提波太前書五章三至八節。
[00:04:23.000 --> 00:04:25.000]  在這段聖經我們先一齊讀,好嗎?
[00:04:25.000 --> 00:04:26.000]  我們一同來讀。
[00:04:26.000 --> 00:04:29.000]  看一看熟悉這段聖經想講些什麼?
[00:04:29.000 --> 00:04:31.000]  先看這段聖經想要講什麼?
[00:04:31.000 --> 00:04:32.000]  好,我們一齊讀了。
[00:04:32.000 --> 00:04:33.000]  我們一同來讀。
[00:05:03.000 --> 00:05:09.000]  但那好現來的寡婦正活著的時候也死的,
[00:05:09.000 --> 00:05:14.000]  這就是你要祝福他們,叫他們無可指責。
[00:05:14.000 --> 00:05:19.000]  人若不看護親屬,就是背了真道,
[00:05:19.000 --> 00:05:21.000]  比不信的人還不好,
[00:05:21.000 --> 00:05:26.000]  不看護自己家裡的人更是如此。
[00:05:26.000 --> 00:05:31.000]  在這段第三節到第八節,作者想講些什麼呢?
[00:05:31.000 --> 00:05:34.000]  在這段第三節到第八節,到底想講些什麼呢?
[00:05:34.000 --> 00:05:39.000]  是叫我們直著守望真寡婦這件事的學者。
[00:05:39.000 --> 00:05:43.000]  讓我們去學習如何守望真寡婦這件事。
[00:05:43.000 --> 00:05:44.000]  學習什麼呢?
[00:05:44.000 --> 00:05:50.000]  學習準確地去看到神要我們去關懷的侍奉對象是哪一群。
[00:05:50.000 --> 00:05:56.000]  誰讓我們去看真正關懷的對象是什麼?
[00:05:56.000 --> 00:05:59.000]  當然這段聖經是用寡婦,真是講寡婦的事。
[00:05:59.000 --> 00:06:02.000]  這雖然真是講寡婦的事,
[00:06:02.000 --> 00:06:06.000]  但是作者以一件事也都衍生一個原則出來。
[00:06:06.000 --> 00:06:09.000]  就是以一件事而衍生出一個原則。
