
[00:00:00.000 --> 00:00:07.000]  弟兄姊妹們,你哋孤唔孤單呀?
[00:00:07.000 --> 00:00:13.000]  孤單係一個嚴重嘅社會嘅問題
[00:00:13.000 --> 00:00:23.000]  孤單係今日嘅人嘅困苦嘅一種好重要嘅根源
[00:00:23.000 --> 00:00:31.000]  孤單亦係喺教會當中嘅一啲弟兄姊妹們係所經歷緊嘅
[00:00:31.000 --> 00:00:41.000]  面對孤單,弟兄姊妹們就諗起目者嘅關心,目者嘅輔導
[00:00:41.000 --> 00:00:52.000]  弟兄姊妹們越嚟越希望目者係能夠輔導,係能夠喺當中去關顧
[00:00:52.000 --> 00:01:03.000]  近十年教會嘅教目嘅關顧都係被睇為係專業人士嘅工作
[00:01:03.000 --> 00:01:11.000]  關顧係心理嘅治療,關顧係心理治療嘅計劃
[00:01:11.000 --> 00:01:20.000]  能夠幫助家庭,幫助婚姻,幫助人際關係去解決種種嘅問題
[00:01:20.000 --> 00:01:28.000]  關顧好多時候都係喺辦公室裏面進行嘅,都係一對一嘅
[00:01:28.000 --> 00:01:37.000]  甚至關顧者畢竟而家忘記咗關顧嘅屬靈嘅意義
[00:01:37.000 --> 00:01:43.000]  喺今日嘅早上,我想同大家一齊去思想去領受嘅就係
[00:01:43.000 --> 00:01:49.000]  關顧係有去屬靈群體嘅層面
[00:01:49.000 --> 00:01:58.000]  第一方面我想講出就係話,關顧係一個屬靈嘅團體
[00:01:58.000 --> 00:02:07.000]  第二方面我想講出嘅就係話,關顧係同祈禱息息相關嘅
[00:02:07.000 --> 00:02:16.000]  第一方面我哋要思想嘅就係關顧係靈性嘅團體
[00:02:16.000 --> 00:02:21.000]  團契呢個字有個希臘文 koinonia
[00:02:21.000 --> 00:02:25.000]  我想你哋都學識呢個希臘文 koinonia
[00:02:25.000 --> 00:02:30.000]  呢個嘅希臘文就係指相同信仰嘅人
[00:02:30.000 --> 00:02:35.000]  一齊嘅喺當中有團契嘅生活
[00:02:35.000 --> 00:02:42.000]  團契 koinonia 呢個字喺聖經當中出現咗一百一十九次
[00:02:42.000 --> 00:02:49.000]  其中嘅兩次就出現喺約翰嘅一書二至四節當中
[00:02:49.000 --> 00:02:51.000]  呢段經文係咁樣講嘅
[00:02:51.000 --> 00:03:01.000]  「這生命已經顯明出來,我哋看見了,現在又作見證
[00:03:01.000 --> 00:03:12.000]  把緣與父同在,並且向我們顯現過的那永遠的生命傳揚給你們
[00:03:12.000 --> 00:03:19.000]  我們把所見所聽見的傳揚給你們
[00:03:19.000 --> 00:03:24.000]  為要使你們也與我們有團契
[00:03:24.000 --> 00:03:34.000]  而我們的團契是與父和他兒子耶穌基督所共有的
[00:03:34.000 --> 00:03:38.000]  我們把這些事寫給你們
[00:03:38.000 --> 00:03:44.000]  使我們的喜樂可以得以滿足」
[00:03:44.000 --> 00:03:47.000]  請留意聖經咁講
[00:03:47.000 --> 00:03:54.000]  「我們把所見所聽見的傳揚給你們
[00:03:54.000 --> 00:03:59.000]  為要使你們也與我們有團契
[00:03:59.000 --> 00:04:08.000]  而我們的團契是與父和他兒子耶穌基督所共有的
[00:04:08.000 --> 00:04:18.000]  我們把這些事寫給你們,使我們的喜樂可以得以滿足」
[00:04:18.000 --> 00:04:24.000]  喺呢段經文當中,約翰宣佈他寫約翰一書嘅目的
[00:04:24.000 --> 00:04:30.000]  就係話叫教會去團契,叫教會繼續去團契
[00:04:30.000 --> 00:04:34.000]  團契係基督徒應該有嘅
