
[00:00:00.000 --> 00:00:05.760]  早晨,我想和大家先看一段聖經
[00:00:05.760 --> 00:00:10.000]  是以賽瓦書58章1至12節
[00:00:10.000 --> 00:00:13.520]  我會有powerpoint,大家可以看powerpoint
[00:00:13.520 --> 00:00:15.760]  當然,你打開聖經也方便的
[00:00:15.760 --> 00:00:22.800]  以賽瓦書58章1至12節
[00:00:22.800 --> 00:00:30.800]  這就是第一段,我會用四個段落和大家看聖經
[00:00:30.800 --> 00:00:32.800]  每一個段落之後,我才會有一個講解
[00:00:32.800 --> 00:00:38.800]  或者我們一起讀一至第三節的上半節
[00:00:38.800 --> 00:00:43.800]  你要大聲喊叫,不可止息
[00:00:43.800 --> 00:00:46.800]  揚起聲來,好將吹過
[00:00:46.800 --> 00:00:49.800]  向我百姓說明他們的過犯
[00:00:49.800 --> 00:00:53.800]  向我國家說明他們的罪惡
[00:00:53.800 --> 00:00:57.800]  他們天天尋求我,樂意明白我的道
[00:00:57.800 --> 00:01:02.800]  好將行義的國民,不離棄他們神的典章
[00:01:02.800 --> 00:01:05.800]  向我求問公義的判決
[00:01:05.800 --> 00:01:12.800]  在月神他們說,我們禁食,你為何看不見呢?
[00:01:12.800 --> 00:01:16.800]  我們刻苦記心,你為何不理會呢?
[00:01:16.800 --> 00:01:22.800]  這裡第一節說,神叫先知要大聲喊叫
[00:01:22.800 --> 00:01:26.800]  揚起聲來,還要吹過
[00:01:26.800 --> 00:01:30.800]  要讓全世界都知道甚麼事
[00:01:30.800 --> 00:01:34.800]  就是以色列百姓有過犯有罪惡
[00:01:34.800 --> 00:01:36.800]  究竟甚麼過犯,甚麼罪惡
[00:01:36.800 --> 00:01:40.800]  要揚起聲來,到處都要說,說了個罪惡呢?
[00:01:40.800 --> 00:01:45.800]  第二節這樣說,這班以色列人天天求問神
[00:01:45.800 --> 00:01:49.800]  即天天都祈禱,或者去聖殿親近神
[00:01:49.800 --> 00:01:53.800]  有多惡?他們樂意明白神的道
