
[00:00:00.000 --> 00:00:01.000]  過年
[00:00:01.000 --> 00:00:04.860]  這個是一年當中
[00:00:04.860 --> 00:00:07.820]  最心動的那個感覺是不一樣的
[00:00:07.820 --> 00:00:13.720]  想起一首唐詩
[00:00:13.720 --> 00:00:17.200]  我們這個中國人很講究唐詩
[00:00:17.200 --> 00:00:18.340]  就是
[00:00:18.340 --> 00:00:21.620]  唐朝的時候有一個做官的
[00:00:21.620 --> 00:00:24.360]  非常痛苦被貶到
[00:00:24.360 --> 00:00:27.280]  嶺南就是我們的地區
[00:00:27.280 --> 00:00:30.360]  廣東這裡 那最後他要回家鄉
[00:00:30.360 --> 00:00:33.460]  要過漢水漢江的時候呢
[00:00:33.460 --> 00:00:36.480]  就快要到家鄉了 那種心中的感動
[00:00:36.480 --> 00:00:39.400]  所以他寫了這首詩
[00:00:39.400 --> 00:00:42.280]  我們一起慢慢用
[00:00:42.280 --> 00:00:45.280]  最地道的我們的普通話來吟詩
[00:00:45.280 --> 00:00:48.320]  唐詩一首杜漢江
[00:00:48.320 --> 00:00:49.320]  來
[00:00:49.320 --> 00:00:52.560]  嶺外音書斷
[00:00:52.560 --> 00:00:55.560]  京東富麗春
[00:00:55.560 --> 00:00:58.560]  靜鄉情更怯
[00:00:58.560 --> 00:01:01.560]  不敢問來人
[00:01:01.560 --> 00:01:04.580]  很好 大家跟小學中學的同學一樣
[00:01:04.580 --> 00:01:06.320]  這麼熱心
[00:01:06.320 --> 00:01:10.880]  沒有家鄉的消息
[00:01:10.880 --> 00:01:13.880]  但是現在他又回去了 時間 冬天已經過了
[00:01:13.880 --> 00:01:16.800]  大學都過了 春天來了
[00:01:16.800 --> 00:01:19.880]  然後呢 靠近老家的時候
[00:01:19.880 --> 00:01:22.760]  心裡面反而
[00:01:23.020 --> 00:01:26.280]  有害怕的感覺 那種感情
[00:01:26.280 --> 00:01:27.280]  對吧
[00:01:27.280 --> 00:01:30.760]  他的表達就是不敢問來人
[00:01:30.760 --> 00:01:33.760]  明明講話的人是老鄉
[00:01:33.760 --> 00:01:36.760]  像我如果聽到是山東
[00:01:36.760 --> 00:01:39.760]  煙台這邊的 福山這邊的
[00:01:39.760 --> 00:01:42.760]  心裡面會感覺很不一樣的感覺
[00:01:42.760 --> 00:01:44.760]  對吧
[00:01:44.760 --> 00:01:47.760]  但是不敢問他老家在哪裡
[00:01:47.760 --> 00:01:50.760]  你認識誰嗎 某某商店的情況
[00:01:50.760 --> 00:01:53.760]  最近怎麼樣 這是回鄉的感受
[00:01:53.760 --> 00:01:56.760]  在聖經裡面
[00:01:56.760 --> 00:01:59.760]  有一個人他隔了
[00:01:59.760 --> 00:02:02.760]  20年回家鄉
[00:02:02.760 --> 00:02:05.760]  是在創世紀32章
[00:02:05.760 --> 00:02:08.760]  跟33章 作為一體
[00:02:08.760 --> 00:02:11.760]  我今天有一個難處 也請大家默默的
[00:02:11.760 --> 00:02:14.760]  為我禱告 就是兩章聖經
[00:02:14.760 --> 00:02:17.760]  我慢慢讀一下 網上也有幫你讀的
[00:02:17.760 --> 00:02:20.760]  可以聽的聖經 我看不到10分鐘
[00:02:20.760 --> 00:02:23.760]  但是把兩章濃縮在
[00:02:23.760 --> 00:02:26.760]  這樣一個時間 30多40分鐘的時間
[00:02:26.760 --> 00:02:29.760]  很困難 所以我盡量努力
[00:02:29.760 --> 00:02:32.760]  盡量很多 這個人在創世紀裡面
[00:02:32.760 --> 00:02:35.760]  很重要的一個人 名字叫雅各
[00:02:35.760 --> 00:02:38.760]  雅各他離開家鄉是逃難
[00:02:38.760 --> 00:02:41.760]  很多人離開
[00:02:41.760 --> 00:02:44.760]  老家都有原因
[00:02:44.760 --> 00:02:47.760]  他是因為在家鄉犯了重大的過錯
[00:02:47.760 --> 00:02:50.760]  熟悉聖經的人知道
[00:02:50.760 --> 00:02:53.760]  不熟悉的你以後回去再慢慢看
[00:02:53.760 --> 00:02:56.760]  他是在一個
[00:02:56.760 --> 00:02:59.760]  不美滿的家庭找到
[00:02:59.760 --> 00:03:02.760]  其實年紀大一點以後
[00:03:02.760 --> 00:03:05.760]  像我這樣 或者比我年紀更大的弟兄姐妹
[00:03:05.760 --> 00:03:08.760]  也在 你會發現很多的家庭
[00:03:08.760 --> 00:03:11.760]  都是有挑戰 有苦惱
[00:03:11.760 --> 00:03:14.760]  我們常常是看不到幸福的那一面
[00:03:14.760 --> 00:03:17.760]  不理想的那一面常常在我們心裡面
[00:03:17.760 --> 00:03:20.760]  隱藏著刺痛我們
[00:03:20.760 --> 00:03:23.760]  他爸爸愛他哥哥 媽媽偏愛他
[00:03:23.760 --> 00:03:26.760]  他們是雙胞胎 哥哥是姨嫂
[00:03:26.760 --> 00:03:29.760]  弟弟是雅各
[00:03:29.760 --> 00:03:32.760]  而雅各呢 跟他媽媽一起
[00:03:32.760 --> 00:03:35.760]  騙取了他哥哥的祝福
[00:03:35.760 --> 00:03:38.760]  今天祝福是關鍵的一個詞
[00:03:38.760 --> 00:03:41.760]  我們說祝福的人生 人生的祝福
[00:03:41.760 --> 00:03:44.760]  雅各的人生的一個關鍵詞是
[00:03:44.760 --> 00:03:47.760]  祝福 每一次祝福崇拜結束的時候
[00:03:47.760 --> 00:03:50.760]  有祝福的時間 如果你
[00:03:50.760 --> 00:03:53.760]  查經的時間 你問教會弟兄姐妹
[00:03:53.760 --> 00:03:56.760]  什麼是祝福 很少人能夠立刻回答的
[00:03:56.760 --> 00:03:59.760]  無論怎樣 雅各的人生
[00:03:59.760 --> 00:04:02.760]  騙取了祝福 哥哥知道了
[00:04:02.760 --> 00:04:05.760]  這是長子的 你竟然
[00:04:05.760 --> 00:04:08.760]  騙取了 等爸爸臨終的時候
[00:04:08.760 --> 00:04:11.760]  我要報仇 那個報仇
[00:04:11.760 --> 00:04:14.760]  就是極端的 就是我要殺死你
[00:04:14.760 --> 00:04:17.760]  而他媽媽聽到以後 就叫他快點離開
[00:04:17.760 --> 00:04:20.760]  走遠一點 去到
[00:04:20.760 --> 00:04:23.760]  他媽媽的老家 就是
[00:04:23.760 --> 00:04:26.760]  彌索波大米上游地區的哈蘭
[00:04:26.760 --> 00:04:29.760]  去到他舅舅家裡面
[00:04:29.760 --> 00:04:32.760]  他既然離下 在他舅舅家
[00:04:32.760 --> 00:04:35.760]  一住 住了20年
[00:04:35.760 --> 00:04:38.760]  20年後
[00:04:38.760 --> 00:04:41.760]  今天的經文就是 他回家鄉
[00:04:41.760 --> 00:04:44.760]  為什麼回家鄉呢 因為20年
[00:04:44.760 --> 00:04:47.760]  在舅舅家並不離鄉 既然
[00:04:47.760 --> 00:04:50.760]  離鄉 不能夠生根
[00:04:50.760 --> 00:04:53.760]  他雖然娶了妻子
[00:04:53.760 --> 00:04:56.760]  舅舅的兩個女兒嫁給他
[00:04:56.760 --> 00:04:59.760]  古代 近東 中東 也
[00:04:59.760 --> 00:05:02.760]  娶了他的十女 所以他有十一個兒子
[00:05:02.760 --> 00:05:05.760]  他也蒙神祝福他的牛羊
[00:05:05.760 --> 00:05:08.760]  因為他們是遊牧民族
[00:05:08.760 --> 00:05:11.760]  也成了一大群
[00:05:11.760 --> 00:05:14.760]  像今天來講就是 所謂的
[00:05:14.760 --> 00:05:17.760]  生意 公司 企業 非常的
[00:05:17.760 --> 00:05:20.760]  興旺 發達
[00:05:20.760 --> 00:05:23.760]  神就應許他說 你如果想家
[00:05:23.760 --> 00:05:26.760]  想你的父親的話 可以回去
[00:05:26.760 --> 00:05:29.760]  他就憑著神的應許 他就從
[00:05:29.760 --> 00:05:32.760]  彌索波大米的哈蘭
[00:05:32.760 --> 00:05:35.760]  往迦南地區 你大概看一下地圖
[00:05:35.760 --> 00:05:38.760]  就是直線
[00:05:38.760 --> 00:05:41.760]  800公里
[00:05:41.760 --> 00:05:44.760]  如果是有山路或者彎道的話
[00:05:44.760 --> 00:05:47.760]  可能更長 800公里是很長的
[00:05:47.760 --> 00:05:50.760]  你開車如果是高速公路 時速
[00:05:50.760 --> 00:05:53.760]  80公里的話 800公里是
[00:05:53.760 --> 00:05:56.760]  幾個小時
[00:05:56.760 --> 00:05:59.760]  十個小時 我在網上看了一下
[00:05:59.760 --> 00:06:02.760]  從廣東十個小時可以開到
[00:06:02.760 --> 00:06:05.760]  武漢 所以他們古代就是
[00:06:05.760 --> 00:06:08.760]  遊牧民族慢慢的走 慢慢走 他回家
[00:06:08.760 --> 00:06:11.760]  接近過約旦河的時候
[00:06:11.760 --> 00:06:14.760]  還有個支流叫亞泊河
[00:06:14.760 --> 00:06:17.760]  發生今天的事情
[00:06:17.760 --> 00:06:20.760]  就是他要面對他的過去
[00:06:20.760 --> 00:06:23.760]  痛苦的過去
[00:06:23.760 --> 00:06:26.760]  不精彩 不光彩的過去
[00:06:26.760 --> 00:06:29.760]  人犯錯
[00:06:29.760 --> 00:06:32.760]  最容易觸動傷害的人 是最親近的人
[00:06:32.760 --> 00:06:35.760]  父母 兄弟姐妹
[00:06:35.760 --> 00:06:38.760]  一般都是這樣
[00:06:38.760 --> 00:06:41.760]  夫妻
[00:06:41.760 --> 00:06:44.760]  他就打發使者
[00:06:44.760 --> 00:06:47.760]  去到下面的
[00:06:47.760 --> 00:06:50.760]  以東地
[00:06:50.760 --> 00:06:53.760]  告訴他哥哥 說弟弟
[00:06:53.760 --> 00:06:56.760]  我回來了 聖經用
[00:06:56.760 --> 00:06:59.760]  你的僕人要回老家
[00:06:59.760 --> 00:07:02.760]  要通知一下哥哥
[00:07:02.760 --> 00:07:05.760]  使者回來的時候就是這些經文
[00:07:05.760 --> 00:07:08.760]  創世紀32章6節7節
[00:07:08.760 --> 00:07:11.760]  使者回到亞哥那裡
[00:07:11.760 --> 00:07:14.760]  告訴他說 我們去報告了
[00:07:14.760 --> 00:07:17.760]  然後我們到了你哥哥
[00:07:17.760 --> 00:07:20.760]  姨嫂那裡 他正迎著你來
[00:07:20.760 --> 00:07:23.760]  並且有400人
[00:07:23.760 --> 00:07:26.760]  和他一起
[00:07:26.760 --> 00:07:29.760]  聽到這個消息以後 這是一個訊息
[00:07:29.760 --> 00:07:32.760]  沒有其他的
[00:07:32.760 --> 00:07:35.760]  立場的
[00:07:35.760 --> 00:07:38.760]  就是一個資訊 400人 你哥哥來了
[00:07:38.760 --> 00:07:41.760]  但是聖經在第7節就是說
[00:07:41.760 --> 00:07:44.760]  亞哥就很懼怕
[00:07:44.760 --> 00:07:47.760]  而且仇凡
[00:07:47.760 --> 00:07:50.760]  大家有沒有懼怕的經驗
[00:07:50.760 --> 00:07:53.760]  深刻懼怕的經驗
[00:07:53.760 --> 00:07:56.760]  懼怕可怕是他背後帶來仇凡
[00:07:56.760 --> 00:07:59.760]  焦慮
[00:07:59.760 --> 00:08:02.760]  其實400人來
[00:08:02.760 --> 00:08:05.760]  兩個可能 一個就是哥哥歡迎他
[00:08:05.760 --> 00:08:08.760]  另外一個就是哥哥報仇
[00:08:08.760 --> 00:08:11.760]  他非常
[00:08:11.760 --> 00:08:14.760]  害怕 你如果看不同的聖經翻譯
[00:08:14.760 --> 00:08:17.760]  尤其是英文聖經 說他非常害怕
[00:08:17.760 --> 00:08:20.760]  也有聖經翻譯成
[00:08:20.760 --> 00:08:23.760]  驚慌失措
[00:08:23.760 --> 00:08:26.760]  然後他就要面對
[00:08:26.760 --> 00:08:29.760]  這個處境 今天的這兩大章
[00:08:29.760 --> 00:08:32.760]  的經文 亞哥面對
[00:08:32.760 --> 00:08:35.760]  三件事情 都是因為他過去
[00:08:35.760 --> 00:08:38.760]  在沒有結婚之前
[00:08:38.760 --> 00:08:41.760]  犯下的罪
[00:08:41.760 --> 00:08:44.760]  犯下的錯誤
[00:08:44.760 --> 00:08:47.760]  纏繞著他 20年沒有解決
[00:08:47.760 --> 00:08:50.760]  那他第一要面對他的懼怕
[00:08:50.760 --> 00:08:53.760]  現在哥哥帶著400個人來了
[00:08:53.760 --> 00:08:56.760]  所以他又回到
[00:08:56.760 --> 00:08:59.760]  20年前的生活 那件事情
[00:08:59.760 --> 00:09:02.760]  隱藏在那裡 他在米索波大米
[00:09:02.760 --> 00:09:05.760]  上游 很遠的哈蘭那個地方是沒有問題的
[00:09:05.760 --> 00:09:08.760]  大家是彼此之間不會
[00:09:08.760 --> 00:09:11.760]  交織往來的
[00:09:11.760 --> 00:09:14.760]  現在怎麼辦 如果是你跟我怎麼辦
[00:09:14.760 --> 00:09:17.760]  聖經在
[00:09:17.760 --> 00:09:20.760]  這32章的第9節到12節
[00:09:20.760 --> 00:09:23.760]  就有一段很清楚的禱告
[00:09:23.760 --> 00:09:26.760]  這個禱告
[00:09:26.760 --> 00:09:29.760]  他後面說 神啊
[00:09:29.760 --> 00:09:32.760]  求你救我 但是你仔細看
[00:09:32.760 --> 00:09:35.760]  他這段禱告 禱告得很好
[00:09:35.760 --> 00:09:38.760]  可以成為我們的一個參考
[00:09:38.760 --> 00:09:41.760]  如果你也有在老家的過去
[00:09:41.760 --> 00:09:44.760]  或者是在哪裡曾經沒有解決
[00:09:44.760 --> 00:09:47.760]  使你害怕 使你仇凡 當那一個訊息
[00:09:47.760 --> 00:09:50.760]  跟你連上的時候
[00:09:50.760 --> 00:09:53.760]  你不知道要怎麼做的時候
[00:09:53.760 --> 00:09:56.760]  禱告 他的禱告
[00:09:56.760 --> 00:09:59.760]  第9節 首先當然他說
[00:09:59.760 --> 00:10:02.760]  我祖亞巴拉罕 就是他的爺爺
[00:10:02.760 --> 00:10:05.760]  我父以撒的神啊
[00:10:05.760 --> 00:10:08.760]  你曾說 回你本地本族去
[00:10:08.760 --> 00:10:11.760]  我要後代你
[00:10:11.760 --> 00:10:14.760]  然後就是下面的禱告
[00:10:14.760 --> 00:10:17.760]  第一他是抓住神對他說的話
[00:10:17.760 --> 00:10:20.760]  這是禱告最好的方法 根據神的話
[00:10:20.760 --> 00:10:23.760]  根據神的應許
[00:10:23.760 --> 00:10:26.760]  他必定成就
[00:10:26.760 --> 00:10:29.760]  然後呢 他的態度是什麼
[00:10:29.760 --> 00:10:32.760]  他是一個很聰明 曾經是很狡猾的
[00:10:32.760 --> 00:10:35.760]  而且也能在他的舊父家
[00:10:35.760 --> 00:10:39.760]  有了很成功的一大群的牛羊
[00:10:39.760 --> 00:10:42.760]  現在他很謙卑
[00:10:42.760 --> 00:10:45.760]  他想起你向僕人
[00:10:45.760 --> 00:10:48.760]  所施的一切慈愛和誠實
[00:10:48.760 --> 00:10:51.760]  或者翻譯成信使
[00:10:51.760 --> 00:10:54.760]  他說我一點也不配得
[00:10:54.760 --> 00:10:57.760]  我們在教會的時候
[00:10:57.760 --> 00:11:00.760]  讀聖經的時候 我們也承認同意
[00:11:00.760 --> 00:11:03.760]  我的一切都不配得
[00:11:03.760 --> 00:11:06.760]  但是當我們在現實生活裡面
[00:11:06.760 --> 00:11:09.760]  要爭取一些我們的權利
[00:11:09.760 --> 00:11:12.760]  我們會忘記 我們會驕傲
[00:11:12.760 --> 00:11:15.760]  他想起他當年離開家
[00:11:15.760 --> 00:11:18.760]  逃難的時候 是拿著一根拐杖
[00:11:18.760 --> 00:11:21.760]  所以他說 我先前只用我的一根杖
[00:11:21.760 --> 00:11:24.760]  過著越南河
[00:11:24.760 --> 00:11:27.760]  如今我卻成了兩對人
