
[00:00:00.000 --> 00:00:04.360]  親愛的弟兄姐妹朋友們,非常高興再次能夠進到你的家中,
[00:00:04.360 --> 00:00:08.460]  和你一同敬拜詔明我們的主,和你一同來分享神的話語。
[00:00:08.460 --> 00:00:13.920]  當我們處在患難當中的時候,我們最想聽到的不是消極負面的話,
[00:00:13.920 --> 00:00:19.620]  而是非常積極鼓勵安慰我們的好話,特別是耶穌基督的話語。
[00:00:19.620 --> 00:00:24.160]  尤其是在約翰福音第十六章三十三節,耶穌基督告訴我們說:
[00:00:24.160 --> 00:00:28.700]  「我將這些事告訴你們,是叫你們在我裏面有平安。
[00:00:28.700 --> 00:00:34.600]  在這世上你們有苦難,但你們可以放心,我已勝過了這世界。」
[00:00:34.600 --> 00:00:38.900]  我相信耶穌的話肯定給我們帶來很多的鼓勵、安慰和平安,
[00:00:38.900 --> 00:00:45.000]  但是有時候人的話,特別是醫生的話,卻會叫我們感到緊張、心裏不安。
[00:00:45.000 --> 00:00:49.860]  有一天,老江帶着他太太去做新冠病的測試。
[00:00:49.860 --> 00:00:53.400]  兩天以後,醫生就打電話來,告訴江先生說,
[00:00:53.400 --> 00:01:00.760]  「江先生,很對不起,我們把你太太測試的結果和另一個病人的結果混在一起了,
[00:01:00.760 --> 00:01:07.460]  現在我們不能確定,到底她是得了新冠狀病毒,或者是艾滋海默症。」
[00:01:07.460 --> 00:01:13.360]  江先生聽了以後,心中非常着急,就問醫生說,「那我現在該怎麼辦呢?」
[00:01:13.360 --> 00:01:20.060]  醫生就回答他說,「你帶你太太去走一條很長的路,然後特意離開她。
[00:01:20.060 --> 00:01:24.560]  如果她找到路,回到家,你就不要開門。」
[00:01:24.560 --> 00:01:27.960]  是的,耶穌基督裏面有平安。
[00:01:27.960 --> 00:01:30.760]  高等法院的人說,耶穌基督裏面有平安。
[00:01:30.760 --> 00:01:37.060]  耶穌基督裏面不但會有平安,耶穌基督也會帶給我們真正的盼望。
[00:01:37.060 --> 00:01:43.160]  因此,我們在這個患難當中,如何能夠從耶穌基督身上能夠得到真正的盼望呢?
[00:01:43.160 --> 00:01:47.860]  我們今天早上一起來分享耶穌是患難中的盼望。
[00:01:47.860 --> 00:01:53.460]  我們先來看看約翰福音第九章,第九章我們先從第一節看到第五節。
[00:01:53.460 --> 00:01:56.760]  第一節到第五節,這裏聖經裏面告訴我們說,
[00:01:56.760 --> 00:02:01.660]  耶穌過去的時候,看見有一個人生來是瞎眼的。
[00:02:01.660 --> 00:02:09.460]  門徒問耶穌說,「拉比,這人生來是瞎眼的,是誰犯了罪呢?是這人呢?是他父母呢?」
[00:02:09.460 --> 00:02:18.560]  耶穌回答說,「也不是這人犯了罪,也不是他父母犯了罪,是要在他身上顯出神的作爲來。
[00:02:18.560 --> 00:02:26.860]  趁着百日,我們必須做那猜我來者的功,黑夜將到,就沒有人能做功了。
[00:02:26.860 --> 00:02:34.360]  我在世上的時候,是世上的光。」
[00:02:34.360 --> 00:02:36.960]  這裏我們做個兩個非常重要的觀察。
[00:02:36.960 --> 00:02:42.060]  首先說,這人是生來瞎眼的。
