
[00:00:00.000 --> 00:00:04.040]  兄弟妹妹今天很開心地分享神的話語
[00:00:04.040 --> 00:00:06.120]  特別是在復活節這個時間
[00:00:06.120 --> 00:00:07.440]  我們去思想
[00:00:07.440 --> 00:00:10.120]  其實復活節對我們有什麼特別的意義呢
[00:00:10.120 --> 00:00:12.600]  或者我們可能信了很久
[00:00:12.600 --> 00:00:15.000]  或者我已經經歷了第N個復活節
[00:00:15.000 --> 00:00:17.320]  可能我們已經在經歷第37個復活節了
[00:00:17.320 --> 00:00:20.040]  那麼對我有什麼特別的意義
[00:00:20.040 --> 00:00:21.760]  或者我每一年經歷的時候
[00:00:21.760 --> 00:00:22.920]  我有沒有一些改變
[00:00:22.920 --> 00:00:24.480]  有些不同的一些反思呢
[00:00:24.480 --> 00:00:28.360]  所以今天很想去分享一些反思
[00:00:28.360 --> 00:00:30.600]  透過經文 透過不同的人
[00:00:30.600 --> 00:00:32.000]  我們去思想
[00:00:32.000 --> 00:00:34.400]  我們怎樣去回應 怎樣去行動呢
[00:00:34.400 --> 00:00:36.160]  特別是復活節這個訊息
[00:00:36.160 --> 00:00:37.200]  大家都很熟悉的
[00:00:37.200 --> 00:00:38.800]  剛才賀豐同學讀完之後
[00:00:38.800 --> 00:00:40.720]  應該再強烈多一點
[00:00:40.720 --> 00:00:44.760]  就是畫面 事件 裡面的描述
[00:00:44.760 --> 00:00:46.400]  應該多一點點
[00:00:46.400 --> 00:00:49.560]  而耶穌復活這個事蹟
[00:00:49.560 --> 00:00:51.760]  在四福音書都有記載
[00:00:51.760 --> 00:00:56.160]  四個福音書的最後都是在說復活的事
[00:00:56.160 --> 00:00:57.920]  是一個完美的結束
[00:00:57.920 --> 00:00:58.880]  或者可以這麼說
[00:00:58.880 --> 00:01:01.520]  其實整卷福音書 每一卷福音書
[00:01:01.520 --> 00:01:07.120]  說的事都是鋪排指向耶穌的壽死和復活
[00:01:07.120 --> 00:01:09.560]  所以復活節或者復活訊息
[00:01:09.560 --> 00:01:11.640]  在基督信仰裡面是很重要的
[00:01:11.640 --> 00:01:12.880]  知不知道為什麼
[00:01:12.880 --> 00:01:14.760]  因為給我們有假期
[00:01:14.760 --> 00:01:16.720]  這個是小學生的答案
[00:01:16.720 --> 00:01:18.360]  就是小學你問其中
[00:01:18.360 --> 00:01:19.840]  隨便可能都是這麼說
[00:01:19.840 --> 00:01:21.480]  因為復活節為什麼這麼重要呢
[00:01:21.480 --> 00:01:24.800]  為什麼每年重要到一個地步
[00:01:24.800 --> 00:01:26.720]  是全港一起放假
[00:01:26.720 --> 00:01:28.160]  有沒有想像到
[00:01:28.160 --> 00:01:31.520]  信仰當時這樣去設立的時候
[00:01:31.520 --> 00:01:34.360]  是一個很重要的日子
[00:01:34.360 --> 00:01:35.760]  復活節的重要
[00:01:35.760 --> 00:01:37.680]  除了可以放假是什麼呢
[00:01:37.680 --> 00:01:39.360]  我們今天就去思想
[00:01:39.360 --> 00:01:41.760]  我很想回到幾天之前
[00:01:41.760 --> 00:01:43.000]  我們先看看
[00:01:43.000 --> 00:01:43.920]  就是星期五晚
[00:01:43.920 --> 00:01:46.040]  我們有壽虎節崇拜在這個禮堂
[00:01:46.040 --> 00:01:47.280]  有誰參與了
[00:01:47.280 --> 00:01:48.600]  去揮揮手
[00:01:48.600 --> 00:01:49.160]  是有很多
[00:01:49.160 --> 00:01:50.920]  因為那一晚都很多
[00:01:50.920 --> 00:01:51.520]  很爆
[00:01:51.520 --> 00:01:52.800]  就是樓下樓上
[00:01:52.800 --> 00:01:55.400]  就是二三樓都坐得很悶
[00:01:55.400 --> 00:01:58.040]  在這個壽虎節崇拜裡面
[00:01:58.040 --> 00:01:59.440]  很感動
[00:01:59.440 --> 00:02:00.680]  我也覺得有很多經歷
[00:02:00.680 --> 00:02:02.120]  就是透過十價七言
[00:02:02.120 --> 00:02:04.840]  耶穌在十字架的最後的說話
[00:02:04.840 --> 00:02:07.880]  讓我們去感受耶穌的感受
[00:02:07.880 --> 00:02:09.840]  同樣有分享到
[00:02:09.840 --> 00:02:11.720]  我們從前可能與神為敵
[00:02:11.720 --> 00:02:13.920]  但是如何透過復活的信息
[00:02:13.920 --> 00:02:15.160]  透過耶穌的壽虎
[00:02:15.160 --> 00:02:17.800]  我們能夠與神去和好
[00:02:17.800 --> 00:02:19.560]  所以這個信息
[00:02:19.560 --> 00:02:20.400]  我們今天的信息
[00:02:20.400 --> 00:02:22.680]  都是承接著壽虎節的信息
