
[00:00:00.000 --> 00:00:04.900]  各位聽眾早晨,今天宣講的經文是《約翰福音》第一章
[00:00:04.900 --> 00:00:08.980]  很多時候我們跟一些新朋友查聖經都從《約翰福音》開始
[00:00:08.980 --> 00:00:13.520]  因為《約翰福音》是一個很普世一卷的福音
[00:00:13.520 --> 00:00:17.260]  因為聖經作者有不同的對象,心目中的對象
[00:00:17.260 --> 00:00:19.420]  寫給不同的人,譬如《馬太福音》
[00:00:19.420 --> 00:00:21.720]  他寫的時候很想寫給猶太人
[00:00:21.720 --> 00:00:25.020]  所以很多猶太的字眼,一些背景
[00:00:25.020 --> 00:00:27.680]  他寫出來,他不會詳細解釋
[00:00:27.680 --> 00:00:32.260]  但假設這些猶太讀者明白這些猶太的背景
[00:00:32.260 --> 00:00:38.480]  過往歷史所發生的事情,一些文化的事情他會了解
[00:00:38.480 --> 00:00:42.360]  但約翰他想寫給全世界的人聽
[00:00:42.360 --> 00:00:49.140]  特別當時羅馬統治,希臘哲學思想盛行
[00:00:49.140 --> 00:00:52.200]  大部分人都明白一些希臘哲學
[00:00:52.200 --> 00:00:55.180]  今天我們讀哲學,可能也要讀一下希臘哲學
[00:00:55.180 --> 00:00:56.920]  但當時很盛行
[00:00:56.920 --> 00:00:59.920]  譬如今天講到的光和暗
[00:00:59.920 --> 00:01:03.000]  或者約翰福音一開始就講到道
[00:01:03.000 --> 00:01:06.000]  這種太初有道,道與神同在
[00:01:06.000 --> 00:01:08.900]  當時的Logos這個字眼
[00:01:08.900 --> 00:01:12.240]  希臘的思想是一個最有智慧的東西
[00:01:12.240 --> 00:01:17.500]  最能夠在人生中應用,最聰明,最有智慧
[00:01:17.500 --> 00:01:22.040]  約翰用了這個字眼去講約翰福音的開始
[00:01:22.040 --> 00:01:27.600]  故此當時這些理念,將光和黑暗的對比
[00:01:27.600 --> 00:01:31.900]  也是二元世界中一個很容易掌握到
[00:01:31.900 --> 00:01:34.660]  不是光就是暗,不是好就是壞
[00:01:34.660 --> 00:01:37.140]  這種強烈的對比
[00:01:37.140 --> 00:01:40.300]  今天宣講的經文就在
[00:01:40.300 --> 00:01:45.580]  用了幾節,當門徒約翰講到施浸約翰說
[00:01:45.580 --> 00:01:48.080]  這個是真光,我不是那個真光
[00:01:48.080 --> 00:01:51.960]  不要誤會我,因為當時施浸約翰有一定的明星
[00:01:51.960 --> 00:01:54.460]  大家知道他講道也很有能力
[00:01:54.460 --> 00:02:00.200]  穿著很奇怪的裝束,飲食習慣也很不同
[00:02:00.200 --> 00:02:05.020]  有些人說這個人很有能力,很多人悔改接受他的浸禮
[00:02:05.020 --> 00:02:08.760]  他是不是就是要來的尼塞亞呢?是不是那個真光呢?
[00:02:08.760 --> 00:02:12.900]  但是施浸約翰說不是,我不是那個真光
[00:02:12.900 --> 00:02:16.300]  這個才是,耶穌基督才是這個真光
[00:02:16.300 --> 00:02:18.380]  所以他為他作見證
[00:02:18.380 --> 00:02:22.040]  在經文的一章六字有八節這樣講
[00:02:22.040 --> 00:02:27.140]  有一個人是從神那裡猜來的,名叫約翰,施浸約翰
[00:02:27.140 --> 00:02:31.560]  這個人是要作見證,就是為光作見證
[00:02:31.560 --> 00:02:35.740]  叫眾人因為他可以信他不是那個光
[00:02:35.740 --> 00:02:39.140]  但是要為光作見證,剛才我讀了
[00:02:39.140 --> 00:02:41.720]  施浸約翰要為光作見證
[00:02:41.720 --> 00:02:45.840]  這個光,這個真光就是耶穌基督
[00:02:45.840 --> 00:02:50.380]  故此我們在,剛才讀了這幾節的經文
[00:02:50.380 --> 00:02:56.080]  我們來到,就是講到這個真光
[00:02:56.080 --> 00:03:00.500]  其實這個光和舊約的背景有很多的相連性
[00:03:00.500 --> 00:03:03.980]  這個光當然在希臘的思想裡面有一定的理解
[00:03:03.980 --> 00:03:08.540]  但是在猶太人的思想裡面,從創世紀一開始就講到光
[00:03:08.540 --> 00:03:11.200]  如果大家知道六日裡面提到光
[00:03:11.200 --> 00:03:17.280]  原本是冤冤黑暗,在一個好像很模糊的境界裡面
[00:03:17.280 --> 00:03:24.440]  神就創造光,讓光去分辨了日頭和夜晚,照亮黑暗
[00:03:24.440 --> 00:03:28.020]  我們知道凡是有光到的地方,黑暗就沒有了
[00:03:28.020 --> 00:03:33.100]  無論那個光有多微弱,多小,你就見到光,就沒有了黑暗
[00:03:33.100 --> 00:03:38.400]  所以神創造的時候,就有光去照明黑暗
[00:03:38.400 --> 00:03:42.480]  在昔日這些遠古的時代,大家都明白
[00:03:42.480 --> 00:03:45.640]  沒有我們這麼方便,這麼多電力的能源
[00:03:45.640 --> 00:03:48.720]  沒有智能電話開得很光
[00:03:48.720 --> 00:03:52.160]  以前沒有什麼光,這些自然光是很重要的
[00:03:52.160 --> 00:03:56.480]  無論日頭夜晚,你想像沒有太陽,沒有月亮的反照
[00:03:56.480 --> 00:04:01.400]  沒有星星的照亮,就會有漆黑,是走不了路,會跌倒
[00:04:01.400 --> 00:04:06.200]  所以在舊約裡面,同樣用了這個光去形容
[00:04:06.200 --> 00:04:09.600]  神要照耀,譬如以徐雅書九章二節說
[00:04:09.600 --> 00:04:13.160]  在黑暗中行走的百姓看見要帶光
[00:04:13.160 --> 00:04:16.720]  住在死暗之地的人有光照耀他們
[00:04:16.720 --> 00:04:19.280]  這裡說黑暗中行走
[00:04:19.280 --> 00:04:22.520]  當我們明白聖經用語有時是一語相關
[00:04:22.520 --> 00:04:27.040]  一方面講到這些光,但另一方面講到人生那種黑暗
[00:04:27.040 --> 00:04:29.560]  在信仰歷程都有很多黑暗面
[00:04:29.560 --> 00:04:33.320]  在以色列的歷史裡面,都有很多黑暗的時期
[00:04:33.320 --> 00:04:37.000]  我們這樣說,一方面神從來沒有離開過他們
[00:04:37.000 --> 00:04:41.320]  但他們都有很多黑暗的日子,走在罪惡的裡面
