
[00:00:00.000 --> 00:00:03.000]  各位頂節會平安
[00:00:03.000 --> 00:00:07.000]  很開心回到北村家大家一起崇拜
[00:00:07.000 --> 00:00:10.000]  我們非常感恩可以大家一起
[00:00:10.000 --> 00:00:13.000]  在神的殿當中可以尊心
[00:00:13.000 --> 00:00:15.000]  可以同心一起敬拜
[00:00:15.000 --> 00:00:17.000]  是新的恩殿
[00:00:17.000 --> 00:00:20.000]  我也特別感謝神給我有健康
[00:00:20.000 --> 00:00:24.000]  可以再繼續在教會裏面有廣度的服侍
[00:00:24.000 --> 00:00:26.000]  我也特別要來向頂節會
[00:00:26.000 --> 00:00:29.000]  曾經在過去我做手術的時間
[00:00:29.000 --> 00:00:30.000]  一直為我祈禱
[00:00:30.000 --> 00:00:31.000]  我很感謝神
[00:00:31.000 --> 00:00:33.000]  好幾次在不同場合
[00:00:33.000 --> 00:00:35.000]  碰到頂節會的時候
[00:00:35.000 --> 00:00:37.000]  他們都告訴我
[00:00:37.000 --> 00:00:39.000]  我一直為你祈禱
[00:00:39.000 --> 00:00:41.000]  有些告訴我他們的團契
[00:00:41.000 --> 00:00:43.000]  頂節會是每一天
[00:00:43.000 --> 00:00:45.000]  由早到晚
[00:00:45.000 --> 00:00:47.000]  大家輪值迎領時間
[00:00:47.000 --> 00:00:50.000]  一直為我持續祈禱
[00:00:50.000 --> 00:00:51.000]  我知道很感動
[00:00:51.000 --> 00:00:55.000]  我知道是頂節會真的愛護我
[00:00:55.000 --> 00:00:57.000]  來為我代禱
[00:00:57.000 --> 00:00:59.000]  而今天我感覺我又回到健康
[00:00:59.000 --> 00:01:03.000]  可以再一次服侍
[00:01:03.000 --> 00:01:05.000]  是因為你們代禱的緣故
[00:01:05.000 --> 00:01:07.000]  所以我也趁這個機會
[00:01:07.000 --> 00:01:09.000]  來向頂節會表達感謝
[00:01:09.000 --> 00:01:12.000]  多謝你們對我的關心
[00:01:12.000 --> 00:01:13.000]  也在這個時候
[00:01:13.000 --> 00:01:14.000]  我也感謝神
[00:01:14.000 --> 00:01:17.000]  神給我們這段時間一起看全道書
[00:01:17.000 --> 00:01:19.000]  正是在這段香港
