
[00:00:00.000 --> 00:00:02.000]  在以後幾年裏面
[00:00:02.000 --> 00:00:05.000]  有第四種治療癌的方法
[00:00:05.000 --> 00:00:07.000]  叫做immunotherapy
[00:00:07.000 --> 00:00:10.000]  美國前任總統Jimmy Carter
[00:00:10.000 --> 00:00:13.000]  已經成功地被治療好
[00:00:13.000 --> 00:00:15.000]  現在是cancer free
[00:00:15.000 --> 00:00:17.000]  但這個experimental stage
[00:00:17.000 --> 00:00:19.000]  還有幾年呢
[00:00:19.000 --> 00:00:21.000]  今年2018年的醫學諾貝爾獎
[00:00:21.000 --> 00:00:23.000]  今天落在這個科學家
[00:00:23.000 --> 00:00:25.000]  在Houston Texas的手裏
[00:00:25.000 --> 00:00:27.000]  和另外一個日本的科學家
[00:00:27.000 --> 00:00:29.000]  他發現了一些東西
[00:00:29.000 --> 00:00:32.000]  我叫做supernatural intelligence
[00:00:32.000 --> 00:00:34.000]  在以後這幾年有得驗
[00:00:34.000 --> 00:00:36.000]  you don't have to wait for long time
[00:00:36.000 --> 00:00:39.000]  今天和大家分享這個題目
[00:00:39.000 --> 00:00:43.000]  就是三位一體的奧秘
[00:00:43.000 --> 00:00:46.000]  我想這個題目想了二十多年
[00:00:46.000 --> 00:00:49.000]  我想不通
[00:00:49.000 --> 00:00:51.000]  一個神
[00:00:51.000 --> 00:00:52.000]  但他用眾數
[00:00:52.000 --> 00:00:54.000]  用我們按著我們的形象
[00:00:54.000 --> 00:00:57.000]  我們的樣式來做人
[00:00:57.000 --> 00:00:59.000]  一個神怎麼會用我們這個字呢
[00:00:59.000 --> 00:01:01.000]  猶太人都不知道
[00:01:01.000 --> 00:01:03.000]  我在這裏祈禱
[00:01:03.000 --> 00:01:05.000]  在這裏尋找
[00:01:05.000 --> 00:01:06.000]  但又沒有書講這些東西
[00:01:06.000 --> 00:01:07.000]  我們有些老友
[00:01:07.000 --> 00:01:08.000]  神學家
[00:01:08.000 --> 00:01:09.000]  神學院院長
[00:01:09.000 --> 00:01:10.000]  副院長
[00:01:10.000 --> 00:01:11.000]  我就問他什麼叫三位一體
[00:01:11.000 --> 00:01:14.000]  他說三位一體就好像水一樣
[00:01:14.000 --> 00:01:16.000]  有固體
[00:01:16.000 --> 00:01:17.000]  有液體
[00:01:17.000 --> 00:01:18.000]  有氣體
[00:01:18.000 --> 00:01:19.000]  不是只是水
[00:01:19.000 --> 00:01:20.000]  黃金都可以
[00:01:20.000 --> 00:01:22.000]  黃金你溶了它就變成液體
[00:01:22.000 --> 00:01:24.000]  再加熱它就變成氣體
[00:01:24.000 --> 00:01:25.000]  樣樣東西都有這三個stage
[00:01:25.000 --> 00:01:26.000]  except二氧化碳
[00:01:26.000 --> 00:01:27.000]  二氧化碳是沒有液體的
[00:01:27.000 --> 00:01:29.000]  所以他們叫乾冰
[00:01:29.000 --> 00:01:32.000]  二氧化碳由冰直接變成二氧化碳氣體
[00:01:32.000 --> 00:01:34.000]  大多數element都可以這樣
[00:01:34.000 --> 00:01:36.000]  你這樣來形容神
[00:01:36.000 --> 00:01:37.000]  過不到我的關
[00:01:37.000 --> 00:01:38.000]  我的關就是
[00:01:38.000 --> 00:01:40.000]  凡是未造之物
[00:01:40.000 --> 00:01:43.000]  無一樣是有這個attribute
[00:01:43.000 --> 00:01:45.000]  有上帝的attribute
[00:01:45.000 --> 00:01:47.000]  我們不懂那怎麼辦呢
[00:01:47.000 --> 00:01:48.000]  我有另一個model
[00:01:48.000 --> 00:01:50.000]  聖經裏面有七個奧秘
[00:01:50.000 --> 00:01:53.000]  大多數都是保羅講的
[00:01:53.000 --> 00:01:54.000]  七個奧秘
[00:01:54.000 --> 00:01:57.000]  我曾經有些奧秘在教會裏面講過
[00:01:57.000 --> 00:02:00.000]  譬如基督在奧秘我未講過
[00:02:00.000 --> 00:02:05.000]  最難講的就是第一個奧秘
[00:02:05.000 --> 00:02:06.000]  今天講這個題目
[00:02:06.000 --> 00:02:08.000]  什麼叫三位一體的真神呢
[00:02:08.000 --> 00:02:10.000]  不單止神學家
[00:02:10.000 --> 00:02:11.000]  神學院院長說
