
[00:00:00.000 --> 00:00:02.000]  好,大英之會晚安
[00:00:02.000 --> 00:00:05.000]  好了,今天我的講題是
[00:00:05.000 --> 00:00:07.000]  「認清真道,慎防異端」
[00:00:07.000 --> 00:00:11.000]  看似這個題目好像很嚴肅
[00:00:11.000 --> 00:00:13.000]  其實這個講題也是很嚴肅的
[00:00:13.000 --> 00:00:19.000]  因為今天給的提醒我們的事實
[00:00:19.000 --> 00:00:24.000]  其實都是需要我們去打醒十二分精神去關注的
[00:00:24.000 --> 00:00:28.000]  好了,我們先去讀一讀這幾節的經文
[00:00:31.000 --> 00:00:34.000]  好,我們一起重讀,預備
[00:00:34.000 --> 00:00:39.000]  事實上,我們從前把我們主耶穌基督的大能
[00:00:39.000 --> 00:00:43.000]  和他來臨的事告訴你們
[00:00:43.000 --> 00:00:48.000]  並不是服從精心編造的無稽傳說
[00:00:48.000 --> 00:00:52.000]  相反,我們就是他威榮的見證人
[00:00:52.000 --> 00:00:59.000]  因為他從父神那裡接受尊貴榮耀的時候
[00:00:59.000 --> 00:01:05.000]  從極威榮的榮耀中有這樣的聲音發出來
[00:01:05.000 --> 00:01:11.000]  對他說,這是我的愛子,我喜愛他
[00:01:11.000 --> 00:01:17.000]  這從天上發出來的聲音,我們也親耳聽見了
[00:01:17.000 --> 00:01:22.000]  當時我們跟他一起在聖山上
[00:01:22.000 --> 00:01:26.000]  而且我們有更確鑿的東西
[00:01:26.000 --> 00:01:32.000]  就是先知的華,你們無要留心先知的華
[00:01:32.000 --> 00:01:37.000]  好像留心在黑暗處發亮的燈一樣
[00:01:37.000 --> 00:01:43.000]  直到天亮神聖在你們心中升起的時候
[00:01:43.000 --> 00:01:49.000]  最重要的,你們要知道聖經所有的預言
[00:01:49.000 --> 00:01:53.000]  都不是先知自己的見解
[00:01:53.000 --> 00:01:59.000]  因為預言從來都不是按人的心意發出來的
[00:01:59.000 --> 00:02:03.000]  相反,這是人被聖靈感動
[00:02:03.000 --> 00:02:08.000]  從神那裡得著信息而說出來的
[00:02:08.000 --> 00:02:14.000]  不過,從前有假先知在民眾中間出現
[00:02:14.000 --> 00:02:19.000]  同樣,你們中間也將會有假教師
[00:02:19.000 --> 00:02:24.000]  他們會暗中引進使人滅亡的學說
[00:02:24.000 --> 00:02:28.000]  甚至否認買屬他們的主
[00:02:28.000 --> 00:02:31.000]  使自己迅速滅亡
[00:02:31.000 --> 00:02:36.000]  許多人會隨從他們淫蕩的行為
[00:02:36.000 --> 00:02:43.000]  於是真理的道路就因為他們的緣故而遭到毀謗
[00:02:43.000 --> 00:02:50.000]  他們因為貪婪就用虛構的話在你們身上打主意
[00:02:50.000 --> 00:02:56.000]  對他們的審判自古以來未曾放寬
[00:02:56.000 --> 00:02:59.000]  他們的滅亡也必然來臨
[00:02:59.000 --> 00:03:03.000]  這幾節的經文,其實也很多字的經文
[00:03:03.000 --> 00:03:08.000]  一章十六節到二十一節,然後二章一到三節
[00:03:08.000 --> 00:03:13.000]  其實在當中,我們好像每個字都很熟悉
[00:03:13.000 --> 00:03:16.000]  但是原來一邊分解下去的時候
[00:03:16.000 --> 00:03:20.000]  我們要拿回的重點都是有點難度的
[00:03:20.000 --> 00:03:22.000]  正如今天我給的講題
[00:03:22.000 --> 00:03:26.000]  為什麼好像很認真,其實也不是的
[00:03:26.000 --> 00:03:30.000]  因為這就是我們今天彼得要跟我們說的
[00:03:30.000 --> 00:03:33.000]  我們基督教的一個核心信仰
[00:03:33.000 --> 00:03:35.000]  所以是很重要的
[00:03:35.000 --> 00:03:38.000]  好了,我給的題目其實在整段的經文裡面
[00:03:38.000 --> 00:03:41.000]  分開了兩節,這兩節裡面就告訴我們
[00:03:41.000 --> 00:03:47.000]  認清真道其實就是一章十六節到二十一節
[00:03:47.000 --> 00:03:51.000]  而慎防異端,又或者叫學說
[00:03:51.000 --> 00:03:54.000]  剛才讀的版本叫學說
[00:03:54.000 --> 00:03:56.000]  異端就是和合本的版本
[00:03:56.000 --> 00:03:59.000]  彼得厚書二章一到三節裡面
[00:03:59.000 --> 00:04:06.000]  告訴我們,作者其實在當中,我再分細一點的段落
[00:04:06.000 --> 00:04:10.000]  其實分細一點的段落,讓我們看得更加的清楚
[00:04:10.000 --> 00:04:14.000]  一會兒我再去解釋為什麼我這樣分段的時候
[00:04:14.000 --> 00:04:16.000]  你會更加的明白
[00:04:16.000 --> 00:04:18.000]  我們先看一下今天我的分段是怎樣的
[00:04:18.000 --> 00:04:22.000]  第一個部分就是認清真理的部分
[00:04:22.000 --> 00:04:24.000]  十六節到二十一節
[00:04:24.000 --> 00:04:28.000]  作者彼得在要信徒去認清一個真理
[00:04:28.000 --> 00:04:30.000]  真理是什麼呢?
[00:04:30.000 --> 00:04:34.000]  就是關乎主耶穌基督再來的事實
[00:04:34.000 --> 00:04:36.000]  在十六到十九節裡面
[00:04:36.000 --> 00:04:40.000]  彼得其實提出了一個雙重的見證
[00:04:40.000 --> 00:04:46.000]  包括新約的使徒的見證和舊約先知的見證
[00:04:46.000 --> 00:04:48.000]  如果我再細分一點的時候
[00:04:48.000 --> 00:04:50.000]  我們看到A和B
[00:04:50.000 --> 00:04:53.000]  分別就在十六節和十八節
[00:04:53.000 --> 00:04:57.000]  和第十九節裡面說到先知的見證
[00:04:57.000 --> 00:04:59.000]  而第二十節和二十一節
[00:04:59.000 --> 00:05:06.000]  其實是彼得要解釋那個預言的權威性的
[00:05:06.000 --> 00:05:10.000]  因為預言是來自哪裡是很重要的
[00:05:10.000 --> 00:05:14.000]  好了,最後就是神房異端
[00:05:14.000 --> 00:05:17.000]  就是第二章一到三節那裡
[00:05:17.000 --> 00:05:21.000]  告訴我們有假先知和假教師的學說
[00:05:21.000 --> 00:05:25.000]  在當中出現了
[00:05:25.000 --> 00:05:30.000]  這個表對我們分析整段經文其實尤為重要
[00:05:30.000 --> 00:05:31.000]  為什麼呢?
[00:05:31.000 --> 00:05:33.000]  如果我們不去留心去看的時候
