
[00:00:00.000 --> 00:00:02.920]  歡迎大家來到我們的「周六崇拜」
[00:00:02.920 --> 00:00:08.140]  過半月之前我們開始做一個新的講道系列
[00:00:08.140 --> 00:00:10.780]  耶穌基督的主禱文
[00:00:10.780 --> 00:00:15.320]  主禱文可以在聖經的哪裏找到呢?
[00:00:15.320 --> 00:00:20.160]  可以在聖經的《馬太福音》第六章裏找到
[00:00:20.160 --> 00:00:26.660]  《馬太福音》第六章是關於禱告和生命的一段經文
[00:00:26.660 --> 00:00:31.960]  我們可以用三點來總結《馬太福音》第六章的訊息
[00:00:31.960 --> 00:00:34.560]  有兩點是負面的
[00:00:34.560 --> 00:00:36.560]  一點是正面的
[00:00:36.560 --> 00:00:38.640]  兩點負面是這樣說
[00:00:38.640 --> 00:00:44.760]  不要像假冒為善的人這樣去禱告和生活
[00:00:44.760 --> 00:00:50.160]  不要像外邦人般禱告生活
[00:00:50.160 --> 00:00:56.200]  正面的是要像天父兒女這樣去禱告
[00:00:56.560 --> 00:01:03.280]  於是耶穌用主禱文作為整個《馬太福音》第六章的中心
[00:01:03.280 --> 00:01:07.080]  教導我們應該如何去禱告
[00:01:07.080 --> 00:01:08.760]  如何去生活
[00:01:08.760 --> 00:01:11.200]  天父兒女的禱告
[00:01:11.200 --> 00:01:13.600]  天父兒女的生命
[00:01:13.600 --> 00:01:17.120]  我們可以將它更加圖像化地表達
[00:01:17.120 --> 00:01:19.080]  三種禱告
[00:01:19.080 --> 00:01:20.200]  兩種生命
[00:01:20.200 --> 00:01:22.760]  不要好像假冒為善的人
[00:01:22.760 --> 00:01:26.600]  他們追求的是自己的義
[00:01:26.600 --> 00:01:29.960]  而當他們驕傲在上帝面前
[00:01:29.960 --> 00:01:31.600]  看不見自己的罪的時候
[00:01:31.600 --> 00:01:36.600]  他們失去了上帝在暗中為他們預備的神秘禮物
[00:01:36.600 --> 00:01:38.520]  上帝的義
[00:01:38.520 --> 00:01:42.880]  不要像那些外邦人那樣禱告
[00:01:42.880 --> 00:01:46.680]  他們的禱告是為著世上的財寶
[00:01:46.680 --> 00:01:47.960]  他們的禱告
[00:01:47.960 --> 00:01:52.320]  他們的生命充滿著對生命的憂慮
[00:01:52.800 --> 00:01:56.640]  這都是外邦人所求的
[00:01:56.640 --> 00:01:57.640]  耶穌說
[00:01:57.640 --> 00:02:00.920]  你不要像他們這樣求
[00:02:00.920 --> 00:02:02.520]  於是耶穌教導我們
[00:02:02.520 --> 00:02:05.720]  單單要追求上帝的國
[00:02:05.720 --> 00:02:08.080]  和上帝的義
[00:02:08.080 --> 00:02:12.040]  我們很想通過主禱文這個系列去建立
[00:02:12.040 --> 00:02:18.920]  或者甚至是重建一個合乎聖經的禱告生活
[00:02:18.920 --> 00:02:20.920]  我們每一個人都禱告
[00:02:20.920 --> 00:02:22.280]  有些人禱告得很多
[00:02:22.280 --> 00:02:23.640]  有些人禱告得很少
[00:02:23.640 --> 00:02:25.240]  但是每一個人
[00:02:25.240 --> 00:02:27.520]  你若果走進這間教會
[00:02:27.520 --> 00:02:30.360]  你都會有少許禱告的生活
[00:02:30.360 --> 00:02:34.240]  但是問題不是禱告多少這麼簡單
[00:02:34.240 --> 00:02:38.360]  而是究竟我們為甚麼去禱告
[00:02:38.360 --> 00:02:40.000]  我們很希望在這個系列裏面
[00:02:40.000 --> 00:02:41.320]  每一篇道裏面
[00:02:41.320 --> 00:02:44.600]  我們都得到一個核心的應用
[00:02:44.600 --> 00:02:47.440]  學習一個新的禱告方向
[00:02:47.440 --> 00:02:52.600]  於是一層一層地去建立我們禱告的人生
[00:02:52.600 --> 00:02:55.400]  如果你記得我們一開始的時候
[00:02:55.400 --> 00:02:58.000]  當我們未進入主禱文的時候
[00:02:58.000 --> 00:03:00.760]  我們有兩篇道是說
[00:03:00.760 --> 00:03:03.120]  請開我們禱告的眼睛
[00:03:03.120 --> 00:03:07.320]  去看一下馬太福音第六章的上下文
[00:03:07.320 --> 00:03:08.760]  在那兩篇道裏面
[00:03:08.760 --> 00:03:12.000]  我們得到兩個核心的應用
[00:03:12.000 --> 00:03:13.080]  核心的禱告
[00:03:13.080 --> 00:03:13.880]  是甚麼
[00:03:13.880 --> 00:03:17.280]  是「開恩我者罪人」
[00:03:17.280 --> 00:03:20.480]  這個是整個基督徒人生的核心
[00:03:20.480 --> 00:03:23.640]  請開恩憐憫我這個罪人
[00:03:23.640 --> 00:03:28.280]  第二是求好我們不再求地上的事
[00:03:28.280 --> 00:03:30.680]  而祈求天上的事
[00:03:30.680 --> 00:03:32.480]  祈求我們的財寶
[00:03:32.480 --> 00:03:33.840]  我們的新心靈
[00:03:33.840 --> 00:03:36.880]  完全投入在上帝的國裏面
[00:03:36.880 --> 00:03:38.520]  追求上帝的義
[00:03:38.520 --> 00:03:40.560]  追求上帝的國
[00:03:40.560 --> 00:03:42.640]  接著我們開始讀
[00:03:42.640 --> 00:03:44.840]  「我們在天上的父」
[00:03:44.840 --> 00:03:47.560]  或者是「我們的父在天上」
[00:03:47.560 --> 00:03:49.400]  我們用了兩篇道
[00:03:49.400 --> 00:03:51.440]  五幅的圖畫
