
[00:00:00.000 --> 00:00:08.000]  我們現在是十月中,2021年很快就會過去了
[00:00:08.000 --> 00:00:13.000]  其實由這個年頭開始,我們銅鑼灣堂一班的目者
[00:00:13.000 --> 00:00:18.000]  我們會用馬太福音和大家分享天國的訊息
[00:00:18.000 --> 00:00:24.000]  馬太福音有28章,今天我們已經講到第24章了
[00:00:24.000 --> 00:00:27.000]  已經差不多進入尾聲
[00:00:27.000 --> 00:00:30.000]  我們看看第23章是講什麼呢?
[00:00:30.000 --> 00:00:35.000]  第23章是講到耶穌在上十字架之前
[00:00:35.000 --> 00:00:38.000]  最後一次進入耶路撒冷
[00:00:38.000 --> 00:00:42.000]  在聖殿裡面向群眾去教導
[00:00:42.000 --> 00:00:49.000]  當中其實他嚴厲地記錄了一班當時的法利賽人和文士
[00:00:49.000 --> 00:00:53.000]  耶穌說他們假冒為善
[00:00:53.000 --> 00:00:56.000]  並且去形容他們是一班什麼人呢?
[00:00:56.000 --> 00:00:59.000]  是一班能說不能行的人
[00:00:59.000 --> 00:01:06.000]  23章之後到24章就講到耶穌和門徒離開聖殿
[00:01:06.000 --> 00:01:09.000]  然後去上橄欖山
[00:01:09.000 --> 00:01:12.000]  在當中一番對話
[00:01:12.000 --> 00:01:16.000]  而在當中耶穌講了一個很重要的訊息
[00:01:16.000 --> 00:01:19.000]  這個訊息不單止對當時的門徒很重要
[00:01:19.000 --> 00:01:22.000]  我相信對我們今天也是非常重要
[00:01:22.000 --> 00:01:26.000]  有聖經學者甚至說這一章的聖經
[00:01:26.000 --> 00:01:33.000]  可能是聖經裡面其中一章最難明白的經文
[00:01:33.000 --> 00:01:35.000]  其實內容是什麼呢?
[00:01:35.000 --> 00:01:40.000]  內容是耶穌對末世的預言
[00:01:40.000 --> 00:01:43.000]  耶穌對末世的預言
[00:01:43.000 --> 00:01:45.000]  預言包括了什麼呢?
[00:01:45.000 --> 00:01:47.000]  包括了第一
[00:01:47.000 --> 00:01:52.000]  就是耶穌預言耶路撒冷的聖殿
[00:01:52.000 --> 00:01:55.000]  即是當時耶穌和門徒走出來的聖殿
[00:01:55.000 --> 00:01:58.000]  是會被毀的
[00:01:58.000 --> 00:02:04.000]  第二就是祂強調祂會再回來
[00:02:04.000 --> 00:02:07.000]  並且祂預言了祂回來的時候的情況
[00:02:07.000 --> 00:02:11.000]  和回來之前有什麼預兆
[00:02:11.000 --> 00:02:13.000]  有什麼事會發生
[00:02:13.000 --> 00:02:16.000]  其實當我們今天看回歷史
[00:02:16.000 --> 00:02:18.000]  我們就會發現
[00:02:18.000 --> 00:02:21.000]  我們會知道其實耶穌的第一個預言
[00:02:21.000 --> 00:02:23.000]  即是聖殿的被毀
[00:02:23.000 --> 00:02:25.000]  其實已經是實現了
[00:02:25.000 --> 00:02:27.000]  是什麼時候呢?
[00:02:27.000 --> 00:02:31.000]  是耶穌升天之後37年
[00:02:31.000 --> 00:02:34.000]  耶穌死的時候33歲
[00:02:34.000 --> 00:02:38.000]  37年即是主後70年
[00:02:38.000 --> 00:02:41.000]  就已經實現了
[00:02:41.000 --> 00:02:48.000]  當時羅馬軍隊在提多將軍的帶領下
[00:02:48.000 --> 00:02:52.000]  就來將耶路撒冷攻陷了
[00:02:52.000 --> 00:02:54.000]  然後將聖殿
[00:02:54.000 --> 00:02:56.000]  他們說這個聖殿很漂亮
[00:02:56.000 --> 00:02:58.000]  移為平地
[00:02:58.000 --> 00:03:00.000]  怎樣移為平地呢?
[00:03:00.000 --> 00:03:05.000]  其實就是當時他們用火來燒這個聖殿
[00:03:05.000 --> 00:03:09.000]  有些金箔在屋頂流下來
[00:03:09.000 --> 00:03:11.000]  就在石頭上
[00:03:11.000 --> 00:03:14.000]  他們為了拿走這些金箔
[00:03:14.000 --> 00:03:16.000]  不放過
[00:03:16.000 --> 00:03:19.000]  就將那些石頭撬開
[00:03:19.000 --> 00:03:22.000]  所以就應驗了
[00:03:22.000 --> 00:03:26.000]  耶穌在聖經24章第二節說
[00:03:26.000 --> 00:03:29.000]  到那天將來在這裡
[00:03:29.000 --> 00:03:33.000]  沒有一塊石頭會留在石頭上
[00:03:33.000 --> 00:03:35.000]  不被拆毀
[00:03:35.000 --> 00:03:37.000]  這個說法
[00:03:37.000 --> 00:03:43.000]  所以這件事已經完全應驗了
[00:03:43.000 --> 00:03:46.000]  而且在主後70年就已經應驗了
[00:03:46.000 --> 00:03:49.000]  關於耶穌另外一部分的預言
[00:03:49.000 --> 00:03:51.000]  關於末世會出現的事
[00:03:51.000 --> 00:03:53.000]  和耶穌再回來
[00:03:53.000 --> 00:03:55.000]  大家又怎樣想呢?
[00:03:55.000 --> 00:03:58.000]  大家覺得怎樣想呢?
[00:03:58.000 --> 00:04:00.000]  由那時候到現在
[00:04:00.000 --> 00:04:04.000]  已經差不多2000年了
[00:04:04.000 --> 00:04:06.000]  我想問大家
[00:04:06.000 --> 00:04:09.000]  你為什麼相信耶穌會回來呢?
[00:04:09.000 --> 00:04:12.000]  我看到有很多人很頭暈
[00:04:12.000 --> 00:04:16.000]  你為什麼相信耶穌會回來呢?
[00:04:16.000 --> 00:04:17.000]  因為我相信
[00:04:17.000 --> 00:04:19.000]  以蔡阿書說過
[00:04:19.000 --> 00:04:21.000]  神的說話
[00:04:21.000 --> 00:04:24.000]  是不會徒然往返
[00:04:24.000 --> 00:04:26.000]  祂說出來的事
[00:04:26.000 --> 00:04:27.000]  是會應驗
[00:04:27.000 --> 00:04:31.000]  只不過是時間的關係
[00:04:31.000 --> 00:04:33.000]  其實我經常在想
[00:04:33.000 --> 00:04:34.000]  如果是這樣
[00:04:34.000 --> 00:04:36.000]  大家有沒有想過
[00:04:36.000 --> 00:04:38.000]  在我們有生之年
[00:04:38.000 --> 00:04:42.000]  是會見到耶穌回來呢?
[00:04:42.000 --> 00:04:44.000]  你想不想呢?
[00:04:44.000 --> 00:04:47.000]  你想不想見到呢?
[00:04:47.000 --> 00:04:51.000]  有很多人頭暈
[00:04:51.000 --> 00:04:54.000]  Yes or No
[00:04:54.000 --> 00:04:55.000]  不過無論怎樣都好
[00:04:55.000 --> 00:04:57.000]  我們怎樣想都好
[00:04:57.000 --> 00:04:58.000]  我相信
[00:04:58.000 --> 00:05:03.000]  上帝透過耶穌和門徒的說話
[00:05:03.000 --> 00:05:04.000]  告訴我們
[00:05:04.000 --> 00:05:06.000]  末世要發生的事
[00:05:06.000 --> 00:05:08.000]  不是要危言聳聽
[00:05:08.000 --> 00:05:12.000]  因為我們的上帝是一個Good God
[00:05:12.000 --> 00:05:14.000]  耶穌是一個Good God
[00:05:14.000 --> 00:05:16.000]  我們的耶和華是一個Good God
[00:05:16.000 --> 00:05:18.000]  我們有看一節經文
[00:05:18.000 --> 00:05:19.000]  耶利米書
[00:05:19.000 --> 00:05:21.000]  29章11節
[00:05:21.000 --> 00:05:22.000]  我們一起讀
[00:05:22.000 --> 00:05:23.000]  耶和華說
[00:05:23.000 --> 00:05:26.000]  我知道我向你們所懷的意念
[00:05:26.000 --> 00:05:28.000]  是致平安的意念
[00:05:28.000 --> 00:05:30.000]  不是降災禍的意念
[00:05:30.000 --> 00:05:33.000]  要叫你們末後有子亡
[00:05:33.000 --> 00:05:34.000]  所以
[00:05:34.000 --> 00:05:35.000]  縱然
[00:05:35.000 --> 00:05:37.000]  這個末世的預言
[00:05:37.000 --> 00:05:39.000]  是很強硬的
