
[00:00:00.000 --> 00:00:02.000]  我哋先祈禱
[00:00:02.000 --> 00:00:05.000]  主求祢賜福及恩待我哋
[00:00:05.000 --> 00:00:07.000]  叫我哋喺生命裏面
[00:00:07.000 --> 00:00:10.000]  去跟逐
[00:00:10.000 --> 00:00:12.000]  主求祢賜福及恩待
[00:00:12.000 --> 00:00:14.000]  叫我哋作為門徒
[00:00:14.000 --> 00:00:16.000]  我哋能夠承擔
[00:00:16.000 --> 00:00:19.000]  主求祢加我哋恩典及能力
[00:00:19.000 --> 00:00:20.000]  多謝主
[00:00:20.000 --> 00:00:21.000]  聽我哋祈禱
[00:00:21.000 --> 00:00:22.000]  奉主名求
[00:00:22.000 --> 00:00:24.000]  阿門
[00:00:24.000 --> 00:00:26.000]  如果我哋睇馬太
[00:00:26.000 --> 00:00:28.000]  睇馬可
[00:00:28.000 --> 00:00:30.000]  咁個描述就好簡單
[00:00:30.000 --> 00:00:31.000]  就講
[00:00:31.000 --> 00:00:33.000]  耶穌一呼召
[00:00:33.000 --> 00:00:36.000]  四個漁夫就跟從
[00:00:36.000 --> 00:00:37.000]  路加福音
[00:00:37.000 --> 00:00:38.000]  詳細啲
[00:00:38.000 --> 00:00:40.000]  有一啲個背景
[00:00:40.000 --> 00:00:41.000]  但係如果我哋
[00:00:41.000 --> 00:00:42.000]  有機會我哋去睇
[00:00:42.000 --> 00:00:44.000]  約翰福音第一章嘅時候
[00:00:44.000 --> 00:00:45.000]  一章三十五節
[00:00:45.000 --> 00:00:46.000]  到到四十一節
[00:00:46.000 --> 00:00:47.000]  就講
[00:00:47.000 --> 00:00:49.000]  原本
[00:00:49.000 --> 00:00:51.000]  佢哋呢
[00:00:51.000 --> 00:00:53.000]  係去跟從施浸約翰
[00:00:53.000 --> 00:00:55.000]  耶穌嚟
[00:00:55.000 --> 00:00:57.000]  佢哋就跟咗耶穌
[00:00:57.000 --> 00:00:59.000]  但係如果我哋睇
[00:00:59.000 --> 00:01:01.000]  馬太福音第四章
[00:01:01.000 --> 00:01:02.000]  我哋就
[00:01:02.000 --> 00:01:03.000]  如果能夠呢
[00:01:03.000 --> 00:01:04.000]  從第一節開始睇
[00:01:04.000 --> 00:01:06.000]  四章第一節係講咩
[00:01:06.000 --> 00:01:08.000]  耶穌受試探
[00:01:08.000 --> 00:01:10.000]  耶穌受試探
[00:01:10.000 --> 00:01:12.000]  被聖靈引到去曠野
[00:01:12.000 --> 00:01:13.000]  咁佢係
[00:01:13.000 --> 00:01:15.000]  佢出嚟傳道之先
[00:01:15.000 --> 00:01:17.000]  就係面對魔鬼嘅試探
[00:01:17.000 --> 00:01:18.000]  然後
