
[00:00:00.000 --> 00:00:03.340]  讓祂平安,我們一起祈禱
[00:00:03.340 --> 00:00:06.680]  昨天我們感謝祢的恩典
[00:00:06.680 --> 00:00:09.160]  讓我們在主義的清晨
[00:00:09.160 --> 00:00:12.800]  可以在這裡聚集,可以認識祢更多
[00:00:12.800 --> 00:00:15.120]  認識祢的公義、公平
[00:00:15.120 --> 00:00:18.220]  我們求聖靈在我們中間幫助我們
[00:00:18.220 --> 00:00:20.380]  真的認識耶和華更多
[00:00:20.380 --> 00:00:23.400]  了解明白祢所喜歡的事
[00:00:23.400 --> 00:00:26.120]  還有祢的公平正直
[00:00:26.120 --> 00:00:28.960]  奉耶穌基督的名祈禱,阿彌陀佛
[00:00:30.020 --> 00:00:33.080]  好,今天我們來到
[00:00:33.080 --> 00:00:35.300]  認識耶和華,看《二世紀書》
[00:00:35.300 --> 00:00:38.300]  《認識耶和華》系列的第五講
[00:00:38.300 --> 00:00:43.200]  這一講會是我講《二世紀書》最後一講
[00:00:43.200 --> 00:00:46.200]  因為接下來我會放假
[00:00:46.200 --> 00:00:52.300]  有另外一位牧師會繼續來跟我們講《二世紀書》
[00:00:52.300 --> 00:00:57.800]  今天的主題是《認識上主的公義》
[00:00:58.560 --> 00:01:04.500]  希望大家能夠認識上主的公義和公平
[00:01:04.500 --> 00:01:09.500]  今天我們看的經文是《二世紀書》第十八章
[00:01:09.500 --> 00:01:12.300]  可以說是一篇很奇怪的經文
[00:01:12.300 --> 00:01:14.700]  不知道你們有沒有覺得奇怪
[00:01:14.700 --> 00:01:17.460]  在這章經文裡面
[00:01:17.460 --> 00:01:21.600]  《二世紀》才知道沒有看到異象
[00:01:24.140 --> 00:01:28.900]  上主沒有叫祂責備猶大家的罪
[00:01:28.900 --> 00:01:33.480]  也沒有對其他國家宣判
[00:01:33.480 --> 00:01:38.800]  也沒有預言以色列會復興
[00:01:38.800 --> 00:01:42.900]  或者猶太人會回歸故土
[00:01:42.900 --> 00:01:50.900]  這章經文不只是在《二世紀書》裡面很特別
[00:01:50.900 --> 00:01:52.400]  很奇怪
[00:01:52.400 --> 00:01:55.400]  其實在全部的《先知書》裡面
[00:01:55.400 --> 00:01:57.600]  都是很奇怪的一篇經文
[00:01:57.600 --> 00:02:04.100]  上主只是針對以色列人一句的俗語
[00:02:04.100 --> 00:02:10.400]  就長篇大論地去解釋祂自己的公平、公義
[00:02:10.400 --> 00:02:14.200]  我讀了頭幾次經文之後
[00:02:14.200 --> 00:02:16.900]  真的越讀越覺得奇怪
[00:02:16.900 --> 00:02:21.100]  上帝似乎是非常在意
[00:02:21.100 --> 00:02:23.700]  以色列人的這句俗語
[00:02:23.700 --> 00:02:25.800]  父親是宣佈到的
[00:02:25.800 --> 00:02:28.200]  兒子、孫子就宣佈到
[00:02:28.200 --> 00:02:33.000]  我覺得上帝似乎是覺得
[00:02:33.000 --> 00:02:35.500]  被以色列人誤解
[00:02:35.500 --> 00:02:38.100]  被以色列人誣陷了
[00:02:38.100 --> 00:02:44.600]  以致祂要不厭其煩地去解釋祂的公平、公義
[00:02:44.600 --> 00:02:48.100]  以及祂對世人的心意
[00:02:49.100 --> 00:02:52.600]  不知道大家有沒有被人誣陷的經歷
[00:02:52.600 --> 00:02:55.200]  我自己想起很多年前
[00:02:55.200 --> 00:02:57.600]  那時候我還沒蒙照
[00:02:57.600 --> 00:03:00.100]  我在梯學院教書
[00:03:00.100 --> 00:03:03.100]  學生考完試之後
[00:03:03.100 --> 00:03:05.300]  我們的老師要改卷
[00:03:05.300 --> 00:03:08.300]  但我們不是自己改自己那一班
[00:03:08.300 --> 00:03:09.900]  是集體改卷
[00:03:09.900 --> 00:03:13.900]  全部考那一科的卷
[00:03:13.900 --> 00:03:16.700]  老師就像學生一樣
[00:03:16.700 --> 00:03:19.300]  坐在課室裡一起改卷
[00:03:19.300 --> 00:03:29.100]  老師不會按正常的上課時間表去上課
[00:03:29.100 --> 00:03:32.700]  老師什麼時候要回學校改卷
[00:03:32.700 --> 00:03:35.900]  就要看上主弄了一個排表出來
[00:03:35.900 --> 00:03:38.900]  哪天誰負責改哪一科
[00:03:38.900 --> 00:03:40.900]  有一天我發覺
[00:03:40.900 --> 00:03:43.300]  好啊!榜上無名
[00:03:43.300 --> 00:03:45.300]  那我不用回學校了
[00:03:46.900 --> 00:03:51.300]  但是第二天就被上頭一位代任官員
[00:03:51.300 --> 00:03:53.100]  召我去問
[00:03:53.100 --> 00:03:56.100]  為什麼你昨天不回來抗工
[00:03:56.100 --> 00:03:58.100]  我解釋了
[00:03:58.100 --> 00:04:02.100]  名單貼出來沒有我的名字
[00:04:02.100 --> 00:04:06.100]  但原來另外還有一張名單是有的
[00:04:06.100 --> 00:04:07.700]  貼出來的那張
[00:04:07.700 --> 00:04:11.300]  所有老師都是根據那張名單來上班
[00:04:11.300 --> 00:04:13.300]  還是不上班的
