
[00:00:00.000 --> 00:00:02.760]  我記得當我自己開始講希伯來書的時候
[00:00:02.760 --> 00:00:04.160]  我都提過
[00:00:04.160 --> 00:00:07.000]  我說我們很希望在崇拜那邊的港島
[00:00:07.000 --> 00:00:10.240]  不會是永遠都是講一些我們可能
[00:00:10.240 --> 00:00:13.240]  一般的我們都很熟悉的一些經文
[00:00:13.240 --> 00:00:15.320]  或者是我們很容易明白的
[00:00:15.320 --> 00:00:17.760]  甚至可能很多的故事的一些港島
[00:00:17.760 --> 00:00:19.840]  當然我們覺得港島有故事
[00:00:19.840 --> 00:00:22.040]  有比喻是對的
[00:00:22.040 --> 00:00:23.520]  但是一方面我也希望
[00:00:23.520 --> 00:00:27.400]  我們不是永遠活在一個階段
[00:00:27.400 --> 00:00:29.360]  就是一個好像嬰兒的階段
[00:00:29.360 --> 00:00:32.040]  是永遠是喝奶的階段
[00:00:32.040 --> 00:00:33.320]  一個嬰兒的成長
[00:00:33.320 --> 00:00:34.680]  他必須要喝奶
[00:00:34.680 --> 00:00:36.920]  但是去到慢慢慢慢的進程裏邊
[00:00:36.920 --> 00:00:39.000]  他由喝奶開始吃糊仔
[00:00:39.000 --> 00:00:40.920]  由糊仔開始吃乾糧的時候
[00:00:40.920 --> 00:00:44.440]  這個就是人生裏邊一個成長的過程
[00:00:44.440 --> 00:00:45.800]  而《屬靈生命》一樣
[00:00:45.800 --> 00:00:47.840]  這個希伯來書的作者也都提醒我們
[00:00:47.840 --> 00:00:50.280]  他說我們不要永遠滿足在
[00:00:50.280 --> 00:00:52.400]  喝一個屬靈的奶裏邊
[00:00:52.400 --> 00:00:55.320]  我們希望能夠去吃一些比較硬的
[00:00:55.320 --> 00:00:56.480]  比較一些的食物
[00:00:56.480 --> 00:00:57.800]  我們需要咀嚼
[00:00:57.800 --> 00:00:59.000]  需要消化
[00:00:59.000 --> 00:01:01.240]  需要因著這個咀嚼消化
[00:01:01.240 --> 00:01:02.640]  去到我們的生命當中
[00:01:02.640 --> 00:01:04.880]  成為了我們的生命的能力
[00:01:04.880 --> 00:01:07.080]  當然面對一些經文
[00:01:07.080 --> 00:01:09.960]  可能是在不同的領域當中
[00:01:09.960 --> 00:01:11.600]  甚至在神學的領域裏邊
[00:01:11.600 --> 00:01:13.640]  都可能有很多的爭拗的時候
[00:01:13.640 --> 00:01:15.160]  我們也都祈求天父
[00:01:15.160 --> 00:01:17.600]  幫助我們去嘗試去明白
[00:01:17.600 --> 00:01:19.160]  當然希伯來書
[00:01:19.160 --> 00:01:22.320]  如果我們從來沒有看過舊約的信徒
[00:01:22.320 --> 00:01:24.280]  我們不要說是未信的朋友
[00:01:24.280 --> 00:01:25.280]  甚至我們信徒
[00:01:25.280 --> 00:01:27.600]  如果我們從來都不看舊約的時候
[00:01:27.600 --> 00:01:30.800]  我們或許看著這本希伯來書的時候
[00:01:30.800 --> 00:01:31.640]  都會覺得
[00:01:31.640 --> 00:01:33.240]  嘩!真的不知道要說什麼
[00:01:33.240 --> 00:01:34.280]  因為很多的人物
[00:01:34.280 --> 00:01:35.400]  很多的祭
[00:01:35.400 --> 00:01:36.640]  我們都不知道要說什麼
[00:01:36.640 --> 00:01:37.600]  但另一方面
[00:01:37.600 --> 00:01:39.200]  我們看回這個作者
[00:01:39.200 --> 00:01:43.000]  因著他要面對一班猶太人的對象
[00:01:43.000 --> 00:01:45.040]  而猶太人對舊約很熟悉的時候
[00:01:45.040 --> 00:01:47.800]  他必須在寫這封信的時候
[00:01:47.800 --> 00:01:51.640]  他同樣是要對舊約是非常之熟悉
[00:01:51.640 --> 00:01:52.440]  但另一方面
[00:01:52.440 --> 00:01:55.160]  這個作者作為一個新約的作者
[00:01:55.160 --> 00:01:57.560]  他也都是對耶穌基督很認識
[00:01:57.560 --> 00:01:59.640]  於是他就開始去想
[00:01:59.640 --> 00:02:02.520]  怎樣跟一班猶太人去說耶穌基督
[00:02:02.520 --> 00:02:05.480]  因為耶穌基督絕對是寶貴的
[00:02:05.480 --> 00:02:07.840]  耶穌基督絕對是超越的
[00:02:07.840 --> 00:02:09.600]  所以在整個希伯來書裡面
[00:02:09.600 --> 00:02:11.000]  其中一個中心
[00:02:11.000 --> 00:02:13.480]  就說到耶穌基督的超越性
[00:02:13.480 --> 00:02:17.520]  祂的啟示是超越舊約的眾星之的啟示
[00:02:17.520 --> 00:02:18.840]  祂是超越天使
[00:02:18.840 --> 00:02:21.400]  祂是超越很多舊約的偉人
[00:02:21.400 --> 00:02:28.480]  祂同樣是超越了亞倫的大祭司的世襲
[00:02:28.480 --> 00:02:31.440]  因為耶穌基督作為一個猶太支派的人
[00:02:31.440 --> 00:02:33.280]  祂不是利美支派的人
[00:02:33.280 --> 00:02:35.960]  但上帝揀選祂成為一個大祭司
[00:02:35.960 --> 00:02:38.040]  成為一個密基西德的等次
[00:02:38.040 --> 00:02:39.240]  去到最後
[00:02:39.240 --> 00:02:41.400]  耶穌基督不單止是大祭司
[00:02:41.400 --> 00:02:44.360]  祂還將自己成為一個祭物
[00:02:44.360 --> 00:02:49.000]  所以祂所流的補血是給舊約所有的新畜
[00:02:49.000 --> 00:02:51.760]  所有的羊是無瑕疵的羊
[00:02:51.760 --> 00:02:55.680]  獻祭的祭物都是寶貴
[00:02:55.680 --> 00:02:56.800]  都是超越
[00:02:56.800 --> 00:02:59.480]  這就是希伯來書作者的心
