
[00:00:00.000 --> 00:00:05.000]  在領受上帝的懷疑之前,我們一起祈禱,好嗎?
[00:00:05.000 --> 00:00:10.000]  親愛的上帝,我們多謝你再一次臨隔在我們的生命當中
[00:00:10.000 --> 00:00:14.000]  因為若非你自己的緣故,你的恩典
[00:00:14.000 --> 00:00:17.000]  主啊,我們都不能夠坐在這裏去敬拜你
[00:00:17.000 --> 00:00:20.000]  你不單止給我們有平安又健康
[00:00:20.000 --> 00:00:24.000]  你更加給我們有凌淚那種的飽足
[00:00:24.000 --> 00:00:28.000]  父啊,因為這件事上只有你才可以供應給我們
[00:00:28.000 --> 00:00:31.000]  我們感謝你,讓我們一起可以在這個時刻
[00:00:31.000 --> 00:00:36.000]  再一次躺在自己的心,讓聖靈你自己再一次充滿我們
[00:00:36.000 --> 00:00:42.000]  讓聖靈你的愛,你自己的感動再一次大大在我們生命當中
[00:00:42.000 --> 00:00:45.000]  讓我們見到的不單止是我們自己的生活
[00:00:45.000 --> 00:00:48.000]  讓我們見到的是上帝你自己給我們的意象
[00:00:48.000 --> 00:00:52.000]  以及為我們爬開那條又寬又闊的路
[00:00:52.000 --> 00:00:56.000]  我們感謝你,祈禱奉主命求,阿們
[00:00:58.000 --> 00:01:01.000]  今天我們會繼續探討
[00:01:01.000 --> 00:01:04.000]  了解《河西亞書》當中的訊息
[00:01:04.000 --> 00:01:09.000]  今天那個訊息都是有一個主題的
[00:01:09.000 --> 00:01:11.000]  我們主題經文
[00:01:11.000 --> 00:01:13.000]  有沒有人記得我們主題經文在哪裏?
[00:01:13.000 --> 00:01:18.000]  對了,這個一定是對的
[00:01:18.000 --> 00:01:19.000]  《河西亞書》
[00:01:19.000 --> 00:01:21.000]  好聰明
[00:01:21.000 --> 00:01:24.000]  第幾章?
[00:01:29.000 --> 00:01:30.000]  第三章
[00:01:30.000 --> 00:01:32.000]  第二章
[00:01:32.000 --> 00:01:35.000]  《順悲數字六》
[00:01:35.000 --> 00:01:37.000]  不好意思
[00:01:37.000 --> 00:01:39.000]  已經是第幾個禮拜呢?
